Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
703¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":129,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Program
722¿VariableDeclarator¿¿1223¿SOCKET_TIMEOUT¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
723¿Literal¿number¿1223¿¿1000¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
724¿VariableDeclarator¿¿1223¿ValidHostnameRegex¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":146},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
725¿NewExpression¿¿1223¿¿¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":146},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿NewExpression
726¿Identifier¿¿1223¿RegExp¿¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
727¿Literal¿string¿1223¿¿'^(([a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9\-]*[a-zA-Z0-9])\.)*([A-Za-z0-9]|[A-Za-z0-9][A-Za-z0-9\-]*[A-Za-z0-9])$'¿¿{"start":{"line":11,"column":36},"end":{"line":11,"column":145},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
728¿VariableDeclarator¿¿1223¿isValidHostNameOrIP¿¿¿{"start":{"line":13,"column":0},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
729¿FunctionExpression¿¿1223¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿FunctionExpression
730¿Identifier¿¿0¿host¿¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
731¿VariableDeclarator¿¿1225¿v52¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
732¿CallExpression¿¿1225¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
733¿MemberExpression¿¿1225¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
734¿Identifier¿¿1225¿net¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
735¿Identifier¿¿1225¿isIP¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
736¿Identifier¿¿1225¿host¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
737¿VariableDeclarator¿¿1225¿v53¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
738¿CallExpression¿¿1225¿¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
739¿MemberExpression¿¿1225¿¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
740¿Identifier¿¿1225¿ValidHostnameRegex¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
741¿Identifier¿¿1225¿test¿¿¿{"start":{"line":14,"column":48},"end":{"line":14,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
742¿Identifier¿¿1225¿host¿¿¿{"start":{"line":14,"column":53},"end":{"line":14,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
743¿VariableDeclarator¿¿1225¿v54¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
744¿LogicalExpression¿||¿1225¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿LogicalExpression
745¿Identifier¿¿1225¿v52¿¿¿¿¿Identifier
746¿Identifier¿¿1225¿v53¿¿¿¿¿Identifier
747¿ReturnStatement¿¿1225¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ReturnStatement
748¿Identifier¿¿1225¿v54¿¿¿¿¿Identifier
749¿BlockStatement¿¿1225¿¿¿¿{"start":{"line":13,"column":35},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
750¿VariableDeclarator¿¿1223¿testSync¿¿¿{"start":{"line":17,"column":0},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
751¿FunctionExpression¿¿1223¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿FunctionExpression
752¿Identifier¿¿0¿host¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
753¿Identifier¿¿0¿port¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
754¿Identifier¿¿0¿connectTimeout¿¿¿{"start":{"line":17,"column":30},"end":{"line":17,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
755¿VariableDeclarator¿¿1227¿nodeBinary¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
756¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":18,"column":23},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
757¿Identifier¿¿1227¿process¿¿¿{"start":{"line":18,"column":23},"end":{"line":18,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
758¿Identifier¿¿1227¿execPath¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
759¿VariableDeclarator¿¿1227¿scriptPath¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
760¿CallExpression¿¿1227¿¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
761¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
762¿Identifier¿¿1227¿path¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
763¿Identifier¿¿1227¿join¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
764¿Identifier¿¿1227¿__dirname¿¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
765¿Literal¿string¿1227¿¿'./scripts/connection-tester'¿¿{"start":{"line":19,"column":44},"end":{"line":19,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
766¿VariableDeclarator¿¿1227¿cmd¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":101},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
767¿CallExpression¿¿1227¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":101},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
768¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
769¿Identifier¿¿1227¿util¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
770¿Identifier¿¿1227¿format¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
771¿Literal¿string¿1227¿¿''%s' '%s' %s %s %s'¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
772¿Identifier¿¿1227¿nodeBinary¿¿¿{"start":{"line":20,"column":50},"end":{"line":20,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
773¿Identifier¿¿1227¿scriptPath¿¿¿{"start":{"line":20,"column":62},"end":{"line":20,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
774¿Identifier¿¿1227¿host¿¿¿{"start":{"line":20,"column":74},"end":{"line":20,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
775¿Identifier¿¿1227¿port¿¿¿{"start":{"line":20,"column":80},"end":{"line":20,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
776¿Identifier¿¿1227¿connectTimeout¿¿¿{"start":{"line":20,"column":86},"end":{"line":20,"column":100},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
777¿VariableDeclarator¿¿1227¿v55¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
778¿CallExpression¿¿1227¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
779¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
780¿Identifier¿¿1227¿shell¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
781¿Identifier¿¿1227¿execSync¿¿¿{"start":{"line":22,"column":27},"end":{"line":22,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
782¿Identifier¿¿1227¿cmd¿¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
783¿VariableDeclarator¿¿1227¿shellOut¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
784¿CallExpression¿¿1227¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
785¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
786¿Identifier¿¿1227¿v55¿¿¿¿¿Identifier
787¿Identifier¿¿1227¿toString¿¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
788¿VariableDeclarator¿¿1227¿output¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
789¿ObjectExpression¿¿1227¿¿¿¿¿¿ObjectExpression
790¿ExpressionStatement¿¿1227¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
791¿AssignmentExpression¿=¿1227¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
792¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
793¿Identifier¿¿1227¿output¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
794¿Identifier¿¿1227¿success¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
795¿Literal¿boolean¿1227¿¿false¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
796¿ExpressionStatement¿¿1227¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
797¿AssignmentExpression¿=¿1227¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
798¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
799¿Identifier¿¿1227¿output¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
800¿Identifier¿¿1227¿error¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
801¿Literal¿object¿1227¿¿null¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
802¿IfStatement¿¿1227¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":37,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿IfStatement
803¿Identifier¿¿1227¿shellOut¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
804¿VariableDeclarator¿¿1227¿v56¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1227¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
806¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
807¿Identifier¿¿1227¿shellOut¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
