graph_dir,y_path,y_cmd,group,nodes,edges
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/applying-service-standards,0.0,,applying-service-standards,1641,2368
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ass,,0.0,ass,680,993
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/async-git_1.13.1,,0.0,async-git_1.13.1,160,226
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/atom-latex-plus,,0.0,atom-latex-plus,11,14
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/attack-simulation,0.0,,attack-simulation,367,545
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/audiobookshelf,0.0,,audiobookshelf,627,926
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/bestzip_2.1.6,,0.0,bestzip_2.1.6,1111,1696
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/bin-links,0.0,,bin-links,1847,2810
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/birdnet-go,0.0,,birdnet-go,408,614
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/blofin-api-docs,0.0,,blofin-api-docs,415,588
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/brainstorm,0.0,,brainstorm,568,844
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/calypso-live-branches,,0.0,calypso-live-branches,1622,2413
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/cf-auto-deploy-worker,0.0,,cf-auto-deploy-worker,613,813
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/chat-web,,0.0,chat-web,558,815
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/chess-pwa,0.0,,chess-pwa,212,294
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/cinema,0.0,,cinema,286,394
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/civilservant,,0.0,civilservant,271,385
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ckeditor5-dev,,0.0,ckeditor5-dev,154,235
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/clamscan_1.2.0,,0.0,clamscan_1.2.0,15351,22519
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/codecov_3.6.4,,0.0,codecov_3.6.4,3673,5320
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/coesite4,0.0,,coesite4,1483,2221
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/comebacktwitterembed,0.0,,comebacktwitterembed,1319,2045
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/command-exists-1.2.2,,0.0,command-exists-1.2.2,789,1206
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/companion,0.0,,companion,635,917
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/connection-tester_0.2.0,,0.0,connection-tester_0.2.0,703,1035
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/convert_http,,0.0,convert_http,379,544
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/costswebpage,0.0,,costswebpage,1463,2136
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/create-flow-pkg,,0.0,create-flow-pkg,905,1303
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/critgenius-listener,,0.0,critgenius-listener,836,1252
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/crud-file-server_0.7.0,0.0,,crud-file-server_0.7.0,2432,3836
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/curling_0.2.0,,0.0,curling_0.2.0,1062,1598
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/decompress,0.0,,decompress,1433,2212
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/devrev-snapin,,0.0,devrev-snapin,809,1177
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/devtool,0.0,,devtool,1219,1817
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/diskstats_0.0.2,,0.0,diskstats_0.0.2,1171,1737
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/diskusage-ng_0.2.6,,0.0,diskusage-ng_0.2.6,336,492
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/dns-sync_0.1.0,,0.0,dns-sync_0.1.0,239,349
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/docker_logs_tail,,0.0,docker_logs_tail,176,259
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ecartebleue-cli-api,,0.0,ecartebleue-cli-api,407,584
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/ecommerce-backend,0.0,,ecommerce-backend,263,371
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/egg-scripts,,0.0,egg-scripts,2107,3094
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/emerald-plant-tracker,0.0,,emerald-plant-tracker,3333,4932
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/enspira,0.0,,enspira,615,869
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/entitlements,,0.0,entitlements,119,170
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ese-companion,,0.0,ese-companion,330,485
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/express,0.0,,express,4329,6485
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/express-static-gzip,0.0,,express-static-gzip,999,1509
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/expressjs-serve-index,0.0,,expressjs-serve-index,4233,6184
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ezbake,,0.0,ezbake,854,1284
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/fallback-studio,0.0,,fallback-studio,337,491
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/fast-http_0.1.3,0.0,,fast-http_0.1.3,564,832
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ffmpeg_transcode,,0.0,ffmpeg_transcode,244,378
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/filenamify,0.0,,filenamify,12,14
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/find-process_1.4.4,,0.0,find-process_1.4.4,753,1119
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/fixed-static-brotli,0.0,,fixed-static-brotli,624,918
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gang,,0.0,gang,407,583
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/geddy,0.0,,geddy,2490,3656
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/gemini-mcp,0.0,,gemini-mcp,241,332
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/get-npm-package-version_1.0.6,,0.0,get-npm-package-version_1.0.6,189,276
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/git-cz,,0.0,git-cz,586,837
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/git-parse_1.0.4,,0.0,git-parse_1.0.4,252,354
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/git-tags-remote_1.0.2,,0.0,git-tags-remote_1.0.2,540,793
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/git_hook_http,,0.0,git_hook_http,389,555
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/giting_0.0.7,,0.0,giting_0.0.7,2247,3268
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/glance_3.0.0,0.0,,glance_3.0.0,1097,1605
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gm_1.20.0,,0.0,gm_1.20.0,688,1009
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/graphcap,0.0,,graphcap,483,689
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/graphql-mesh,0.0,,graphql-mesh,615,889
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/grep_search,,0.0,grep_search,255,382
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/growl_1.9.0,,0.0,growl_1.9.0,1803,2639
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gry_5.0.8,,0.0,gry_5.0.8,1250,1872
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gulp-git,,0.0,gulp-git,1029,1545
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gulp-gitrm,,0.0,gulp-gitrm,284,414
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gulp-scss-lint,,0.0,gulp-scss-lint,874,1258
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/gulp-styledocco,,0.0,gulp-styledocco,547,804
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/hostr_2.0.0,0.0,,hostr_2.0.0,700,1031
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/hot-formula-parser_3.0.0,,0.0,hot-formula-parser_3.0.0,10744,14922
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/http-live-simulator_1.0.0,0.0,,http-live-simulator_1.0.0,1054,1571
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/im-metadata_3.0.1,,0.0,im-metadata_3.0.1,851,1360
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/im-resize_2.3.2,,0.0,im-resize_2.3.2,1189,1707
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/imageserver,0.0,,imageserver,620,883
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/indirect,0.0,,indirect,306,438
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/ipx,0.0,,ipx,321,465
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/is-path-inside,0.0,,is-path-inside,6,5
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/jasmine-etc,0.0,,jasmine-etc,506,754
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/jquery-fileupload-middleware,0.0,,jquery-fileupload-middleware,488,697
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/json_to_spss,,0.0,json_to_spss,819,1079
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/kalabox-cli,,0.0,kalabox-cli,1270,1903
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/kill-by-port_0.0.1,,0.0,kill-by-port_0.0.1,85,122
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/killport_1.0.1,,0.0,killport_1.0.1,376,553
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/kiwe,0.0,,kiwe,253,364
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ksuid,,0.0,ksuid,763,1128
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/kubectl,,0.0,kubectl,226,347
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/kubectl_cli,,0.0,kubectl_cli,222,318
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/ladle,0.0,,ladle,988,1379
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/libnmap_0.4.11,,0.0,libnmap_0.4.11,1060,1565
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/linux-win-pos,,0.0,linux-win-pos,1223,1791
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/little-bit,,0.0,little-bit,1204,1753
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/living-papers,,0.0,living-papers,223,319
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/local-devices_2.0.0,,0.0,local-devices_2.0.0,997,1509
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/louder-quiter-game,0.0,,louder-quiter-game,546,789
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/m-server_1.4.0,0.0,,m-server_1.4.0,791,1205
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/macaddress_0.2.8,,0.0,macaddress_0.2.8,130,188
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/memory-graph-interface,0.0,,memory-graph-interface,882,1294
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/meta-git_1.1.3,,0.0,meta-git_1.1.3,385,554
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/meteor-tomi-upload-server,0.0,,meteor-tomi-upload-server,4331,6534
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/mia-body,,0.0,mia-body,373,554
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/moedict-webkit,0.0,,moedict-webkit,1363,2119
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/monopoly-ia-matchup,0.0,,monopoly-ia-matchup,7,7
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/mpdisco,0.0,,mpdisco,2131,3097
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/multer,0.0,,multer,525,762
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/multi-agent-claude,0.0,,multi-agent-claude,5201,7496
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/mversion,,0.0,mversion,582,875
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/mysqldump_cli,,0.0,mysqldump_cli,207,300
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/node-gitlab-hook,,0.0,node-gitlab-hook,2453,3613
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/node-opencv,,0.0,node-opencv,568,847
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/node-rules,,0.0,node-rules,1154,1684
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/node-samba-client,,0.0,node-samba-client,1274,1815
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/node-sanitize-filename,0.0,,node-sanitize-filename,172,261
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/node-shell-find,,0.0,node-shell-find,600,867
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/node-simple-router_0.10.0,0.0,,node-simple-router_0.10.0,13343,20112
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/node-srv_2.0.0,0.0,,node-srv_2.0.0,3475,5156
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/node-stream-zip,0.0,,node-stream-zip,9983,14738
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/node-tree-kill,,0.0,node-tree-kill,694,1068
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/node-unzipper,0.0,,node-unzipper,427,627
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/nodensfwjsAPI,0.0,,nodensfwjsAPI,3531,5111
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/npm-adblock,,0.0,npm-adblock,1048,1544
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/npm_publish,,0.0,npm_publish,186,271
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/obsidian-ai-curator,0.0,,obsidian-ai-curator,11,12
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/one-stop-marketing,,0.0,one-stop-marketing,411,621
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/open-town-meeting,,0.0,open-town-meeting,764,1105
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/opened,,0.0,opened,1980,2982
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/openssl_digest_check,,0.0,openssl_digest_check,177,263
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/pangolin-managment-bot,,0.0,pangolin-managment-bot,724,1027
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/path-is-inside,0.0,,path-is-inside,195,285
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/path-sanitizer,0.0,,path-sanitizer,15,15
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/pdf-image_1.0.5,,0.0,pdf-image_1.0.5,1952,2898
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/pdftotext_cli,,0.0,pdftotext_cli,200,293
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/picpeak,0.0,,picpeak,1292,1815
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/pidusage_1.0.0,,0.0,pidusage_1.0.0,1747,2559
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/pocket-engineer,0.0,,pocket-engineer,753,1116
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/portprocesses_1.0.4,,0.0,portprocesses_1.0.4,705,1027
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/promptfoo,0.0,,promptfoo,2615,3696
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ps_0.0.2,,0.0,ps_0.0.2,995,1481
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/pullit,,0.0,pullit,753,1068
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/radare2-extras,,0.0,radare2-extras,1810,2867
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/rails-auto-migrate,,0.0,rails-auto-migrate,540,807
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/rctf-server,0.0,,rctf-server,805,1169
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/react-dev-utils_11.0.0,,0.0,react-dev-utils_11.0.0,417,629
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/reg-keygen-git-hash-plugin,,0.0,reg-keygen-git-hash-plugin,455,647
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/resolve_path,0.0,,resolve_path,315,465
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/rest-base,,0.0,rest-base,2485,3573
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/restify-swagger-jsdoc,0.0,,restify-swagger-jsdoc,1246,1831
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/rollup-plugin-serve_0.4.2,0.0,,rollup-plugin-serve_0.4.2,1094,1647
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/rosid,0.0,,rosid,177,262
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/rsync_cli,,0.0,rsync_cli,159,219
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/rsync_push,,0.0,rsync_push,239,358
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/s0va,0.0,,s0va,73,91
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/scribbly,,0.0,scribbly,826,1156
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/secure-programming-template,0.0,,secure-programming-template,323,453
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/send,0.0,,send,4968,7465
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/serve-here.js_1.1.0,0.0,,serve-here.js_1.1.0,648,941
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/serve-static,0.0,,serve-static,913,1351
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/servey_2.2.0,0.0,,servey_2.2.0,2233,3155
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/shell-quote,,0.0,shell-quote,1698,2615
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/shell-tag,,0.0,shell-tag,20,26
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/shellkit,,0.0,shellkit,738,1085
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/signalk-server,,0.0,signalk-server,1327,1883
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/simpletextreader,0.0,,simpletextreader,747,1058
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/site2rag,0.0,,site2rag,45,54
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/smtprelay,0.0,,smtprelay,4596,6659
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-cocoapods-plugin,,0.0,snyk-cocoapods-plugin,256,373
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-docker-plugin,,0.0,snyk-docker-plugin,263,383
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-gradle-plugin,,0.0,snyk-gradle-plugin,331,487
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-hex-plugin,,0.0,snyk-hex-plugin,330,483
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-mvn-plugin,,0.0,snyk-mvn-plugin,432,628
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-python-plugin,,0.0,snyk-python-plugin,272,392
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/snyk-sbt-plugin,,0.0,snyk-sbt-plugin,594,868
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/sonoverse,0.0,,sonoverse,1034,1512
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/ssh_proxy_http,,0.0,ssh_proxy_http,445,643
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/st,0.0,,st,5803,8560
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/static-site-host,0.0,,static-site-host,1011,1429
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/stattic_0.2.3,0.0,,stattic_0.2.3,1035,1524
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/syn-ressendfile,0.0,,syn-ressendfile,368,537
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/sys_runner_http,,0.0,sys_runner_http,280,400
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/systemctl_control,,0.0,systemctl_control,179,264
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/tar-fs,0.0,,tar-fs,3817,5877
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/tar_list_http,,0.0,tar_list_http,385,562
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/targz_extract,,0.0,targz_extract,193,293
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/team-sync,0.0,,team-sync,3011,4476
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/terraform-plan,,0.0,terraform-plan,1513,2219
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/testme,0.0,,testme,2140,3156
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/the-fluid-toy,0.0,,the-fluid-toy,459,656
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/thi.ng-egf_0.3.0,,0.0,thi.ng-egf_0.3.0,4334,6478
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/tinyserver2_0.5.2,0.0,,tinyserver2_0.5.2,393,578
/Users/elza/Documents/Final_Dataset/Graph_files/pt_secure/todo-list,0.0,,todo-list,604,877
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/total.js_3.4.6,,0.0,total.js_3.4.6,5936,9034
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/traceroute-1.0.0,,0.0,traceroute-1.0.0,788,1152
/Users/elza/Documents/Final_Dataset/Graph_files/ci_secure/trading-sim,,0.0,trading-sim,566,811
