Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3087¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":627,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Program
3098¿Identifier¿¿5268¿process¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3099¿Identifier¿¿5268¿platform¿¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3100¿VariableDeclarator¿¿5268¿v244¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3101¿CallExpression¿¿5268¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3102¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3103¿Literal¿object¿5268¿¿/^win/¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3104¿Identifier¿¿5268¿test¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3105¿Identifier¿¿5268¿v243¿¿¿¿¿Identifier
3106¿IfStatement¿¿5268¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":32,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿IfStatement
3107¿Identifier¿¿5268¿v244¿¿¿¿¿Identifier
3108¿VariableDeclarator¿¿5268¿v245¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3109¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3110¿Identifier¿¿5268¿process¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3111¿Identifier¿¿5268¿env¿¿¿{"start":{"line":11,"column":36},"end":{"line":11,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3112¿VariableDeclarator¿¿5268¿v246¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3113¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3114¿Identifier¿¿5268¿v245¿¿¿¿¿Identifier
3115¿Identifier¿¿5268¿VBOX_INSTALL_PATH¿¿¿{"start":{"line":11,"column":40},"end":{"line":11,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3116¿VariableDeclarator¿¿5268¿v247¿¿¿{"start":{"line":11,"column":61},"end":{"line":11,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3117¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":11,"column":61},"end":{"line":11,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3118¿Identifier¿¿5268¿process¿¿¿{"start":{"line":11,"column":61},"end":{"line":11,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3119¿Identifier¿¿5268¿env¿¿¿{"start":{"line":11,"column":69},"end":{"line":11,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3120¿VariableDeclarator¿¿5268¿v248¿¿¿{"start":{"line":11,"column":61},"end":{"line":11,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3121¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":11,"column":61},"end":{"line":11,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3122¿Identifier¿¿5268¿v247¿¿¿¿¿Identifier
3123¿Identifier¿¿5268¿VBOX_MSI_INSTALL_PATH¿¿¿{"start":{"line":11,"column":73},"end":{"line":11,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3124¿VariableDeclarator¿¿5268¿vBoxInstallPath¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3125¿LogicalExpression¿||¿5268¿¿¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿LogicalExpression
3126¿Identifier¿¿5268¿v246¿¿¿¿¿Identifier
3127¿Identifier¿¿5268¿v248¿¿¿¿¿Identifier
3128¿IfStatement¿¿5268¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":18,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿IfStatement
3129¿Identifier¿¿5268¿vBoxInstallPath¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3130¿VariableDeclarator¿¿5268¿v249¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3131¿CallExpression¿¿5268¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3132¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3133¿Identifier¿¿5268¿vBoxInstallPath¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3134¿Identifier¿¿5268¿replace¿¿¿{"start":{"line":14,"column":49},"end":{"line":14,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3135¿Literal¿object¿5268¿¿/\\$/¿¿{"start":{"line":14,"column":57},"end":{"line":14,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3136¿Literal¿string¿5268¿¿''¿¿{"start":{"line":14,"column":64},"end":{"line":14,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3137¿VariableDeclarator¿¿5268¿v250¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3138¿BinaryExpression¿+¿5268¿¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BinaryExpression
3139¿Literal¿string¿5268¿¿'''¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3140¿Identifier¿¿5268¿v249¿¿¿¿¿Identifier
3141¿VariableDeclarator¿¿5268¿v251¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3142¿BinaryExpression¿+¿5268¿¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BinaryExpression
3143¿Identifier¿¿5268¿v250¿¿¿¿¿Identifier
3144¿Literal¿string¿5268¿¿'\\VBoxManage.exe'¿¿{"start":{"line":14,"column":70},"end":{"line":14,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3145¿ExpressionStatement¿¿5268¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":95},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ExpressionStatement
3146¿AssignmentExpression¿=¿5268¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿AssignmentExpression
3147¿Identifier¿¿5268¿vBoxManageBinary¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3148¿BinaryExpression¿+¿5268¿¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BinaryExpression
3149¿Identifier¿¿5268¿v251¿¿¿¿¿Identifier
3150¿Literal¿string¿5268¿¿'''¿¿{"start":{"line":14,"column":91},"end":{"line":14,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3151¿BlockStatement¿¿5268¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":15,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BlockStatement
3152¿VariableDeclarator¿¿5268¿v252¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":103},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3153¿CallExpression¿¿5268¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":103},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3154¿MemberExpression¿¿5268¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3155¿Identifier¿¿5268¿console¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3156¿Identifier¿¿5268¿warn¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3157¿Literal¿string¿5268¿¿'VBOX_INSTALL_PATH or VBOX_MSI_INSTALL_PATH environment variable is not defined.'¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":102},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3158¿ExpressionStatement¿¿5268¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ExpressionStatement
3159¿Identifier¿¿5268¿v252¿¿¿¿¿Identifier
3160¿ExpressionStatement¿¿5268¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ExpressionStatement
3161¿AssignmentExpression¿=¿5268¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿AssignmentExpression
3162¿Identifier¿¿5268¿vBoxManageBinary¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3163¿Literal¿string¿5268¿¿'VBoxManage.exe'¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3164¿BlockStatement¿¿5268¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":18,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BlockStatement
3165¿VariableDeclarator¿¿5268¿v258¿¿¿{"start":{"line":20,"column":4},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3166¿ArrowFunctionExpression¿¿5268¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ArrowFunctionExpression
3167¿Identifier¿¿0¿arg¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3168¿VariableDeclarator¿¿5271¿v253¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3169¿CallExpression¿¿5271¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3170¿MemberExpression¿¿5271¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3171¿Literal¿object¿5271¿¿/\s|[\\'&]/¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3172¿Identifier¿¿5271¿test¿¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3173¿Identifier¿¿5271¿arg¿¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3174¿VariableDeclarator¿¿5271¿v254¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3175¿UnaryExpression¿!¿5271¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿UnaryExpression
3176¿Identifier¿¿5271¿v253¿¿¿¿¿Identifier
3177¿IfStatement¿¿5271¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿IfStatement
3178¿Identifier¿¿5271¿v254¿¿¿¿¿Identifier
3179¿ReturnStatement¿¿5271¿¿¿¿{"start":{"line":21,"column":36},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ReturnStatement
3180¿Identifier¿¿5271¿arg¿¿¿{"start":{"line":21,"column":43},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3181¿BlockStatement¿¿5271¿¿¿¿¿¿BlockStatement
3182¿VariableDeclarator¿¿5271¿v255¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3183¿CallExpression¿¿5271¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3184¿MemberExpression¿¿5271¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3185¿Identifier¿¿5271¿arg¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3186¿Identifier¿¿5271¿replace¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3187¿Literal¿object¿5271¿¿/'/g¿¿{"start":{"line":23,"column":33},"end":{"line":23,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3188¿Literal¿string¿5271¿¿'''''¿¿{"start":{"line":23,"column":39},"end":{"line":23,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3189¿VariableDeclarator¿¿5271¿v256¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3190¿BinaryExpression¿+¿5271¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BinaryExpression
3191¿Literal¿string¿5271¿¿'''¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3192¿Identifier¿¿5271¿v255¿¿¿¿¿Identifier
3193¿VariableDeclarator¿¿5271¿v257¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3194¿BinaryExpression¿+¿5271¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BinaryExpression
3195¿Identifier¿¿5271¿v256¿¿¿¿¿Identifier
3196¿Literal¿string¿5271¿¿'''¿¿{"start":{"line":23,"column":48},"end":{"line":23,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3197¿ReturnStatement¿¿5271¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ReturnStatement
3198¿Identifier¿¿5271¿v257¿¿¿¿¿Identifier
3199¿BlockStatement¿¿5271¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿BlockStatement
3200¿ExpressionStatement¿¿5268¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":24,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ExpressionStatement
3201¿AssignmentExpression¿=¿5268¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿AssignmentExpression
3202¿Identifier¿¿5268¿escapeArg¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
