Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
997¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":160,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Program
1014¿VariableDeclarator¿¿1713¿parseLinux¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1015¿CallExpression¿¿1713¿¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1016¿Identifier¿¿1713¿require¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1017¿Literal¿string¿1713¿¿'./parser/linux'¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1018¿VariableDeclarator¿¿1713¿parseWin32¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1019¿CallExpression¿¿1713¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1020¿Identifier¿¿1713¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1021¿Literal¿string¿1713¿¿'./parser/win32'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1022¿VariableDeclarator¿¿1713¿parseRow¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1023¿CallExpression¿¿1713¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1024¿Identifier¿¿1713¿require¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1025¿Literal¿string¿1713¿¿'./parser'¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1026¿VariableDeclarator¿¿1713¿servers¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1027¿CallExpression¿¿1713¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1028¿Identifier¿¿1713¿getServers¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1029¿VariableDeclarator¿¿1713¿lock¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1030¿ObjectExpression¿¿1713¿¿¿¿¿¿ObjectExpression
1031¿VariableDeclarator¿¿1713¿v92¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1032¿BinaryExpression¿*¿1713¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿BinaryExpression
1033¿Literal¿number¿1713¿¿1024¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1034¿Literal¿number¿1713¿¿1024¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1035¿VariableDeclarator¿¿1713¿TEN_MEGA_BYTE¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1036¿BinaryExpression¿*¿1713¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿BinaryExpression
1037¿Identifier¿¿1713¿v92¿¿¿¿¿Identifier
1038¿Literal¿number¿1713¿¿10¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1039¿VariableDeclarator¿¿1713¿ONE_MINUTE¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1040¿BinaryExpression¿*¿1713¿¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿BinaryExpression
1041¿Literal¿number¿1713¿¿60¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1042¿Literal¿number¿1713¿¿1000¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Literal
1043¿VariableDeclarator¿¿1713¿options¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1044¿ObjectExpression¿¿1713¿¿¿¿¿¿ObjectExpression
1045¿ExpressionStatement¿¿1713¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿ExpressionStatement
1046¿AssignmentExpression¿=¿1713¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿AssignmentExpression
1047¿MemberExpression¿¿1713¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1048¿Identifier¿¿1713¿options¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1049¿Identifier¿¿1713¿maxBuffer¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1050¿Identifier¿¿1713¿TEN_MEGA_BYTE¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1051¿ExpressionStatement¿¿1713¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿ExpressionStatement
1052¿AssignmentExpression¿=¿1713¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿AssignmentExpression
1053¿MemberExpression¿¿1713¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1054¿Identifier¿¿1713¿options¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1055¿Identifier¿¿1713¿timeout¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1056¿Identifier¿¿1713¿ONE_MINUTE¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1057¿VariableDeclarator¿exported¿1713¿findLocalDevices¿¿¿{"start":{"line":23,"column":0},"end":{"line":32,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1058¿FunctionExpression¿¿1713¿anon¿¿¿{"start":{"line":23,"column":17},"end":{"line":32,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿FunctionExpression
1059¿Identifier¿¿0¿address¿¿¿{"start":{"line":23,"column":44},"end":{"line":23,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1060¿VariableDeclarator¿¿1715¿key¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1061¿CallExpression¿¿1715¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1062¿Identifier¿¿1715¿String¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1063¿Identifier¿¿1715¿address¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1064¿VariableDeclarator¿¿1715¿v93¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1065¿MemberExpression¿computed¿1715¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1066¿Identifier¿¿1715¿lock¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1067¿Identifier¿¿1715¿key¿¿¿{"start":{"line":26,"column":9},"end":{"line":26,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1068¿VariableDeclarator¿¿1715¿v94¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1069¿CallExpression¿¿1715¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1070¿Identifier¿¿1715¿pingServer¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1071¿Identifier¿¿1715¿address¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1072¿VariableDeclarator¿¿1715¿v95¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1073¿CallExpression¿¿1715¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1074¿MemberExpression¿¿1715¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1075¿Identifier¿¿1715¿v94¿¿¿¿¿Identifier
1076¿Identifier¿¿1715¿then¿¿¿{"start":{"line":28,"column":28},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1077¿Identifier¿¿1715¿arpOne¿¿¿{"start":{"line":28,"column":33},"end":{"line":28,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1078¿VariableDeclarator¿¿1715¿v96¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1079¿CallExpression¿¿1715¿¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1080¿Identifier¿¿1715¿pingServers¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1081¿VariableDeclarator¿¿1715¿v97¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1082¿CallExpression¿¿1715¿¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1083¿MemberExpression¿¿1715¿¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1084¿Identifier¿¿1715¿v96¿¿¿¿¿Identifier
1085¿Identifier¿¿1715¿then¿¿¿{"start":{"line":29,"column":22},"end":{"line":29,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1086¿Identifier¿¿1715¿arpAll¿¿¿{"start":{"line":29,"column":27},"end":{"line":29,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1087¿VariableDeclarator¿¿1715¿v98¿¿¿{"start":{"line":27,"column":5},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1088¿IfStatement¿¿1715¿¿¿¿{"start":{"line":27,"column":5},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿IfStatement
1089¿Identifier¿¿1715¿address¿¿¿{"start":{"line":27,"column":5},"end":{"line":27,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1090¿ExpressionStatement¿¿1715¿¿¿¿{"start":{"line":27,"column":5},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿ExpressionStatement
1091¿AssignmentExpression¿=¿1715¿¿¿¿{"start":{"line":27,"column":5},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿AssignmentExpression
1092¿Identifier¿¿1715¿v98¿¿¿¿¿Identifier
1093¿Identifier¿¿1715¿v95¿¿¿¿¿Identifier
1094¿BlockStatement¿¿1715¿¿¿¿¿¿BlockStatement
1095¿ExpressionStatement¿¿1715¿¿¿¿{"start":{"line":27,"column":5},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿ExpressionStatement
1096¿AssignmentExpression¿=¿1715¿¿¿¿{"start":{"line":27,"column":5},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿AssignmentExpression
1097¿Identifier¿¿1715¿v98¿¿¿¿¿Identifier
1098¿Identifier¿¿1715¿v97¿¿¿¿¿Identifier
1099¿BlockStatement¿¿1715¿¿¿¿¿¿BlockStatement
1100¿VariableDeclarator¿¿1715¿v99¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1101¿CallExpression¿¿1715¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1102¿Identifier¿¿1715¿unlock¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1103¿Identifier¿¿1715¿key¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1104¿VariableDeclarator¿¿1715¿v100¿¿¿{"start":{"line":27,"column":4},"end":{"line":30,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿VariableDeclarator
1105¿CallExpression¿¿1715¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":30,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿CallExpression
1106¿MemberExpression¿¿1715¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":30,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1107¿Identifier¿¿1715¿v98¿¿¿¿¿Identifier
1108¿Identifier¿¿1715¿then¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
1109¿Identifier¿¿1715¿v99¿¿¿¿¿Identifier
1110¿ExpressionStatement¿¿1715¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":30,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿ExpressionStatement
1111¿AssignmentExpression¿=¿1715¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":30,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿AssignmentExpression
1112¿MemberExpression¿computed¿1715¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿MemberExpression
1113¿Identifier¿¿1715¿lock¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/local-devices_2.0.0/localdevices.js"}¿¿Identifier
