Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
882¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":126,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Program
893¿CallExpression¿¿1562¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
894¿Identifier¿¿1562¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
895¿Literal¿string¿1562¿¿'fs'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Literal
896¿VariableDeclarator¿¿1562¿path¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
897¿CallExpression¿¿1562¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
898¿Identifier¿¿1562¿require¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
899¿Literal¿string¿1562¿¿'path'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Literal
900¿VariableDeclarator¿¿1562¿v90¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
901¿MemberExpression¿¿1562¿¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
902¿Identifier¿¿1562¿process¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
903¿Identifier¿¿1562¿env¿¿¿{"start":{"line":13,"column":38},"end":{"line":13,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
904¿VariableDeclarator¿¿1562¿v91¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
905¿MemberExpression¿¿1562¿¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
906¿Identifier¿¿1562¿v90¿¿¿¿¿Identifier
907¿Identifier¿¿1562¿MEMGRAPH_ROOT¿¿¿{"start":{"line":13,"column":42},"end":{"line":13,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
908¿VariableDeclarator¿¿1562¿v92¿¿¿{"start":{"line":13,"column":59},"end":{"line":13,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
909¿CallExpression¿¿1562¿¿¿¿{"start":{"line":13,"column":59},"end":{"line":13,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
910¿MemberExpression¿¿1562¿¿¿¿{"start":{"line":13,"column":59},"end":{"line":13,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
911¿Identifier¿¿1562¿path¿¿¿{"start":{"line":13,"column":59},"end":{"line":13,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
912¿Identifier¿¿1562¿join¿¿¿{"start":{"line":13,"column":64},"end":{"line":13,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
913¿Identifier¿¿1562¿__dirname¿¿¿{"start":{"line":13,"column":69},"end":{"line":13,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
914¿Literal¿string¿1562¿¿'..'¿¿{"start":{"line":13,"column":80},"end":{"line":13,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Literal
915¿VariableDeclarator¿¿1562¿v93¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
916¿LogicalExpression¿||¿1562¿¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿LogicalExpression
917¿Identifier¿¿1562¿v91¿¿¿¿¿Identifier
918¿Identifier¿¿1562¿v92¿¿¿¿¿Identifier
919¿VariableDeclarator¿¿1562¿BASE_DIR¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
920¿CallExpression¿¿1562¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
921¿MemberExpression¿¿1562¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
922¿Identifier¿¿1562¿path¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
923¿Identifier¿¿1562¿resolve¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
924¿Identifier¿¿1562¿v93¿¿¿¿¿Identifier
925¿VariableDeclarator¿¿1562¿safeInsideBase¿¿¿{"start":{"line":15,"column":0},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
926¿FunctionExpression¿¿1562¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿FunctionExpression
927¿Identifier¿¿0¿candidate¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
928¿VariableDeclarator¿¿1564¿baseReal¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
929¿CallExpression¿¿1564¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
930¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
931¿Identifier¿¿1564¿fs¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
932¿Identifier¿¿1564¿realpathSync¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
933¿Identifier¿¿1564¿BASE_DIR¿¿¿{"start":{"line":16,"column":35},"end":{"line":16,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
934¿VariableDeclarator¿¿1564¿candReal¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
935¿VariableDeclarator¿¿1564¿v94¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
936¿CallExpression¿¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
937¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
938¿Identifier¿¿1564¿fs¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
939¿Identifier¿¿1564¿existsSync¿¿¿{"start":{"line":17,"column":22},"end":{"line":17,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
940¿Identifier¿¿1564¿candidate¿¿¿{"start":{"line":17,"column":33},"end":{"line":17,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
941¿VariableDeclarator¿¿1564¿v95¿¿¿{"start":{"line":17,"column":46},"end":{"line":17,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
942¿CallExpression¿¿1564¿¿¿¿{"start":{"line":17,"column":46},"end":{"line":17,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
943¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":17,"column":46},"end":{"line":17,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
944¿Identifier¿¿1564¿fs¿¿¿{"start":{"line":17,"column":46},"end":{"line":17,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
945¿Identifier¿¿1564¿realpathSync¿¿¿{"start":{"line":17,"column":49},"end":{"line":17,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
946¿Identifier¿¿1564¿candidate¿¿¿{"start":{"line":17,"column":62},"end":{"line":17,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
947¿IfStatement¿¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿IfStatement
948¿Identifier¿¿1564¿v94¿¿¿¿¿Identifier
949¿ExpressionStatement¿¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿ExpressionStatement
950¿AssignmentExpression¿=¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿AssignmentExpression
951¿Identifier¿¿1564¿candReal¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
952¿Identifier¿¿1564¿v95¿¿¿¿¿Identifier
953¿BlockStatement¿¿1564¿¿¿¿¿¿BlockStatement
954¿ExpressionStatement¿¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿ExpressionStatement
955¿AssignmentExpression¿=¿1564¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿AssignmentExpression
956¿Identifier¿¿1564¿candReal¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
957¿Identifier¿¿1564¿candidate¿¿¿{"start":{"line":17,"column":75},"end":{"line":17,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
958¿BlockStatement¿¿1564¿¿¿¿¿¿BlockStatement
959¿VariableDeclarator¿¿1564¿rel¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
960¿CallExpression¿¿1564¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
961¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
962¿Identifier¿¿1564¿path¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
963¿Identifier¿¿1564¿relative¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
964¿Identifier¿¿1564¿baseReal¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
965¿Identifier¿¿1564¿candReal¿¿¿{"start":{"line":18,"column":38},"end":{"line":18,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
966¿VariableDeclarator¿¿1564¿v96¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
967¿CallExpression¿¿1564¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
968¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
969¿Identifier¿¿1564¿rel¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
970¿Identifier¿¿1564¿startsWith¿¿¿{"start":{"line":19,"column":21},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
971¿Literal¿string¿1564¿¿'..'¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Literal
972¿VariableDeclarator¿¿1564¿v97¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
973¿UnaryExpression¿!¿1564¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿UnaryExpression
974¿Identifier¿¿1564¿v96¿¿¿¿¿Identifier
975¿VariableDeclarator¿¿1564¿v98¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
976¿LogicalExpression¿&&¿1564¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿LogicalExpression
977¿Identifier¿¿1564¿rel¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
978¿Identifier¿¿1564¿v97¿¿¿¿¿Identifier
979¿VariableDeclarator¿¿1564¿v99¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
980¿CallExpression¿¿1564¿¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
981¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
982¿Identifier¿¿1564¿path¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
983¿Identifier¿¿1564¿isAbsolute¿¿¿{"start":{"line":19,"column":47},"end":{"line":19,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
984¿Identifier¿¿1564¿rel¿¿¿{"start":{"line":19,"column":58},"end":{"line":19,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
985¿VariableDeclarator¿¿1564¿v100¿¿¿{"start":{"line":19,"column":41},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
986¿UnaryExpression¿!¿1564¿¿¿¿{"start":{"line":19,"column":41},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿UnaryExpression
987¿Identifier¿¿1564¿v99¿¿¿¿¿Identifier
988¿VariableDeclarator¿¿1564¿v101¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
989¿LogicalExpression¿&&¿1564¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿LogicalExpression
990¿Identifier¿¿1564¿v98¿¿¿¿¿Identifier
991¿Identifier¿¿1564¿v100¿¿¿¿¿Identifier
992¿ReturnStatement¿¿1564¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿ReturnStatement
993¿Identifier¿¿1564¿v101¿¿¿¿¿Identifier
994¿BlockStatement¿¿1564¿¿¿¿{"start":{"line":15,"column":35},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿BlockStatement
995¿VariableDeclarator¿¿1562¿v177¿¿¿{"start":{"line":27,"column":22},"end":{"line":124,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
996¿ArrowFunctionExpression¿¿1562¿¿¿¿{"start":{"line":27,"column":22},"end":{"line":124,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿ArrowFunctionExpression
997¿Identifier¿¿0¿req¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
998¿Identifier¿¿0¿res¿¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
999¿VariableDeclarator¿¿1567¿v102¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
1000¿CallExpression¿¿1567¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
