Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5201¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":617,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Program
5236¿Identifier¿¿9164¿v503¿¿¿¿¿Identifier
5237¿Identifier¿¿9164¿glob¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5238¿VariableDeclarator¿¿9164¿LOPManager¿¿¿{"start":{"line":9,"column":0},"end":{"line":615,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5239¿FunctionExpression¿¿9164¿LOPManager¿¿¿{"start":{"line":10,"column":13},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿FunctionExpression
5240¿VariableDeclarator¿¿9166¿v504¿¿¿{"start":{"line":11,"column":36},"end":{"line":11,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5241¿CallExpression¿¿9166¿¿¿¿{"start":{"line":11,"column":36},"end":{"line":11,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5242¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":11,"column":36},"end":{"line":11,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5243¿Identifier¿¿9166¿process¿¿¿{"start":{"line":11,"column":36},"end":{"line":11,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5244¿Identifier¿¿9166¿cwd¿¿¿{"start":{"line":11,"column":44},"end":{"line":11,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5245¿VariableDeclarator¿¿9166¿v505¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5246¿CallExpression¿¿9166¿¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5247¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5248¿Identifier¿¿9166¿path¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5249¿Identifier¿¿9166¿join¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5250¿Identifier¿¿9166¿v504¿¿¿¿¿Identifier
5251¿Literal¿string¿9166¿¿'.claude/prompts/lop'¿¿{"start":{"line":11,"column":51},"end":{"line":11,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5252¿ExpressionStatement¿¿9166¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ExpressionStatement
5253¿AssignmentExpression¿=¿9166¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿AssignmentExpression
5254¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5255¿ThisExpression¿¿9166¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ThisExpression
5256¿Identifier¿¿9166¿projectLopPath¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5257¿Identifier¿¿9166¿v505¿¿¿¿¿Identifier
5258¿VariableDeclarator¿¿9166¿v506¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5259¿CallExpression¿¿9166¿¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5260¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5261¿Identifier¿¿9166¿path¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5262¿Identifier¿¿9166¿join¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5263¿Identifier¿¿9166¿__dirname¿¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5264¿Literal¿string¿9166¿¿'../../templates/prompts/lop'¿¿{"start":{"line":12,"column":48},"end":{"line":12,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5265¿ExpressionStatement¿¿9166¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ExpressionStatement
5266¿AssignmentExpression¿=¿9166¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿AssignmentExpression
5267¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5268¿ThisExpression¿¿9166¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ThisExpression
5269¿Identifier¿¿9166¿templateLopPath¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5270¿Identifier¿¿9166¿v506¿¿¿¿¿Identifier
5271¿VariableDeclarator¿¿9166¿v507¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5272¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5273¿ThisExpression¿¿9166¿¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ThisExpression
5274¿Identifier¿¿9166¿projectLopPath¿¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5275¿VariableDeclarator¿¿9166¿v508¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":83},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5276¿CallExpression¿¿9166¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":83},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5277¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5278¿Identifier¿¿9166¿path¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5279¿Identifier¿¿9166¿join¿¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5280¿Identifier¿¿9166¿v507¿¿¿¿¿Identifier
5281¿Literal¿string¿9166¿¿'schema/lop-base-schema.json'¿¿{"start":{"line":13,"column":53},"end":{"line":13,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5282¿ExpressionStatement¿¿9166¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ExpressionStatement
5283¿AssignmentExpression¿=¿9166¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":83},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿AssignmentExpression
5284¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5285¿ThisExpression¿¿9166¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ThisExpression
5286¿Identifier¿¿9166¿schemaPath¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5287¿Identifier¿¿9166¿v508¿¿¿¿¿Identifier
5288¿VariableDeclarator¿¿9166¿v509¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5289¿CallExpression¿¿9166¿¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5290¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5291¿Identifier¿¿9166¿process¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5292¿Identifier¿¿9166¿cwd¿¿¿{"start":{"line":14,"column":37},"end":{"line":14,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5293¿VariableDeclarator¿¿9166¿v510¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":91},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5294¿CallExpression¿¿9166¿¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":91},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5295¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5296¿Identifier¿¿9166¿path¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5297¿Identifier¿¿9166¿join¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5298¿Identifier¿¿9166¿v509¿¿¿¿¿Identifier
5299¿Literal¿string¿9166¿¿'.claude/prompts/hop/implementation-master.md'¿¿{"start":{"line":14,"column":44},"end":{"line":14,"column":90},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5300¿ExpressionStatement¿¿9166¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ExpressionStatement
5301¿AssignmentExpression¿=¿9166¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":91},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿AssignmentExpression
5302¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5303¿ThisExpression¿¿9166¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ThisExpression
5304¿Identifier¿¿9166¿hopPath¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5305¿Identifier¿¿9166¿v510¿¿¿¿¿Identifier
5306¿ExpressionStatement¿¿9166¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ExpressionStatement
5307¿AssignmentExpression¿=¿9166¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿AssignmentExpression
5308¿MemberExpression¿¿9166¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5309¿ThisExpression¿¿9166¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ThisExpression
5310¿Identifier¿¿9166¿fileTimeout¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5311¿Literal¿number¿9166¿¿5000¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5312¿BlockStatement¿¿9166¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿BlockStatement
5313¿VariableDeclarator¿¿9164¿withTimeout¿¿¿{"start":{"line":9,"column":0},"end":{"line":615,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5314¿FunctionExpression¿¿9164¿withTimeout¿¿¿{"start":{"line":19,"column":19},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿FunctionExpression
5315¿Identifier¿¿0¿promise¿¿¿{"start":{"line":19,"column":20},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5316¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿AssignmentPattern
5317¿VariableDeclarator¿¿9168¿v517¿¿¿{"start":{"line":20,"column":39},"end":{"line":21,"column":123},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5318¿ArrowFunctionExpression¿¿9168¿¿¿¿{"start":{"line":20,"column":39},"end":{"line":21,"column":123},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿ArrowFunctionExpression
5319¿Identifier¿¿0¿_¿¿¿{"start":{"line":20,"column":40},"end":{"line":20,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5320¿Identifier¿¿0¿reject¿¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
