Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
843¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":195,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Program
866¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
867¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
868¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
869¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
870¿Identifier¿¿1462¿artisanCommand¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
871¿Identifier¿¿1462¿artisanCommand¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
872¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
873¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
874¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
875¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
876¿Identifier¿¿1462¿composeCommand¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
877¿Identifier¿¿1462¿composeCommand¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
878¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
879¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
880¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
881¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
882¿Identifier¿¿1462¿mysqlCommand¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
883¿Identifier¿¿1462¿mysqlCommand¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
884¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
885¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
886¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
887¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
888¿Identifier¿¿1462¿regenerateHTTPSCertificate¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
889¿Identifier¿¿1462¿regenerateHTTPSCertificate¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
890¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
891¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
892¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
893¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
894¿Identifier¿¿1462¿shellCommand¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
895¿Identifier¿¿1462¿shellCommand¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
896¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
897¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
898¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
899¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
900¿Identifier¿¿1462¿wpCommand¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
901¿Identifier¿¿1462¿wpCommand¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
902¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":16,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
903¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
904¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
905¿Identifier¿¿1462¿module¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
906¿Identifier¿¿1462¿exports¿¿¿{"start":{"line":9,"column":7},"end":{"line":9,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
907¿Identifier¿¿1462¿v61¿¿¿¿¿Identifier
908¿VariableDeclarator¿exported¿1462¿artisanCommand¿¿¿{"start":{"line":24,"column":0},"end":{"line":48,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
909¿FunctionExpression¿¿1462¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":48,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿FunctionExpression
910¿Identifier¿¿0¿commandArgs¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
911¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":24,"column":37},"end":{"line":24,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentPattern
912¿VariableDeclarator¿¿1464¿currentSiteName¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
913¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
914¿Identifier¿¿1464¿environment¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
915¿Identifier¿¿1464¿currentSiteName¿¿¿{"start":{"line":25,"column":38},"end":{"line":25,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
916¿VariableDeclarator¿¿1464¿v62¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
917¿UnaryExpression¿!¿1464¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿UnaryExpression
918¿Identifier¿¿1464¿container¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
919¿IfStatement¿¿1464¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿IfStatement
920¿Identifier¿¿1464¿v62¿¿¿¿¿Identifier
921¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
922¿AssignmentExpression¿=¿1464¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
923¿Identifier¿¿1464¿container¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
924¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
925¿Identifier¿¿1464¿config¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
926¿Identifier¿¿1464¿default_php_container¿¿¿{"start":{"line":28,"column":23},"end":{"line":28,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
927¿BlockStatement¿¿1464¿¿¿¿{"start":{"line":27,"column":18},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BlockStatement
928¿VariableDeclarator¿¿1464¿v63¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
929¿UnaryExpression¿!¿1464¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿UnaryExpression
930¿Identifier¿¿1464¿currentSiteName¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
931¿IfStatement¿¿1464¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿IfStatement
932¿Identifier¿¿1464¿v63¿¿¿¿¿Identifier
933¿VariableDeclarator¿¿1464¿v64¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
934¿CallExpression¿¿1464¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
935¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
936¿Identifier¿¿1464¿console¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
937¿Identifier¿¿1464¿error¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
938¿Literal¿string¿1464¿¿'This command must be run from within a site directory.'¿¿{"start":{"line":31,"column":18},"end":{"line":31,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
939¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
940¿Identifier¿¿1464¿v64¿¿¿¿¿Identifier
941¿VariableDeclarator¿¿1464¿v65¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
942¿CallExpression¿¿1464¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
943¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
944¿Identifier¿¿1464¿process¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
945¿Identifier¿¿1464¿exit¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
946¿Literal¿number¿1464¿¿1¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
947¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
948¿Identifier¿¿1464¿v65¿¿¿¿¿Identifier
949¿BlockStatement¿¿1464¿¿¿¿{"start":{"line":30,"column":24},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BlockStatement
950¿VariableDeclarator¿¿1464¿workdir¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
951¿TemplateLiteral¿¿1464¿¿¿¿{"start":{"line":35,"column":18},"end":{"line":35,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿TemplateLiteral
952¿Identifier¿¿1464¿currentSiteName¿¿¿{"start":{"line":35,"column":41},"end":{"line":35,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
953¿VariableDeclarator¿¿1464¿composeArgs¿¿¿{"start":{"line":37,"column":8},"end":{"line":45,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
954¿ArrayExpression¿¿1464¿¿¿¿{"start":{"line":37,"column":22},"end":{"line":45,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ArrayExpression
955¿Literal¿string¿1464¿¿'exec'¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
956¿Literal¿string¿1464¿¿'--user=www-data'¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
957¿Literal¿string¿1464¿¿'-w'¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
958¿Identifier¿¿1464¿workdir¿¿¿{"start":{"line":40,"column":10},"end":{"line":40,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
959¿Identifier¿¿1464¿container¿¿¿{"start":{"line":41,"column":4},"end":{"line":41,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
960¿Literal¿string¿1464¿¿'php'¿¿{"start":{"line":42,"column":4},"end":{"line":42,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
961¿Literal¿string¿1464¿¿'artisan'¿¿{"start":{"line":43,"column":4},"end":{"line":43,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
962¿SpreadElement¿¿1464¿¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿SpreadElement
963¿VariableDeclarator¿¿1464¿v66¿¿¿{"start":{"line":47,"column":2},"end":{"line":47,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
964¿CallExpression¿¿1464¿¿¿¿{"start":{"line":47,"column":2},"end":{"line":47,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
965¿Identifier¿¿1464¿composeCommand¿¿¿{"start":{"line":47,"column":2},"end":{"line":47,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
966¿Identifier¿¿1464¿composeArgs¿¿¿{"start":{"line":47,"column":17},"end":{"line":47,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
