Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
810¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":107,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Program
862¿VariableDeclarator¿¿1409¿v91¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
863¿ObjectExpression¿¿1409¿¿¿¿¿¿ObjectExpression
864¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
865¿AssignmentExpression¿=¿1409¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿AssignmentExpression
866¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
867¿Identifier¿¿1409¿v91¿¿¿¿¿Identifier
868¿Identifier¿¿1409¿fileSize¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
869¿Identifier¿¿1409¿v90¿¿¿¿¿Identifier
870¿VariableDeclarator¿¿1409¿v92¿¿¿{"start":{"line":11,"column":19},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
871¿ObjectExpression¿¿1409¿¿¿¿{"start":{"line":11,"column":19},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ObjectExpression
872¿Property¿¿1409¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Property
873¿Identifier¿¿1409¿limits¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
874¿Identifier¿¿1409¿v91¿¿¿¿¿Identifier
875¿Property¿¿1409¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Property
876¿Identifier¿¿1409¿abortOnLimit¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
877¿Literal¿boolean¿1409¿¿true¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
878¿Property¿¿1409¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Property
879¿Identifier¿¿1409¿useTempFiles¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
880¿Literal¿boolean¿1409¿¿true¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
881¿Property¿¿1409¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Property
882¿Identifier¿¿1409¿tempFileDir¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
883¿Literal¿string¿1409¿¿'/tmp/'¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
884¿Property¿¿1409¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Property
885¿Identifier¿¿1409¿safeFileNames¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
886¿Literal¿boolean¿1409¿¿true¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
887¿Property¿¿1409¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Property
888¿Identifier¿¿1409¿preserveExtension¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
889¿Literal¿boolean¿1409¿¿true¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
890¿VariableDeclarator¿¿1409¿v93¿¿¿{"start":{"line":11,"column":8},"end":{"line":18,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
891¿CallExpression¿¿1409¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":18,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
892¿Identifier¿¿1409¿fileUpload¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
893¿Identifier¿¿1409¿v92¿¿¿¿¿Identifier
894¿VariableDeclarator¿¿1409¿v94¿¿¿{"start":{"line":11,"column":0},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
895¿CallExpression¿¿1409¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
896¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
897¿Identifier¿¿1409¿app¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
898¿Identifier¿¿1409¿use¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
899¿Identifier¿¿1409¿v93¿¿¿¿¿Identifier
900¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":18,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
901¿Identifier¿¿1409¿v94¿¿¿¿¿Identifier
902¿VariableDeclarator¿¿1409¿v96¿¿¿{"start":{"line":20,"column":18},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
903¿ArrowFunctionExpression¿¿1409¿¿¿¿{"start":{"line":20,"column":18},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ArrowFunctionExpression
904¿Identifier¿¿0¿request¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
905¿Identifier¿¿0¿response¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
906¿VariableDeclarator¿¿1411¿v95¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
907¿CallExpression¿¿1411¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
908¿MemberExpression¿¿1411¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
909¿Identifier¿¿1411¿response¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
910¿Identifier¿¿1411¿send¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
911¿Literal¿string¿1411¿¿'Admins welcome!'¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
912¿ExpressionStatement¿¿1411¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
913¿Identifier¿¿1411¿v95¿¿¿¿¿Identifier
914¿BlockStatement¿¿1411¿¿¿¿{"start":{"line":20,"column":41},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BlockStatement
915¿VariableDeclarator¿¿1409¿v97¿¿¿{"start":{"line":20,"column":0},"end":{"line":22,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
916¿CallExpression¿¿1409¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":22,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
917¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
918¿Identifier¿¿1409¿app¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
919¿Identifier¿¿1409¿get¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
920¿Literal¿string¿1409¿¿'/admin'¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
921¿Identifier¿¿1409¿v96¿¿¿¿¿Identifier
922¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
923¿Identifier¿¿1409¿v97¿¿¿¿¿Identifier
924¿VariableDeclarator¿¿1409¿v100¿¿¿{"start":{"line":24,"column":26},"end":{"line":27,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
925¿ArrowFunctionExpression¿¿1409¿¿¿¿{"start":{"line":24,"column":26},"end":{"line":27,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ArrowFunctionExpression
926¿Identifier¿¿0¿request¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
