Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3673¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":586,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Program
3684¿Identifier¿¿6573¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3685¿Literal¿string¿6573¿¿'teeny-request'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3686¿VariableDeclarator¿¿6573¿request¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3687¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3688¿Identifier¿¿6573¿v477¿¿¿¿¿Identifier
3689¿Identifier¿¿6573¿teenyRequest¿¿¿{"start":{"line":3,"column":39},"end":{"line":3,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3690¿VariableDeclarator¿¿6573¿urlgrey¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3691¿CallExpression¿¿6573¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3692¿Identifier¿¿6573¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3693¿Literal¿string¿6573¿¿'urlgrey'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3694¿VariableDeclarator¿¿6573¿jsYaml¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3695¿CallExpression¿¿6573¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3696¿Identifier¿¿6573¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3697¿Literal¿string¿6573¿¿'js-yaml'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3698¿VariableDeclarator¿¿6573¿walk¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3699¿CallExpression¿¿6573¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3700¿Identifier¿¿6573¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3701¿Literal¿string¿6573¿¿'ignore-walk'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3702¿VariableDeclarator¿¿6573¿v478¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3703¿CallExpression¿¿6573¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3704¿Identifier¿¿6573¿require¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3705¿Literal¿string¿6573¿¿'child_process'¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3706¿VariableDeclarator¿¿6573¿execFileSync¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3707¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3708¿Identifier¿¿6573¿v478¿¿¿¿¿Identifier
3709¿Identifier¿¿6573¿execFileSync¿¿¿{"start":{"line":7,"column":44},"end":{"line":7,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3710¿VariableDeclarator¿¿6573¿v479¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3711¿CallExpression¿¿6573¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3712¿Identifier¿¿6573¿require¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3713¿Literal¿string¿6573¿¿'child_process'¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3714¿VariableDeclarator¿¿6573¿execSync¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3715¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3716¿Identifier¿¿6573¿v479¿¿¿¿¿Identifier
3717¿Identifier¿¿6573¿execSync¿¿¿{"start":{"line":8,"column":40},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3718¿VariableDeclarator¿¿6573¿detectProvider¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3719¿CallExpression¿¿6573¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3720¿Identifier¿¿6573¿require¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3721¿Literal¿string¿6573¿¿'./detect'¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3722¿VariableDeclarator¿¿6573¿v480¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3723¿CallExpression¿¿6573¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3724¿Identifier¿¿6573¿require¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3725¿Literal¿string¿6573¿¿'../package.json'¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3726¿VariableDeclarator¿¿6573¿v481¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3727¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3728¿Identifier¿¿6573¿v480¿¿¿¿¿Identifier
3729¿Identifier¿¿6573¿version¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3730¿VariableDeclarator¿¿6573¿version¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3731¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3732¿Literal¿string¿6573¿¿'v'¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3733¿Identifier¿¿6573¿v481¿¿¿¿¿Identifier
3734¿VariableDeclarator¿¿6573¿patterns¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3735¿Literal¿string¿6573¿¿''¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3736¿VariableDeclarator¿¿6573¿more_patterns¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3737¿Literal¿string¿6573¿¿''¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3738¿VariableDeclarator¿¿6573¿winPatterns¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3739¿Literal¿string¿6573¿¿''¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3740¿VariableDeclarator¿¿6573¿v482¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3741¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3742¿Identifier¿¿6573¿process¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3743¿Identifier¿¿6573¿platform¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3744¿VariableDeclarator¿¿6573¿v483¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3745¿CallExpression¿¿6573¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3746¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3747¿Identifier¿¿6573¿v482¿¿¿¿¿Identifier
3748¿Identifier¿¿6573¿match¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3749¿Literal¿object¿6573¿¿/win32/¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3750¿VariableDeclarator¿¿6573¿v484¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3751¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3752¿Identifier¿¿6573¿process¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3753¿Identifier¿¿6573¿platform¿¿¿{"start":{"line":19,"column":45},"end":{"line":19,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3754¿VariableDeclarator¿¿6573¿v485¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3755¿CallExpression¿¿6573¿¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3756¿MemberExpression¿¿6573¿¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3757¿Identifier¿¿6573¿v484¿¿¿¿¿Identifier
3758¿Identifier¿¿6573¿match¿¿¿{"start":{"line":19,"column":54},"end":{"line":19,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3759¿Literal¿object¿6573¿¿/win64/¿¿{"start":{"line":19,"column":60},"end":{"line":19,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3760¿VariableDeclarator¿¿6573¿isWindows¿¿¿{"start":{"line":18,"column":4},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3761¿LogicalExpression¿||¿6573¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿LogicalExpression
3762¿Identifier¿¿6573¿v483¿¿¿¿¿Identifier
3763¿Identifier¿¿6573¿v485¿¿¿¿¿Identifier
3764¿VariableDeclarator¿¿6573¿v486¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3765¿UnaryExpression¿!¿6573¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿UnaryExpression
3766¿Identifier¿¿6573¿isWindows¿¿¿{"start":{"line":21,"column":5},"end":{"line":21,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3767¿IfStatement¿¿6573¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":143,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿IfStatement
3768¿Identifier¿¿6573¿v486¿¿¿¿¿Identifier
3769¿VariableDeclarator¿¿6573¿v487¿¿¿{"start":{"line":23,"column":4},"end":{"line":24,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3770¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":24,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3771¿Literal¿string¿6573¿¿'-type f -name '*coverage.*' '¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3772¿Literal¿string¿6573¿¿'-or -name 'nosetests.xml' '¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3773¿VariableDeclarator¿¿6573¿v488¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3774¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3775¿Identifier¿¿6573¿v487¿¿¿¿¿Identifier
3776¿Literal¿string¿6573¿¿'-or -name 'jacoco*.xml' '¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3777¿VariableDeclarator¿¿6573¿v489¿¿¿{"start":{"line":23,"column":4},"end":{"line":26,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3778¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":26,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3779¿Identifier¿¿6573¿v488¿¿¿¿¿Identifier
3780¿Literal¿string¿6573¿¿'-or -name 'clover.xml' '¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3781¿VariableDeclarator¿¿6573¿v490¿¿¿{"start":{"line":23,"column":4},"end":{"line":27,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3782¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":27,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3783¿Identifier¿¿6573¿v489¿¿¿¿¿Identifier
3784¿Literal¿string¿6573¿¿'-or -name 'report.xml' '¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3785¿VariableDeclarator¿¿6573¿v491¿¿¿{"start":{"line":23,"column":4},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3786¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3787¿Identifier¿¿6573¿v490¿¿¿¿¿Identifier
3788¿Literal¿string¿6573¿¿'-or -name 'cobertura.xml' '¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3789¿VariableDeclarator¿¿6573¿v492¿¿¿{"start":{"line":23,"column":4},"end":{"line":29,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3790¿BinaryExpression¿+¿6573¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":29,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3791¿Identifier¿¿6573¿v491¿¿¿¿¿Identifier
3792¿Literal¿string¿6573¿¿'-or -name 'luacov.report.out' '¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
