Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
705¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":51,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Program
717¿VariableDeclarator¿¿1233¿portNumber¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
718¿CallExpression¿¿1233¿¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
719¿Identifier¿¿1233¿parseInt¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
720¿Identifier¿¿1233¿port¿¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
721¿Literal¿number¿1233¿¿10¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
722¿VariableDeclarator¿¿1233¿v83¿¿¿{"start":{"line":4,"column":5},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
723¿CallExpression¿¿1233¿¿¿¿{"start":{"line":4,"column":5},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
724¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":4,"column":5},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
725¿Identifier¿¿1233¿Number¿¿¿{"start":{"line":4,"column":5},"end":{"line":4,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
726¿Identifier¿¿1233¿isNaN¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
727¿Identifier¿¿1233¿portNumber¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
728¿IfStatement¿¿1233¿¿¿¿{"start":{"line":4,"column":1},"end":{"line":7,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿IfStatement
729¿Identifier¿¿1233¿v83¿¿¿¿¿Identifier
730¿VariableDeclarator¿¿1233¿v84¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
731¿CallExpression¿¿1233¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
732¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
733¿Identifier¿¿1233¿console¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
734¿Identifier¿¿1233¿error¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
735¿Literal¿string¿1233¿¿'Must provide number for port.'¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
736¿ExpressionStatement¿¿1233¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ExpressionStatement
737¿Identifier¿¿1233¿v84¿¿¿¿¿Identifier
738¿ReturnStatement¿¿1233¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ReturnStatement
739¿BlockStatement¿¿1233¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":7,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿BlockStatement
740¿TryStatement¿¿1233¿¿¿¿{"start":{"line":8,"column":1},"end":{"line":24,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿TryStatement
741¿VariableDeclarator¿¿1233¿v85¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
742¿TemplateLiteral¿¿1233¿¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿TemplateLiteral
743¿Identifier¿¿1233¿portNumber¿¿¿{"start":{"line":9,"column":41},"end":{"line":9,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
744¿VariableDeclarator¿¿1233¿v86¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
745¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
746¿AwaitExpression¿¿1233¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿AwaitExpression
747¿CallExpression¿¿1233¿¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
748¿Identifier¿¿1233¿exec¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
749¿Identifier¿¿1233¿v85¿¿¿¿¿Identifier
750¿Identifier¿¿1233¿output¿¿¿{"start":{"line":9,"column":56},"end":{"line":9,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
751¿VariableDeclarator¿¿1233¿result¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
752¿CallExpression¿¿1233¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
753¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
754¿Identifier¿¿1233¿v86¿¿¿¿¿Identifier
755¿Identifier¿¿1233¿split¿¿¿{"start":{"line":9,"column":63},"end":{"line":9,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
756¿Literal¿string¿1233¿¿'\n'¿¿{"start":{"line":9,"column":69},"end":{"line":9,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
757¿VariableDeclarator¿¿1233¿v87¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
758¿CallExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
759¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
760¿Identifier¿¿1233¿result¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
761¿Identifier¿¿1233¿shift¿¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
762¿VariableDeclarator¿¿1233¿v88¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
763¿CallExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
764¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
765¿Identifier¿¿1233¿v87¿¿¿¿¿Identifier
766¿Identifier¿¿1233¿split¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
767¿Literal¿string¿1233¿¿' '¿¿{"start":{"line":10,"column":39},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
768¿VariableDeclarator¿¿1233¿v95¿¿¿{"start":{"line":10,"column":51},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
769¿ArrowFunctionExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":51},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
770¿Identifier¿¿0¿item¿¿¿{"start":{"line":10,"column":51},"end":{"line":10,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
771¿VariableDeclarator¿¿1236¿v89¿¿¿{"start":{"line":10,"column":61},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
772¿CallExpression¿¿1236¿¿¿¿{"start":{"line":10,"column":61},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
773¿MemberExpression¿¿1236¿¿¿¿{"start":{"line":10,"column":61},"end":{"line":10,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
774¿Identifier¿¿1236¿item¿¿¿{"start":{"line":10,"column":61},"end":{"line":10,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
775¿Identifier¿¿1236¿trim¿¿¿{"start":{"line":10,"column":66},"end":{"line":10,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
776¿VariableDeclarator¿¿1236¿v90¿¿¿{"start":{"line":10,"column":60},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
777¿UnaryExpression¿!¿1236¿¿¿¿{"start":{"line":10,"column":60},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿UnaryExpression
778¿Identifier¿¿1236¿v89¿¿¿¿¿Identifier
779¿VariableDeclarator¿¿1236¿v91¿¿¿{"start":{"line":10,"column":59},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
780¿UnaryExpression¿!¿1236¿¿¿¿{"start":{"line":10,"column":59},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿UnaryExpression
781¿Identifier¿¿1236¿v90¿¿¿¿¿Identifier
782¿VariableDeclarator¿¿1236¿v92¿¿¿{"start":{"line":10,"column":76},"end":{"line":10,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
783¿CallExpression¿¿1236¿¿¿¿{"start":{"line":10,"column":76},"end":{"line":10,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
784¿MemberExpression¿¿1236¿¿¿¿{"start":{"line":10,"column":76},"end":{"line":10,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
785¿Identifier¿¿1236¿item¿¿¿{"start":{"line":10,"column":76},"end":{"line":10,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
786¿Identifier¿¿1236¿trim¿¿¿{"start":{"line":10,"column":81},"end":{"line":10,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
787¿VariableDeclarator¿¿1236¿v93¿¿¿{"start":{"line":10,"column":76},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
788¿BinaryExpression¿!==¿1236¿¿¿¿{"start":{"line":10,"column":76},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿BinaryExpression
789¿Identifier¿¿1236¿v92¿¿¿¿¿Identifier
790¿Literal¿string¿1236¿¿''¿¿{"start":{"line":10,"column":92},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
791¿VariableDeclarator¿¿1236¿v94¿¿¿{"start":{"line":10,"column":59},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
792¿LogicalExpression¿&&¿1236¿¿¿¿{"start":{"line":10,"column":59},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿LogicalExpression
793¿Identifier¿¿1236¿v91¿¿¿¿¿Identifier
794¿Identifier¿¿1236¿v93¿¿¿¿¿Identifier
795¿ReturnStatement¿¿1236¿¿¿¿¿¿ReturnStatement
796¿Identifier¿¿1236¿v94¿¿¿¿¿Identifier
797¿BlockStatement¿¿1236¿¿¿¿¿¿BlockStatement
798¿VariableDeclarator¿¿1233¿v96¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":95},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
799¿CallExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":95},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
800¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
801¿Identifier¿¿1233¿v88¿¿¿¿¿Identifier
802¿Identifier¿¿1233¿filter¿¿¿{"start":{"line":10,"column":44},"end":{"line":10,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
803¿Identifier¿¿1233¿v95¿¿¿¿¿Identifier
804¿VariableDeclarator¿¿1233¿v98¿¿¿{"start":{"line":10,"column":100},"end":{"line":10,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
805¿ArrowFunctionExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":100},"end":{"line":10,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
806¿Identifier¿¿0¿item¿¿¿{"start":{"line":10,"column":100},"end":{"line":10,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
807¿VariableDeclarator¿¿1238¿v97¿¿¿{"start":{"line":10,"column":108},"end":{"line":10,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
808¿CallExpression¿¿1238¿¿¿¿{"start":{"line":10,"column":108},"end":{"line":10,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
809¿MemberExpression¿¿1238¿¿¿¿{"start":{"line":10,"column":108},"end":{"line":10,"column":124},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
810¿Identifier¿¿1238¿item¿¿¿{"start":{"line":10,"column":108},"end":{"line":10,"column":112},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
811¿Identifier¿¿1238¿toLowerCase¿¿¿{"start":{"line":10,"column":113},"end":{"line":10,"column":124},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
812¿ReturnStatement¿¿1238¿¿¿¿¿¿ReturnStatement
813¿Identifier¿¿1238¿v97¿¿¿¿¿Identifier
814¿BlockStatement¿¿1238¿¿¿¿¿¿BlockStatement
815¿VariableDeclarator¿¿1233¿headers¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":127},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
816¿CallExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":127},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
817¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
818¿Identifier¿¿1233¿v96¿¿¿¿¿Identifier
819¿Identifier¿¿1233¿map¿¿¿{"start":{"line":10,"column":96},"end":{"line":10,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
820¿Identifier¿¿1233¿v98¿¿¿¿¿Identifier
821¿VariableDeclarator¿¿1233¿v105¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
822¿ArrowFunctionExpression¿¿1233¿¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
823¿Identifier¿¿0¿item¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
824¿VariableDeclarator¿¿1240¿v99¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1240¿¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
826¿MemberExpression¿¿1240¿¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
827¿Identifier¿¿1240¿item¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
828¿Identifier¿¿1240¿trim¿¿¿{"start":{"line":11,"column":38},"end":{"line":11,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
829¿VariableDeclarator¿¿1240¿v100¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
