Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
680¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":99,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Program
698¿Literal¿string¿1176¿¿'../debug'¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
699¿VariableDeclarator¿¿1176¿v76¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
700¿MemberExpression¿¿1176¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
701¿Identifier¿¿1176¿process¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
702¿Identifier¿¿1176¿env¿¿¿{"start":{"line":7,"column":40},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
703¿VariableDeclarator¿¿1176¿v77¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
704¿MemberExpression¿¿1176¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
705¿Identifier¿¿1176¿v76¿¿¿¿¿Identifier
706¿Identifier¿¿1176¿QUIET¿¿¿{"start":{"line":7,"column":44},"end":{"line":7,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
707¿VariableDeclarator¿¿1176¿v78¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
708¿BinaryExpression¿===¿1176¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿BinaryExpression
709¿Identifier¿¿1176¿v77¿¿¿¿¿Identifier
710¿Literal¿string¿1176¿¿'true'¿¿{"start":{"line":7,"column":54},"end":{"line":7,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
711¿VariableDeclarator¿¿1176¿debug¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
712¿CallExpression¿¿1176¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
713¿Identifier¿¿1176¿v75¿¿¿¿¿Identifier
714¿Identifier¿¿1176¿v78¿¿¿¿¿Identifier
715¿VariableDeclarator¿exported¿1176¿v148¿¿¿{"start":{"line":16,"column":0},"end":{"line":99,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
716¿FunctionExpression¿¿1176¿anon¿¿¿{"start":{"line":16,"column":17},"end":{"line":99,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿FunctionExpression
717¿Identifier¿¿0¿options¿¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
718¿VariableDeclarator¿¿1178¿v79¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
719¿ObjectExpression¿¿1178¿¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿ObjectExpression
720¿ExpressionStatement¿¿1178¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿ExpressionStatement
721¿AssignmentExpression¿=¿1178¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿AssignmentExpression
722¿Identifier¿¿1178¿options¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
723¿LogicalExpression¿||¿1178¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿LogicalExpression
724¿Identifier¿¿1178¿options¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
725¿Identifier¿¿1178¿v79¿¿¿¿¿Identifier
726¿VariableDeclarator¿¿1178¿_seed¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
727¿CallExpression¿¿1178¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
728¿MemberExpression¿¿1178¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
729¿Identifier¿¿1178¿Math¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
730¿Identifier¿¿1178¿random¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
731¿VariableDeclarator¿¿1178¿v80¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
732¿MemberExpression¿¿1178¿¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
733¿Identifier¿¿1178¿options¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
734¿Identifier¿¿1178¿cacheExpiration¿¿¿{"start":{"line":22,"column":32},"end":{"line":22,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
735¿VariableDeclarator¿¿1178¿_expirationTime¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
736¿LogicalExpression¿||¿1178¿¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿LogicalExpression
737¿Identifier¿¿1178¿v80¿¿¿¿¿Identifier
738¿Literal¿number¿1178¿¿60¿¿{"start":{"line":22,"column":51},"end":{"line":22,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
739¿VariableDeclarator¿¿1178¿_handler¿¿¿{"start":{"line":24,"column":6},"end":{"line":89,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
740¿FunctionExpression¿¿1178¿anon¿¿¿{"start":{"line":24,"column":17},"end":{"line":89,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿FunctionExpression
741¿Identifier¿¿0¿req¿¿¿{"start":{"line":24,"column":26},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
742¿Identifier¿¿0¿res¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
743¿Identifier¿¿0¿next¿¿¿{"start":{"line":24,"column":36},"end":{"line":24,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
744¿VariableDeclarator¿¿1180¿v81¿¿¿{"start":{"line":25,"column":29},"end":{"line":25,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
745¿MemberExpression¿¿1180¿¿¿¿{"start":{"line":25,"column":29},"end":{"line":25,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
746¿Identifier¿¿1180¿req¿¿¿{"start":{"line":25,"column":29},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
747¿Identifier¿¿1180¿url¿¿¿{"start":{"line":25,"column":33},"end":{"line":25,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
748¿VariableDeclarator¿¿1180¿resource¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
749¿CallExpression¿¿1180¿¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
750¿MemberExpression¿¿1180¿¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
751¿Identifier¿¿1180¿url¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
752¿Identifier¿¿1180¿parse¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
753¿Identifier¿¿1180¿v81¿¿¿¿¿Identifier
754¿VariableDeclarator¿¿1180¿v82¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
755¿CallExpression¿¿1180¿¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
756¿MemberExpression¿¿1180¿¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
757¿Identifier¿¿1180¿process¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
758¿Identifier¿¿1180¿cwd¿¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
759¿VariableDeclarator¿¿1180¿v83¿¿¿{"start":{"line":26,"column":34},"end":{"line":26,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
760¿MemberExpression¿¿1180¿¿¿¿{"start":{"line":26,"column":34},"end":{"line":26,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
761¿Identifier¿¿1180¿resource¿¿¿{"start":{"line":26,"column":34},"end":{"line":26,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
762¿Identifier¿¿1180¿pathname¿¿¿{"start":{"line":26,"column":43},"end":{"line":26,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
763¿VariableDeclarator¿¿1180¿v84¿¿¿{"start":{"line":26,"column":34},"end":{"line":26,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
764¿LogicalExpression¿||¿1180¿¿¿¿{"start":{"line":26,"column":34},"end":{"line":26,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿LogicalExpression
765¿Identifier¿¿1180¿v83¿¿¿¿¿Identifier
766¿Literal¿string¿1180¿¿'/'¿¿{"start":{"line":26,"column":55},"end":{"line":26,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
767¿VariableDeclarator¿¿1180¿filePath¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
768¿BinaryExpression¿+¿1180¿¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿BinaryExpression
769¿Identifier¿¿1180¿v82¿¿¿¿¿Identifier
770¿Identifier¿¿1180¿v84¿¿¿¿¿Identifier
771¿VariableDeclarator¿¿1180¿v85¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
772¿MemberExpression¿¿1180¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
773¿Identifier¿¿1180¿filePath¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
774¿Identifier¿¿1180¿length¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
775¿VariableDeclarator¿¿1180¿v86¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
776¿BinaryExpression¿-¿1180¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿BinaryExpression
777¿Identifier¿¿1180¿v85¿¿¿¿¿Identifier
778¿Literal¿number¿1180¿¿1¿¿{"start":{"line":28,"column":32},"end":{"line":28,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
779¿VariableDeclarator¿¿1180¿v87¿¿¿{"start":{"line":28,"column":7},"end":{"line":28,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
780¿MemberExpression¿computed¿1180¿¿¿¿{"start":{"line":28,"column":7},"end":{"line":28,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
781¿Identifier¿¿1180¿filePath¿¿¿{"start":{"line":28,"column":7},"end":{"line":28,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
782¿Identifier¿¿1180¿v86¿¿¿¿¿Identifier
783¿VariableDeclarator¿¿1180¿v88¿¿¿{"start":{"line":28,"column":7},"end":{"line":28,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
784¿BinaryExpression¿===¿1180¿¿¿¿{"start":{"line":28,"column":7},"end":{"line":28,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿BinaryExpression
785¿Identifier¿¿1180¿v87¿¿¿¿¿Identifier
786¿Literal¿string¿1180¿¿'/'¿¿{"start":{"line":28,"column":39},"end":{"line":28,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
787¿IfStatement¿¿1180¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿IfStatement
788¿Identifier¿¿1180¿v88¿¿¿¿¿Identifier
789¿ExpressionStatement¿¿1180¿¿¿¿{"start":{"line":28,"column":44},"end":{"line":28,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿ExpressionStatement
790¿AssignmentExpression¿+=¿1180¿¿¿¿{"start":{"line":28,"column":44},"end":{"line":28,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿AssignmentExpression
791¿Identifier¿¿1180¿filePath¿¿¿{"start":{"line":28,"column":44},"end":{"line":28,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
792¿Literal¿string¿1180¿¿'index.html'¿¿{"start":{"line":28,"column":56},"end":{"line":28,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
793¿BlockStatement¿¿1180¿¿¿¿¿¿BlockStatement
794¿VariableDeclarator¿¿1180¿startTime¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
795¿CallExpression¿¿1180¿¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
796¿MemberExpression¿¿1180¿¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿MemberExpression
797¿Identifier¿¿1180¿process¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
798¿Identifier¿¿1180¿hrtime¿¿¿{"start":{"line":30,"column":28},"end":{"line":30,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
