Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
995¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":154,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Program
1006¿VariableDeclarator¿¿1680¿v86¿¿¿{"start":{"line":5,"column":28},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1007¿ArrayExpression¿¿1680¿¿¿¿{"start":{"line":5,"column":28},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ArrayExpression
1008¿Literal¿string¿1680¿¿'group'¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1009¿Literal¿string¿1680¿¿'ppid'¿¿{"start":{"line":6,"column":10},"end":{"line":6,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1010¿Literal¿string¿1680¿¿'user'¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1011¿Literal¿string¿1680¿¿'args'¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1012¿Literal¿string¿1680¿¿'comm'¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1013¿Literal¿string¿1680¿¿'rgroup'¿¿{"start":{"line":6,"column":42},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1014¿Literal¿string¿1680¿¿'nice'¿¿{"start":{"line":6,"column":52},"end":{"line":6,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1015¿Literal¿string¿1680¿¿'pid'¿¿{"start":{"line":6,"column":60},"end":{"line":6,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1016¿Literal¿string¿1680¿¿'pgid'¿¿{"start":{"line":6,"column":67},"end":{"line":6,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1017¿Literal¿string¿1680¿¿'etime'¿¿{"start":{"line":6,"column":75},"end":{"line":6,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1018¿Literal¿string¿1680¿¿'ruser'¿¿{"start":{"line":7,"column":1},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1019¿Literal¿string¿1680¿¿'time'¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1020¿Literal¿string¿1680¿¿'tty'¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1021¿Literal¿string¿1680¿¿'vsz'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1022¿VariableDeclarator¿¿1680¿validFields¿¿¿{"start":{"line":5,"column":6},"end":{"line":8,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1023¿NewExpression¿¿1680¿¿¿¿{"start":{"line":5,"column":20},"end":{"line":8,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿NewExpression
1024¿Identifier¿¿1680¿Set¿¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1025¿Identifier¿¿1680¿v86¿¿¿¿¿Identifier
1026¿VariableDeclarator¿¿1680¿lookup¿¿¿{"start":{"line":10,"column":6},"end":{"line":63,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1027¿ArrowFunctionExpression¿¿1680¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":63,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ArrowFunctionExpression
1028¿ObjectPattern¿¿0¿¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":96},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ObjectPattern
1029¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":24},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1030¿Identifier¿¿0¿pid¿¿¿{"start":{"line":10,"column":24},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1031¿Identifier¿¿0¿pid¿¿¿{"start":{"line":10,"column":24},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1032¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1033¿Identifier¿¿0¿ppid¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1034¿Identifier¿¿0¿ppid¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1035¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1036¿Identifier¿¿0¿user¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1037¿Identifier¿¿0¿user¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1038¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1039¿Identifier¿¿0¿group¿¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1040¿Identifier¿¿0¿group¿¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1041¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":48},"end":{"line":10,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1042¿Identifier¿¿0¿command¿¿¿{"start":{"line":10,"column":48},"end":{"line":10,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1043¿Identifier¿¿0¿command¿¿¿{"start":{"line":10,"column":48},"end":{"line":10,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1044¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":57},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1045¿Identifier¿¿0¿all¿¿¿{"start":{"line":10,"column":57},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1046¿Identifier¿¿0¿all¿¿¿{"start":{"line":10,"column":57},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1047¿Property¿¿0¿¿¿¿{"start":{"line":10,"column":62},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Property
1048¿Identifier¿¿0¿fields¿¿¿{"start":{"line":10,"column":62},"end":{"line":10,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1049¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":10,"column":62},"end":{"line":10,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿AssignmentPattern
1050¿VariableDeclarator¿¿1682¿v88¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1051¿ArrowFunctionExpression¿¿1682¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ArrowFunctionExpression
1052¿Identifier¿¿0¿field¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1053¿VariableDeclarator¿¿1684¿v87¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1054¿CallExpression¿¿1684¿¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿CallExpression
1055¿MemberExpression¿¿1684¿¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿MemberExpression
1056¿Identifier¿¿1684¿validFields¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1057¿Identifier¿¿1684¿has¿¿¿{"start":{"line":11,"column":43},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1058¿Identifier¿¿1684¿field¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1059¿ReturnStatement¿¿1684¿¿¿¿¿¿ReturnStatement
1060¿Identifier¿¿1684¿v87¿¿¿¿¿Identifier
1061¿BlockStatement¿¿1684¿¿¿¿¿¿BlockStatement
1062¿VariableDeclarator¿¿1682¿v89¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1063¿CallExpression¿¿1682¿¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿CallExpression
1064¿MemberExpression¿¿1682¿¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿MemberExpression
1065¿Identifier¿¿1682¿fields¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1066¿Identifier¿¿1682¿every¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1067¿Identifier¿¿1682¿v88¿¿¿¿¿Identifier
1068¿VariableDeclarator¿¿1682¿v90¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1069¿UnaryExpression¿!¿1682¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿UnaryExpression
1070¿Identifier¿¿1682¿v89¿¿¿¿¿Identifier
1071¿IfStatement¿¿1682¿¿¿¿{"start":{"line":11,"column":1},"end":{"line":13,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿IfStatement
1072¿Identifier¿¿1682¿v90¿¿¿¿¿Identifier
1073¿VariableDeclarator¿¿1682¿v91¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1074¿NewExpression¿¿1682¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿NewExpression
1075¿Identifier¿¿1682¿Error¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1076¿Literal¿string¿1682¿¿'ps - invalid field provided'¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1077¿ThrowStatement¿¿1682¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ThrowStatement
1078¿Identifier¿¿1682¿v91¿¿¿¿¿Identifier
1079¿BlockStatement¿¿1682¿¿¿¿{"start":{"line":11,"column":56},"end":{"line":13,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿BlockStatement
1080¿VariableDeclarator¿¿1682¿v92¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1081¿CallExpression¿¿1682¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿CallExpression
1082¿MemberExpression¿¿1682¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿MemberExpression
1083¿Identifier¿¿1682¿fields¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1084¿Identifier¿¿1682¿indexOf¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1085¿Literal¿string¿1682¿¿'ppid'¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1086¿VariableDeclarator¿¿1682¿v93¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1087¿BinaryExpression¿<¿1682¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿BinaryExpression
1088¿Identifier¿¿1682¿v92¿¿¿¿¿Identifier
1089¿Literal¿number¿1682¿¿0¿¿{"start":{"line":15,"column":38},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1090¿VariableDeclarator¿¿1682¿v94¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1091¿LogicalExpression¿&&¿1682¿¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿LogicalExpression
1092¿Identifier¿¿1682¿ppid¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1093¿Identifier¿¿1682¿v93¿¿¿¿¿Identifier
1094¿IfStatement¿¿1682¿¿¿¿{"start":{"line":15,"column":1},"end":{"line":17,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿IfStatement
1095¿Identifier¿¿1682¿v94¿¿¿¿¿Identifier
1096¿VariableDeclarator¿¿1682¿v95¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1097¿CallExpression¿¿1682¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿CallExpression
1098¿MemberExpression¿¿1682¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿MemberExpression
1099¿Identifier¿¿1682¿fields¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1100¿Identifier¿¿1682¿push¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1101¿Literal¿string¿1682¿¿'ppid'¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Literal
1102¿ExpressionStatement¿¿1682¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ExpressionStatement
1103¿Identifier¿¿1682¿v95¿¿¿¿¿Identifier
1104¿BlockStatement¿¿1682¿¿¿¿{"start":{"line":15,"column":41},"end":{"line":17,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿BlockStatement
1105¿VariableDeclarator¿¿1682¿v96¿¿¿{"start":{"line":19,"column":59},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1106¿ArrayExpression¿¿1682¿¿¿¿{"start":{"line":19,"column":59},"end":{"line":19,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿ArrayExpression
1107¿VariableDeclarator¿¿1682¿fieldOptions¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿VariableDeclarator
1108¿CallExpression¿¿1682¿¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿CallExpression
1109¿MemberExpression¿¿1682¿¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿MemberExpression
1110¿Identifier¿¿1682¿fields¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
1111¿Identifier¿¿1682¿reduce¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/ps_0.0.2/ps_1.0.0.js"}¿¿Identifier
