Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1747¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":187,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Program
1787¿Identifier¿¿3084¿format¿¿¿{"start":{"line":7,"column":29},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1788¿VariableDeclarator¿¿3084¿v179¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1789¿ObjectExpression¿¿3084¿¿¿¿¿¿ObjectExpression
1790¿VariableDeclarator¿exported¿3084¿v197¿¿¿{"start":{"line":12,"column":8},"end":{"line":40,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1791¿FunctionExpression¿¿3084¿anon¿¿¿{"start":{"line":12,"column":8},"end":{"line":40,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿FunctionExpression
1792¿Identifier¿¿0¿pid¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1793¿Identifier¿¿0¿options¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1794¿Identifier¿¿0¿done¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1795¿VariableDeclarator¿¿3086¿self¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1796¿ThisExpression¿¿3086¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ThisExpression
1797¿VariableDeclarator¿¿3086¿v180¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1798¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1799¿ThisExpression¿¿3086¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ThisExpression
1800¿Identifier¿¿3086¿cpu¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1801¿VariableDeclarator¿¿3086¿v181¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1802¿BinaryExpression¿!==¿3086¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BinaryExpression
1803¿Identifier¿¿3086¿v180¿¿¿¿¿Identifier
1804¿Literal¿object¿3086¿¿null¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1805¿IfStatement¿¿3086¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":39,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿IfStatement
1806¿Identifier¿¿3086¿v181¿¿¿¿¿Identifier
1807¿VariableDeclarator¿¿3086¿v191¿¿¿{"start":{"line":16,"column":42},"end":{"line":29,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1808¿FunctionExpression¿¿3086¿anon¿¿¿{"start":{"line":16,"column":42},"end":{"line":29,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿FunctionExpression
1809¿Identifier¿¿0¿err¿¿¿{"start":{"line":16,"column":51},"end":{"line":16,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1810¿Identifier¿¿0¿uptime¿¿¿{"start":{"line":16,"column":56},"end":{"line":16,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1811¿IfStatement¿¿3088¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿IfStatement
1812¿Identifier¿¿3088¿err¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1813¿VariableDeclarator¿¿3088¿v182¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1814¿CallExpression¿¿3088¿¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1815¿Identifier¿¿3088¿done¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1816¿Identifier¿¿3088¿err¿¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1817¿Literal¿object¿3088¿¿null¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1818¿ReturnStatement¿¿3088¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ReturnStatement
1819¿Identifier¿¿3088¿v182¿¿¿¿¿Identifier
1820¿BlockStatement¿¿3088¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BlockStatement
1821¿VariableDeclarator¿¿3088¿v183¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1822¿BinaryExpression¿===¿3088¿¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BinaryExpression
1823¿Identifier¿¿3088¿uptime¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1824¿Identifier¿¿3088¿undefined¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1825¿IfStatement¿¿3088¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿IfStatement
1826¿Identifier¿¿3088¿v183¿¿¿¿¿Identifier
1827¿VariableDeclarator¿¿3088¿v184¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1828¿CallExpression¿¿3088¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1829¿MemberExpression¿¿3088¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1830¿Identifier¿¿3088¿console¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1831¿Identifier¿¿3088¿error¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1832¿Literal¿string¿3088¿¿'[pidusage] We couldn't find uptime from /proc/uptime'¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1833¿ExpressionStatement¿¿3088¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ExpressionStatement
1834¿Identifier¿¿3088¿v184¿¿¿¿¿Identifier
1835¿VariableDeclarator¿¿3088¿v186¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1836¿CallExpression¿¿3088¿¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1837¿MemberExpression¿¿3088¿¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1838¿Identifier¿¿3088¿os¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1839¿Identifier¿¿3088¿uptime¿¿¿{"start":{"line":23,"column":31},"end":{"line":23,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1840¿ExpressionStatement¿¿3088¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ExpressionStatement
1841¿AssignmentExpression¿=¿3088¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿AssignmentExpression
1842¿MemberExpression¿¿3088¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1843¿Identifier¿¿3088¿v185¿¿¿¿¿Identifier
1844¿Identifier¿¿3088¿uptime¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1845¿Identifier¿¿3088¿v186¿¿¿¿¿Identifier
1846¿BlockStatement¿¿3088¿¿¿¿{"start":{"line":21,"column":33},"end":{"line":24,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BlockStatement
1847¿VariableDeclarator¿¿3088¿v187¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1848¿MemberExpression¿¿3088¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1849¿Identifier¿¿3088¿self¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1850¿Identifier¿¿3088¿cpu¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1851¿VariableDeclarator¿¿3088¿v188¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1852¿CallExpression¿¿3088¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1853¿MemberExpression¿¿3088¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1854¿Identifier¿¿3088¿uptime¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1855¿Identifier¿¿3088¿split¿¿¿{"start":{"line":25,"column":35},"end":{"line":25,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1856¿Literal¿string¿3088¿¿' '¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1857¿VariableDeclarator¿¿3088¿v189¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1858¿MemberExpression¿computed¿3088¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1859¿Identifier¿¿3088¿v188¿¿¿¿¿Identifier
1860¿Literal¿number¿3088¿¿0¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1861¿ExpressionStatement¿¿3088¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ExpressionStatement
1862¿AssignmentExpression¿=¿3088¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿AssignmentExpression
1863¿MemberExpression¿¿3088¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1864¿Identifier¿¿3088¿v187¿¿¿¿¿Identifier
1865¿Identifier¿¿3088¿uptime¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1866¿Identifier¿¿3088¿v189¿¿¿¿¿Identifier
