Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1029¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":135,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Program
1040¿VariableDeclarator¿¿1820¿log¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1041¿CallExpression¿¿1820¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿CallExpression
1042¿Identifier¿¿1820¿require¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1043¿Literal¿string¿1820¿¿'fancy-log'¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1044¿VariableDeclarator¿¿1820¿v115¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1045¿CallExpression¿¿1820¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿CallExpression
1046¿Identifier¿¿1820¿require¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1047¿Literal¿string¿1820¿¿'child_process'¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1048¿VariableDeclarator¿¿1820¿execFile¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1049¿MemberExpression¿¿1820¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1050¿Identifier¿¿1820¿v115¿¿¿¿¿Identifier
1051¿Identifier¿¿1820¿execFile¿¿¿{"start":{"line":5,"column":40},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1052¿VariableDeclarator¿¿1820¿path¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1053¿CallExpression¿¿1820¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿CallExpression
1054¿Identifier¿¿1820¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1055¿Literal¿string¿1820¿¿'path'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1056¿VariableDeclarator¿¿1820¿toArgv¿¿¿{"start":{"line":9,"column":0},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1057¿FunctionExpression¿¿1820¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿FunctionExpression
1058¿Identifier¿¿0¿str¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1059¿VariableDeclarator¿¿1822¿v116¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1060¿UnaryExpression¿!¿1822¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿UnaryExpression
1061¿Identifier¿¿1822¿str¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1062¿VariableDeclarator¿¿1822¿v117¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1063¿UnaryExpression¿typeof¿1822¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿UnaryExpression
1064¿Identifier¿¿1822¿str¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1065¿VariableDeclarator¿¿1822¿v118¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1066¿BinaryExpression¿!==¿1822¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿BinaryExpression
1067¿Identifier¿¿1822¿v117¿¿¿¿¿Identifier
1068¿Literal¿string¿1822¿¿'string'¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1069¿VariableDeclarator¿¿1822¿v119¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1070¿LogicalExpression¿||¿1822¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿LogicalExpression
1071¿Identifier¿¿1822¿v116¿¿¿¿¿Identifier
1072¿Identifier¿¿1822¿v118¿¿¿¿¿Identifier
1073¿IfStatement¿¿1822¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿IfStatement
1074¿Identifier¿¿1822¿v119¿¿¿¿¿Identifier
1075¿VariableDeclarator¿¿1822¿v120¿¿¿{"start":{"line":10,"column":46},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1076¿ArrayExpression¿¿1822¿¿¿¿{"start":{"line":10,"column":46},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿ArrayExpression
1077¿ReturnStatement¿¿1822¿¿¿¿{"start":{"line":10,"column":39},"end":{"line":10,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿ReturnStatement
1078¿Identifier¿¿1822¿v120¿¿¿¿¿Identifier
1079¿BlockStatement¿¿1822¿¿¿¿¿¿BlockStatement
1080¿VariableDeclarator¿¿1822¿r¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1081¿ArrayExpression¿¿1822¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿ArrayExpression
1082¿VariableDeclarator¿¿1822¿m¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1083¿VariableDeclarator¿¿1822¿re¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1084¿Literal¿object¿1822¿¿/'([^']*)'|'([^']*)'|(\S+)/g¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1085¿WhileStatement¿¿1822¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿WhileStatement
1086¿AssignmentExpression¿=¿1822¿¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿AssignmentExpression
1087¿Identifier¿¿1822¿m¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1088¿CallExpression¿¿1822¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿CallExpression
1089¿MemberExpression¿¿1822¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1090¿Identifier¿¿1822¿re¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1091¿Identifier¿¿1822¿exec¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1092¿Identifier¿¿1822¿str¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1093¿VariableDeclarator¿¿1822¿v121¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1094¿MemberExpression¿computed¿1822¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1095¿Identifier¿¿1822¿m¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1096¿Literal¿number¿1822¿¿1¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1097¿VariableDeclarator¿¿1822¿v122¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1098¿MemberExpression¿computed¿1822¿¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1099¿Identifier¿¿1822¿m¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1100¿Literal¿number¿1822¿¿2¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1101¿VariableDeclarator¿¿1822¿v123¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1102¿LogicalExpression¿||¿1822¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿LogicalExpression
1103¿Identifier¿¿1822¿v121¿¿¿¿¿Identifier
1104¿Identifier¿¿1822¿v122¿¿¿¿¿Identifier
1105¿VariableDeclarator¿¿1822¿v124¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1106¿MemberExpression¿computed¿1822¿¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1107¿Identifier¿¿1822¿m¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1108¿Literal¿number¿1822¿¿3¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1109¿VariableDeclarator¿¿1822¿v125¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1110¿LogicalExpression¿||¿1822¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿LogicalExpression
1111¿Identifier¿¿1822¿v123¿¿¿¿¿Identifier
1112¿Identifier¿¿1822¿v124¿¿¿¿¿Identifier
1113¿VariableDeclarator¿¿1822¿v126¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1114¿CallExpression¿¿1822¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿CallExpression
1115¿MemberExpression¿¿1822¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1116¿Identifier¿¿1822¿r¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1117¿Identifier¿¿1822¿push¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1118¿Identifier¿¿1822¿v125¿¿¿¿¿Identifier
1119¿ExpressionStatement¿¿1822¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿ExpressionStatement
1120¿Identifier¿¿1822¿v126¿¿¿¿¿Identifier
1121¿BlockStatement¿¿1822¿¿¿¿{"start":{"line":14,"column":29},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿BlockStatement
1122¿ReturnStatement¿¿1822¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿ReturnStatement
1123¿Identifier¿¿1822¿r¿¿¿{"start":{"line":17,"column":9},"end":{"line":17,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1124¿BlockStatement¿¿1822¿¿¿¿{"start":{"line":9,"column":21},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿BlockStatement
1125¿VariableDeclarator¿exported¿1820¿v226¿¿¿{"start":{"line":23,"column":0},"end":{"line":135,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1126¿FunctionExpression¿¿1820¿anon¿¿¿{"start":{"line":23,"column":17},"end":{"line":135,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿FunctionExpression
1127¿Identifier¿¿0¿message¿¿¿{"start":{"line":23,"column":27},"end":{"line":23,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1128¿Identifier¿¿0¿opt¿¿¿{"start":{"line":23,"column":36},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1129¿VariableDeclarator¿¿1826¿v127¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1130¿UnaryExpression¿!¿1826¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿UnaryExpression
1131¿Identifier¿¿1826¿opt¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1132¿IfStatement¿¿1826¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿IfStatement
1133¿Identifier¿¿1826¿v127¿¿¿¿¿Identifier
1134¿ExpressionStatement¿¿1826¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿ExpressionStatement
1135¿AssignmentExpression¿=¿1826¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿AssignmentExpression
1136¿Identifier¿¿1826¿opt¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1137¿ObjectExpression¿¿1826¿¿¿¿¿¿ObjectExpression
1138¿BlockStatement¿¿1826¿¿¿¿¿¿BlockStatement
1139¿VariableDeclarator¿¿1826¿v128¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1140¿UnaryExpression¿!¿1826¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿UnaryExpression
1141¿Identifier¿¿1826¿message¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1142¿IfStatement¿¿1826¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿IfStatement
1143¿Identifier¿¿1826¿v128¿¿¿¿¿Identifier
1144¿VariableDeclarator¿¿1826¿v129¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1145¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1146¿Identifier¿¿1826¿opt¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1147¿Identifier¿¿1826¿args¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1148¿VariableDeclarator¿¿1826¿v130¿¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1149¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1150¿Identifier¿¿1826¿opt¿¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1151¿Identifier¿¿1826¿args¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1152¿VariableDeclarator¿¿1826¿v131¿¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
1153¿CallExpression¿¿1826¿¿¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿CallExpression
1154¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿MemberExpression
1155¿Identifier¿¿1826¿v130¿¿¿¿¿Identifier
1156¿Identifier¿¿1826¿indexOf¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Identifier
1157¿Literal¿string¿1826¿¿'--amend'¿¿{"start":{"line":26,"column":37},"end":{"line":26,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿Literal
1158¿VariableDeclarator¿¿1826¿v132¿¿¿{"start":{"line":26,"column":52},"end":{"line":26,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/gulp-git/commit.js"}¿¿VariableDeclarator
