Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1011¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":129,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Program
1068¿Identifier¿¿1751¿recursive¿¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1069¿Literal¿boolean¿1751¿¿true¿¿{"start":{"line":11,"column":41},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1070¿VariableDeclarator¿¿1751¿v92¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1071¿CallExpression¿¿1751¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿CallExpression
1072¿MemberExpression¿¿1751¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿MemberExpression
1073¿Identifier¿¿1751¿fsSync¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1074¿Identifier¿¿1751¿mkdirSync¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1075¿Identifier¿¿1751¿SITE_ROOT¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1076¿Identifier¿¿1751¿v91¿¿¿¿¿Identifier
1077¿ExpressionStatement¿¿1751¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿ExpressionStatement
1078¿Identifier¿¿1751¿v92¿¿¿¿¿Identifier
1079¿VariableDeclarator¿¿1751¿sanitizeName¿¿¿{"start":{"line":14,"column":0},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1080¿FunctionExpression¿¿1751¿anon¿¿¿{"start":{"line":14,"column":0},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿FunctionExpression
1081¿Identifier¿¿0¿name¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1082¿VariableDeclarator¿¿1753¿v93¿¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1083¿LogicalExpression¿||¿1753¿¿¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿LogicalExpression
1084¿Identifier¿¿1753¿name¿¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1085¿Literal¿string¿1753¿¿'file'¿¿{"start":{"line":15,"column":37},"end":{"line":15,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1086¿VariableDeclarator¿¿1753¿base¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1087¿CallExpression¿¿1753¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿CallExpression
1088¿MemberExpression¿¿1753¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿MemberExpression
1089¿Identifier¿¿1753¿path¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1090¿Identifier¿¿1753¿basename¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1091¿Identifier¿¿1753¿v93¿¿¿¿¿Identifier
1092¿VariableDeclarator¿¿1753¿v94¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1093¿CallExpression¿¿1753¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿CallExpression
1094¿MemberExpression¿¿1753¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿MemberExpression
1095¿Identifier¿¿1753¿base¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1096¿Identifier¿¿1753¿replace¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1097¿Literal¿object¿1753¿¿/[^a-zA-Z0-9._-]/g¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1098¿Literal¿string¿1753¿¿'_'¿¿{"start":{"line":16,"column":42},"end":{"line":16,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1099¿VariableDeclarator¿¿1753¿v95¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1100¿CallExpression¿¿1753¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿CallExpression
1101¿MemberExpression¿¿1753¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿MemberExpression
1102¿Identifier¿¿1753¿v94¿¿¿¿¿Identifier
1103¿Identifier¿¿1753¿slice¿¿¿{"start":{"line":16,"column":47},"end":{"line":16,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Identifier
1104¿Literal¿number¿1753¿¿0¿¿{"start":{"line":16,"column":53},"end":{"line":16,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1105¿Literal¿number¿1753¿¿200¿¿{"start":{"line":16,"column":56},"end":{"line":16,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1106¿ReturnStatement¿¿1753¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿ReturnStatement
1107¿Identifier¿¿1753¿v95¿¿¿¿¿Identifier
1108¿BlockStatement¿¿1753¿¿¿¿{"start":{"line":14,"column":28},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿BlockStatement
1109¿VariableDeclarator¿¿1751¿allowedTypes¿¿¿{"start":{"line":20,"column":6},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿VariableDeclarator
1110¿ArrayExpression¿¿1751¿¿¿¿{"start":{"line":20,"column":21},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿ArrayExpression
1111¿Literal¿string¿1751¿¿'.html'¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1112¿Literal¿string¿1751¿¿'.css'¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1113¿Literal¿string¿1751¿¿'.js'¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1114¿Literal¿string¿1751¿¿'.json'¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1115¿Literal¿string¿1751¿¿'.txt'¿¿{"start":{"line":21,"column":35},"end":{"line":21,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1116¿Literal¿string¿1751¿¿'.md'¿¿{"start":{"line":21,"column":43},"end":{"line":21,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1117¿Literal¿string¿1751¿¿'.jpg'¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1118¿Literal¿string¿1751¿¿'.jpeg'¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1119¿Literal¿string¿1751¿¿'.png'¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1120¿Literal¿string¿1751¿¿'.gif'¿¿{"start":{"line":22,"column":27},"end":{"line":22,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1121¿Literal¿string¿1751¿¿'.svg'¿¿{"start":{"line":22,"column":35},"end":{"line":22,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1122¿Literal¿string¿1751¿¿'.webp'¿¿{"start":{"line":22,"column":43},"end":{"line":22,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1123¿Literal¿string¿1751¿¿'.pdf'¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1124¿Literal¿string¿1751¿¿'.ico'¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1125¿Literal¿string¿1751¿¿'.xml'¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1126¿Literal¿string¿1751¿¿'.woff'¿¿{"start":{"line":23,"column":26},"end":{"line":23,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1127¿Literal¿string¿1751¿¿'.woff2'¿¿{"start":{"line":23,"column":35},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1128¿Literal¿string¿1751¿¿'.ttf'¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
1129¿Literal¿string¿1751¿¿'.eot'¿¿{"start":{"line":23,"column":53},"end":{"line":23,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/static-site-host/fixed_files.js"}¿¿Literal
