Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2221¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":254,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Program
2237¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2238¿Identifier¿¿3873¿yargs¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2239¿Identifier¿¿3873¿usage¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2240¿Literal¿string¿3873¿¿'Usage: $0 <command> [options] <target>'¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2241¿ExpressionStatement¿¿3873¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ExpressionStatement
2242¿Identifier¿¿3873¿v225¿¿¿¿¿Identifier
2243¿VariableDeclarator¿¿3873¿v226¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2244¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2245¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2246¿Identifier¿¿3873¿yargs¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2247¿Identifier¿¿3873¿command¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2248¿Literal¿string¿3873¿¿'image'¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2249¿Literal¿string¿3873¿¿'convert an image to ascii'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2250¿VariableDeclarator¿¿3873¿v227¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2251¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2252¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2253¿Identifier¿¿3873¿v226¿¿¿¿¿Identifier
2254¿Identifier¿¿3873¿command¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2255¿Literal¿string¿3873¿¿'art'¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2256¿Literal¿string¿3873¿¿'get some ascii art from various sites'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2257¿VariableDeclarator¿¿3873¿v228¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2258¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2259¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2260¿Identifier¿¿3873¿v227¿¿¿¿¿Identifier
2261¿Identifier¿¿3873¿command¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2262¿Literal¿string¿3873¿¿'text'¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2263¿Literal¿string¿3873¿¿'add styles and/or font rendering to text'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2264¿VariableDeclarator¿¿3873¿v229¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2265¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2266¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2267¿Identifier¿¿3873¿v228¿¿¿¿¿Identifier
2268¿Identifier¿¿3873¿demand¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2269¿Literal¿number¿3873¿¿2¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2270¿VariableDeclarator¿¿3873¿v230¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":109},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2271¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":109},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2272¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2273¿Identifier¿¿3873¿v229¿¿¿¿¿Identifier
2274¿Identifier¿¿3873¿example¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2275¿Literal¿string¿3873¿¿'$0 art textfiles.com/spock.art '¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2276¿Literal¿string¿3873¿¿'request the file 'spock.art' remotely from 'textfiles.com''¿¿{"start":{"line":11,"column":48},"end":{"line":11,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2277¿VariableDeclarator¿¿3873¿v231¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2278¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2279¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2280¿Identifier¿¿3873¿v230¿¿¿¿¿Identifier
2281¿Identifier¿¿3873¿example¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2282¿Literal¿string¿3873¿¿'$0 install Font.flf '¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2283¿Literal¿string¿3873¿¿'install a figlet font'¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2284¿VariableDeclarator¿¿3873¿v232¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2285¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2286¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2287¿Identifier¿¿3873¿v231¿¿¿¿¿Identifier
2288¿Identifier¿¿3873¿example¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2289¿Literal¿string¿3873¿¿'$0 image foo.jpg '¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2290¿Literal¿string¿3873¿¿'output foo.jpg as inline ascii text with ansi colors'¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2291¿VariableDeclarator¿¿3873¿v233¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2292¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2293¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2294¿Identifier¿¿3873¿v232¿¿¿¿¿Identifier
2295¿Identifier¿¿3873¿example¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2296¿Literal¿string¿3873¿¿'$0 text -F Doom 'Some Titles''¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2297¿Literal¿string¿3873¿¿'outputs 'Some Titles' in the Doom font'¿¿{"start":{"line":14,"column":46},"end":{"line":14,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2298¿VariableDeclarator¿¿3873¿v234¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":120},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2299¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":120},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2300¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2301¿Identifier¿¿3873¿v233¿¿¿¿¿Identifier
2302¿Identifier¿¿3873¿example¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2303¿Literal¿string¿3873¿¿'$0 text -s red+underline 'Some Titles''¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2304¿Literal¿string¿3873¿¿'outputs 'Some Titles' with a red and underlined terminal style'¿¿{"start":{"line":15,"column":55},"end":{"line":15,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2305¿VariableDeclarator¿¿3873¿v235¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2306¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2307¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2308¿Identifier¿¿3873¿v234¿¿¿¿¿Identifier
2309¿Identifier¿¿3873¿example¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2310¿Literal¿string¿3873¿¿'$0 text -F Doom 'Some Titles''¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2311¿Literal¿string¿3873¿¿'outputs 'Some Titles' in the Doom font'¿¿{"start":{"line":16,"column":46},"end":{"line":16,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2312¿VariableDeclarator¿¿3873¿v236¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2313¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2314¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2315¿Identifier¿¿3873¿v235¿¿¿¿¿Identifier
2316¿Identifier¿¿3873¿example¿¿¿{"start":{"line":17,"column":5},"end":{"line":17,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2317¿Literal¿string¿3873¿¿'$0 list all'¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2318¿Literal¿string¿3873¿¿'show all fonts available at figlet.org'¿¿{"start":{"line":17,"column":28},"end":{"line":17,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2319¿VariableDeclarator¿¿3873¿v237¿¿¿{"start":{"line":7,"column":0},"end":{"line":18,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2320¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":18,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2321¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":18,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2322¿Identifier¿¿3873¿v236¿¿¿¿¿Identifier
2323¿Identifier¿¿3873¿example¿¿¿{"start":{"line":18,"column":5},"end":{"line":18,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2324¿Literal¿string¿3873¿¿'$0 preview weird'¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2325¿Literal¿string¿3873¿¿'visit the prieview page for weird.flf at figlet.org'¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2326¿VariableDeclarator¿¿3873¿v238¿¿¿{"start":{"line":7,"column":0},"end":{"line":19,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2327¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":19,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2328¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":19,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2329¿Identifier¿¿3873¿v237¿¿¿¿¿Identifier
2330¿Identifier¿¿3873¿example¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2331¿Literal¿string¿3873¿¿'$0 install weird'¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2332¿Literal¿string¿3873¿¿'install weird.flf into the local '/Fonts' directory'¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2333¿VariableDeclarator¿¿3873¿v239¿¿¿{"start":{"line":7,"column":0},"end":{"line":20,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2334¿CallExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":20,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2335¿MemberExpression¿¿3873¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":20,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2336¿Identifier¿¿3873¿v238¿¿¿¿¿Identifier
2337¿Identifier¿¿3873¿example¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
