Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
586¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Program
597¿Identifier¿¿1016¿v49¿¿¿¿¿Identifier
598¿Identifier¿¿1016¿execSync¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
599¿VariableDeclarator¿¿1016¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
600¿CallExpression¿¿1016¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
601¿Identifier¿¿1016¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
602¿Literal¿string¿1016¿¿'fs'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
603¿VariableDeclarator¿¿1016¿v50¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
604¿CallExpression¿¿1016¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
605¿Identifier¿¿1016¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
606¿Literal¿string¿1016¿¿'path'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
607¿VariableDeclarator¿¿1016¿join¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
608¿MemberExpression¿¿1016¿¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
609¿Identifier¿¿1016¿v50¿¿¿¿¿Identifier
610¿Identifier¿¿1016¿join¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
611¿VariableDeclarator¿¿1016¿shellescape¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
612¿CallExpression¿¿1016¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
613¿Identifier¿¿1016¿require¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
614¿Literal¿string¿1016¿¿'any-shell-escape'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
615¿VariableDeclarator¿¿1016¿signale¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
616¿CallExpression¿¿1016¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
617¿Identifier¿¿1016¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
618¿Literal¿string¿1016¿¿'signale'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
619¿VariableDeclarator¿¿1016¿parseArgs¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
620¿CallExpression¿¿1016¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
621¿Identifier¿¿1016¿require¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
622¿Literal¿string¿1016¿¿'./parseArgs'¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
623¿VariableDeclarator¿¿1016¿createState¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
624¿CallExpression¿¿1016¿¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
625¿Identifier¿¿1016¿require¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
626¿Literal¿string¿1016¿¿'./createState'¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
627¿VariableDeclarator¿¿1016¿runInteractiveQuestions¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
628¿CallExpression¿¿1016¿¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
629¿Identifier¿¿1016¿require¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
630¿Literal¿string¿1016¿¿'./runInteractiveQuestions'¿¿{"start":{"line":8,"column":40},"end":{"line":8,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
631¿VariableDeclarator¿¿1016¿runNonInteractiveMode¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
632¿CallExpression¿¿1016¿¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
633¿Identifier¿¿1016¿require¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
634¿Literal¿string¿1016¿¿'./runNonInteractiveMode'¿¿{"start":{"line":9,"column":38},"end":{"line":9,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
635¿VariableDeclarator¿¿1016¿formatCommitMessage¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
636¿CallExpression¿¿1016¿¿¿¿{"start":{"line":10,"column":28},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
637¿Identifier¿¿1016¿require¿¿¿{"start":{"line":10,"column":28},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
638¿Literal¿string¿1016¿¿'./formatCommitMessage'¿¿{"start":{"line":10,"column":36},"end":{"line":10,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
639¿VariableDeclarator¿¿1016¿getGitDir¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
640¿CallExpression¿¿1016¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
641¿Identifier¿¿1016¿require¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
642¿Literal¿string¿1016¿¿'./util/getGitDir'¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
643¿VariableDeclarator¿¿1016¿executeCommand¿¿¿{"start":{"line":14,"column":6},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
644¿ArrowFunctionExpression¿¿1016¿¿¿¿{"start":{"line":14,"column":23},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ArrowFunctionExpression
645¿Identifier¿¿0¿command¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
646¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿AssignmentPattern
647¿VariableDeclarator¿¿1018¿v51¿¿¿{"start":{"line":15,"column":30},"end":{"line":15,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
648¿ArrayExpression¿¿1018¿¿¿¿{"start":{"line":15,"column":30},"end":{"line":15,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ArrayExpression
649¿VariableDeclarator¿¿1018¿v52¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
650¿ArrayExpression¿¿1018¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ArrayExpression
651¿Literal¿number¿1018¿¿0¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
652¿Literal¿number¿1018¿¿1¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
653¿Literal¿number¿1018¿¿2¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
654¿VariableDeclarator¿¿1018¿v53¿¿¿{"start":{"line":15,"column":34},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
655¿ObjectExpression¿¿1018¿¿¿¿{"start":{"line":15,"column":34},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ObjectExpression
656¿Property¿¿1018¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Property
657¿Identifier¿¿1018¿env¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
658¿Identifier¿¿1018¿env¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
659¿Property¿¿1018¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Property
660¿Identifier¿¿1018¿shell¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
661¿Literal¿boolean¿1018¿¿true¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
662¿Property¿¿1018¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Property
663¿Identifier¿¿1018¿stdio¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
664¿Identifier¿¿1018¿v52¿¿¿¿¿Identifier
665¿VariableDeclarator¿¿1018¿proc¿¿¿{"start":{"line":15,"column":8},"end":{"line":19,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
666¿CallExpression¿¿1018¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":19,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
667¿Identifier¿¿1018¿spawn¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
668¿Identifier¿¿1018¿command¿¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
669¿Identifier¿¿1018¿v51¿¿¿¿¿Identifier
670¿Identifier¿¿1018¿v53¿¿¿¿¿Identifier
671¿VariableDeclarator¿¿1018¿v55¿¿¿{"start":{"line":21,"column":19},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
672¿ArrowFunctionExpression¿¿1018¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ArrowFunctionExpression
673¿Identifier¿¿0¿code¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
674¿VariableDeclarator¿¿1020¿v54¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
675¿CallExpression¿¿1020¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
676¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
677¿Identifier¿¿1020¿process¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
678¿Identifier¿¿1020¿exit¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
679¿Identifier¿¿1020¿code¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
680¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ExpressionStatement
681¿Identifier¿¿1020¿v54¿¿¿¿¿Identifier
682¿BlockStatement¿¿1020¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿BlockStatement
683¿VariableDeclarator¿¿1018¿v56¿¿¿{"start":{"line":21,"column":2},"end":{"line":24,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
684¿CallExpression¿¿1018¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":24,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
685¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
686¿Identifier¿¿1018¿proc¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
687¿Identifier¿¿1018¿on¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
688¿Literal¿string¿1018¿¿'close'¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
689¿Identifier¿¿1018¿v55¿¿¿¿¿Identifier
690¿ExpressionStatement¿¿1018¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ExpressionStatement
691¿Identifier¿¿1018¿v56¿¿¿¿¿Identifier
692¿BlockStatement¿¿1018¿¿¿¿{"start":{"line":14,"column":55},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿BlockStatement
693¿VariableDeclarator¿¿1016¿main¿¿¿{"start":{"line":28,"column":6},"end":{"line":130,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
694¿ArrowFunctionExpression¿¿1016¿¿¿¿{"start":{"line":28,"column":13},"end":{"line":130,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿ArrowFunctionExpression
695¿TryStatement¿¿1022¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":129,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿TryStatement
696¿VariableDeclarator¿¿1022¿v57¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
697¿CallExpression¿¿1022¿¿¿¿{"start":{"line":30,"column":56},"end":{"line":30,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
698¿Identifier¿¿1022¿parseArgs¿¿¿{"start":{"line":30,"column":56},"end":{"line":30,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
699¿VariableDeclarator¿¿1022¿cliAnswers¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
700¿MemberExpression¿¿1022¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
701¿Identifier¿¿1022¿v57¿¿¿¿¿Identifier
702¿Identifier¿¿1022¿cliAnswers¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
703¿VariableDeclarator¿¿1022¿cliOptions¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
704¿MemberExpression¿¿1022¿¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
705¿Identifier¿¿1022¿v57¿¿¿¿¿Identifier
706¿Identifier¿¿1022¿cliOptions¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
707¿VariableDeclarator¿¿1022¿passThroughParams¿¿¿{"start":{"line":30,"column":35},"end":{"line":30,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
708¿MemberExpression¿¿1022¿¿¿¿{"start":{"line":30,"column":35},"end":{"line":30,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
709¿Identifier¿¿1022¿v57¿¿¿¿¿Identifier
710¿Identifier¿¿1022¿passThroughParams¿¿¿{"start":{"line":30,"column":35},"end":{"line":30,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
711¿VariableDeclarator¿¿1022¿state¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
712¿Literal¿object¿1022¿¿null¿¿{"start":{"line":32,"column":16},"end":{"line":32,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
