Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
854¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":113,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Program
896¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
897¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
898¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
899¿Identifier¿¿1449¿v80¿¿¿¿¿Identifier
900¿Identifier¿¿1449¿createEnvFile¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
901¿Identifier¿¿1449¿createEnvFile¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
902¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
903¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
904¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
905¿Identifier¿¿1449¿v80¿¿¿¿¿Identifier
906¿Identifier¿¿1449¿walkSync¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
907¿Identifier¿¿1449¿walkSync¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
908¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
909¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
910¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
911¿Identifier¿¿1449¿v80¿¿¿¿¿Identifier
912¿Identifier¿¿1449¿checkForExistingFolder¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
913¿Identifier¿¿1449¿checkForExistingFolder¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
914¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
915¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
916¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
917¿Identifier¿¿1449¿v80¿¿¿¿¿Identifier
918¿Identifier¿¿1449¿executeCommand¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
919¿Identifier¿¿1449¿executeCommand¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
920¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":13,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
921¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
922¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
923¿Identifier¿¿1449¿module¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
924¿Identifier¿¿1449¿exports¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
925¿Identifier¿¿1449¿v80¿¿¿¿¿Identifier
926¿VariableDeclarator¿exported¿1449¿executeCommand¿¿¿{"start":{"line":15,"column":0},"end":{"line":35,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
927¿FunctionExpression¿¿1449¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":35,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿FunctionExpression
928¿Identifier¿¿0¿command¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
929¿Identifier¿¿0¿cmdOptions¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
930¿VariableDeclarator¿¿1451¿v101¿¿¿{"start":{"line":16,"column":21},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
931¿ArrowFunctionExpression¿¿1451¿¿¿¿{"start":{"line":16,"column":21},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ArrowFunctionExpression
932¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
933¿Identifier¿¿0¿reject¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
934¿VariableDeclarator¿¿1453¿cmd¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
935¿MemberExpression¿computed¿1453¿¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
936¿Identifier¿¿1453¿command¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
937¿Literal¿number¿1453¿¿0¿¿{"start":{"line":17,"column":22},"end":{"line":17,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
938¿VariableDeclarator¿¿1453¿args¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
939¿VariableDeclarator¿¿1453¿v81¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
940¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
941¿Identifier¿¿1453¿command¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
942¿Identifier¿¿1453¿length¿¿¿{"start":{"line":18,"column":23},"end":{"line":18,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
943¿VariableDeclarator¿¿1453¿v82¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
944¿BinaryExpression¿>¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿BinaryExpression
945¿Identifier¿¿1453¿v81¿¿¿¿¿Identifier
946¿Literal¿number¿1453¿¿1¿¿{"start":{"line":18,"column":32},"end":{"line":18,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
947¿VariableDeclarator¿¿1453¿v83¿¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
948¿CallExpression¿¿1453¿¿¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
949¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
950¿Identifier¿¿1453¿command¿¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
951¿Identifier¿¿1453¿slice¿¿¿{"start":{"line":18,"column":44},"end":{"line":18,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
952¿Literal¿number¿1453¿¿1¿¿{"start":{"line":18,"column":50},"end":{"line":18,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
953¿VariableDeclarator¿¿1453¿v84¿¿¿{"start":{"line":18,"column":55},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
954¿ArrayExpression¿¿1453¿¿¿¿{"start":{"line":18,"column":55},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ArrayExpression
955¿IfStatement¿¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿IfStatement
956¿Identifier¿¿1453¿v82¿¿¿¿¿Identifier
957¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
958¿AssignmentExpression¿=¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
959¿Identifier¿¿1453¿args¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
960¿Identifier¿¿1453¿v83¿¿¿¿¿Identifier
961¿BlockStatement¿¿1453¿¿¿¿¿¿BlockStatement
962¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ExpressionStatement
963¿AssignmentExpression¿=¿1453¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿AssignmentExpression
964¿Identifier¿¿1453¿args¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
965¿Identifier¿¿1453¿v84¿¿¿¿¿Identifier
966¿BlockStatement¿¿1453¿¿¿¿¿¿BlockStatement
967¿VariableDeclarator¿¿1453¿execCmd¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
968¿CallExpression¿¿1453¿¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
969¿Identifier¿¿1453¿spawn¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
970¿Identifier¿¿1453¿cmd¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
971¿Identifier¿¿1453¿args¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
972¿Identifier¿¿1453¿cmdOptions¿¿¿{"start":{"line":19,"column":35},"end":{"line":19,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
973¿VariableDeclarator¿¿1453¿v85¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
974¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
975¿Identifier¿¿1453¿execCmd¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
976¿Identifier¿¿1453¿stdout¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
977¿VariableDeclarator¿¿1453¿v88¿¿¿{"start":{"line":20,"column":30},"end":{"line":22,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
978¿ArrowFunctionExpression¿¿1453¿¿¿¿{"start":{"line":20,"column":30},"end":{"line":22,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿ArrowFunctionExpression
979¿Identifier¿¿0¿data¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
980¿VariableDeclarator¿¿1456¿v86¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
