Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
648¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Program
661¿VariableDeclarator¿¿1135¿ConfigureFilePath¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
662¿MemberExpression¿¿1135¿¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
663¿Identifier¿¿1135¿v75¿¿¿¿¿Identifier
664¿Identifier¿¿1135¿ConfigureFilePath¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
665¿VariableDeclarator¿¿1135¿ConfigureHead¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
666¿MemberExpression¿¿1135¿¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
667¿Identifier¿¿1135¿v75¿¿¿¿¿Identifier
668¿Identifier¿¿1135¿ConfigureHead¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
669¿VariableDeclarator¿exported¿1135¿Server¿¿¿{"start":{"line":6,"column":0},"end":{"line":77,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
670¿FunctionExpression¿¿1135¿Server¿¿¿{"start":{"line":8,"column":13},"end":{"line":64,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿FunctionExpression
671¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentPattern
672¿VariableDeclarator¿¿1137¿v76¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
673¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
674¿Identifier¿¿1137¿Options¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
675¿Identifier¿¿1137¿folder¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
676¿VariableDeclarator¿¿1137¿v77¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
677¿CallExpression¿¿1137¿¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
678¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
679¿Identifier¿¿1137¿process¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
680¿Identifier¿¿1137¿cwd¿¿¿{"start":{"line":12,"column":40},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
681¿VariableDeclarator¿¿1137¿v78¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
682¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
683¿Identifier¿¿1137¿Options¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
684¿Identifier¿¿1137¿folder¿¿¿{"start":{"line":12,"column":57},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
685¿VariableDeclarator¿¿1137¿v79¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
686¿BinaryExpression¿+¿1137¿¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿BinaryExpression
687¿Identifier¿¿1137¿v77¿¿¿¿¿Identifier
688¿Identifier¿¿1137¿v78¿¿¿¿¿Identifier
689¿VariableDeclarator¿¿1137¿v80¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
690¿CallExpression¿¿1137¿¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
691¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
692¿Identifier¿¿1137¿process¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
693¿Identifier¿¿1137¿cwd¿¿¿{"start":{"line":12,"column":74},"end":{"line":12,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
694¿VariableDeclarator¿¿1137¿v81¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
695¿IfStatement¿¿1137¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿IfStatement
696¿Identifier¿¿1137¿v76¿¿¿¿¿Identifier
697¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
698¿AssignmentExpression¿=¿1137¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
699¿Identifier¿¿1137¿v81¿¿¿¿¿Identifier
700¿Identifier¿¿1137¿v79¿¿¿¿¿Identifier
701¿BlockStatement¿¿1137¿¿¿¿¿¿BlockStatement
702¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
703¿AssignmentExpression¿=¿1137¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
704¿Identifier¿¿1137¿v81¿¿¿¿¿Identifier
705¿Identifier¿¿1137¿v80¿¿¿¿¿Identifier
706¿BlockStatement¿¿1137¿¿¿¿¿¿BlockStatement
707¿VariableDeclarator¿¿1137¿v82¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
708¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
709¿Identifier¿¿1137¿Options¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
710¿Identifier¿¿1137¿index¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
711¿VariableDeclarator¿¿1137¿v83¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
712¿LogicalExpression¿||¿1137¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿LogicalExpression
713¿Identifier¿¿1137¿v82¿¿¿¿¿Identifier
714¿Literal¿string¿1137¿¿'index.html'¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
715¿VariableDeclarator¿¿1137¿v84¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
716¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
717¿Identifier¿¿1137¿Options¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
718¿Identifier¿¿1137¿port¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
719¿VariableDeclarator¿¿1137¿v85¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
720¿LogicalExpression¿||¿1137¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿LogicalExpression
721¿Identifier¿¿1137¿v84¿¿¿¿¿Identifier
722¿Literal¿number¿1137¿¿8000¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
723¿VariableDeclarator¿¿1137¿v86¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
724¿ObjectExpression¿¿1137¿¿¿¿¿¿ObjectExpression
725¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
726¿AssignmentExpression¿=¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
727¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
728¿Identifier¿¿1137¿v86¿¿¿¿¿Identifier
729¿Identifier¿¿1137¿RootFolder¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
730¿Identifier¿¿1137¿v81¿¿¿¿¿Identifier
731¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
732¿AssignmentExpression¿=¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
733¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
734¿Identifier¿¿1137¿v86¿¿¿¿¿Identifier
735¿Identifier¿¿1137¿IndexFile¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
736¿Identifier¿¿1137¿v83¿¿¿¿¿Identifier
737¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
738¿AssignmentExpression¿=¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
739¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
740¿Identifier¿¿1137¿v86¿¿¿¿¿Identifier
741¿Identifier¿¿1137¿Port¿¿¿{"start":{"line":14,"column":3},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
742¿Identifier¿¿1137¿v85¿¿¿¿¿Identifier
743¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":15,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
744¿AssignmentExpression¿=¿1137¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
745¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
746¿ThisExpression¿¿1137¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ThisExpression
747¿Identifier¿¿1137¿Options¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
748¿Identifier¿¿1137¿v86¿¿¿¿¿Identifier
749¿VariableDeclarator¿¿1137¿v135¿¿¿{"start":{"line":17,"column":35},"end":{"line":63,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
750¿ArrowFunctionExpression¿¿1137¿¿¿¿{"start":{"line":17,"column":35},"end":{"line":63,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ArrowFunctionExpression
751¿Identifier¿¿0¿Request¿¿¿{"start":{"line":17,"column":36},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
752¿Identifier¿¿0¿Response¿¿¿{"start":{"line":17,"column":45},"end":{"line":17,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
753¿VariableDeclarator¿¿1140¿ReceivedRequest¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
754¿CallExpression¿¿1140¿¿¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
755¿MemberExpression¿¿1140¿¿¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
756¿Identifier¿¿1140¿Date¿¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
757¿Identifier¿¿1140¿now¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
758¿VariableDeclarator¿¿1140¿v87¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
759¿MemberExpression¿¿1140¿¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
760¿ThisExpression¿¿1140¿¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ThisExpression
761¿Identifier¿¿1140¿Options¿¿¿{"start":{"line":22,"column":44},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
762¿VariableDeclarator¿¿1140¿v88¿¿¿{"start":{"line":22,"column":53},"end":{"line":22,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
763¿MemberExpression¿¿1140¿¿¿¿{"start":{"line":22,"column":53},"end":{"line":22,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
764¿Identifier¿¿1140¿Request¿¿¿{"start":{"line":22,"column":53},"end":{"line":22,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
765¿Identifier¿¿1140¿url¿¿¿{"start":{"line":22,"column":61},"end":{"line":22,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
766¿VariableDeclarator¿¿1140¿FilePath¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
767¿CallExpression¿¿1140¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
768¿Identifier¿¿1140¿ConfigureFilePath¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
769¿Identifier¿¿1140¿v87¿¿¿¿¿Identifier
770¿Identifier¿¿1140¿v88¿¿¿¿¿Identifier
771¿VariableDeclarator¿¿1140¿v89¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
772¿NewExpression¿¿1140¿¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿NewExpression
