Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
7564¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":955,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Program
7575¿Identifier¿¿13276¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7576¿Literal¿string¿13276¿¿'./fd-slicer'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7577¿VariableDeclarator¿¿13276¿crc32¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7578¿CallExpression¿¿13276¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7579¿Identifier¿¿13276¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7580¿Literal¿string¿13276¿¿'buffer-crc32'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7581¿VariableDeclarator¿¿13276¿util¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7582¿CallExpression¿¿13276¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7583¿Identifier¿¿13276¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7584¿Literal¿string¿13276¿¿'util'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7585¿VariableDeclarator¿¿13276¿v742¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7586¿CallExpression¿¿13276¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7587¿Identifier¿¿13276¿require¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7588¿Literal¿string¿13276¿¿'events'¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7589¿VariableDeclarator¿¿13276¿EventEmitter¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7590¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7591¿Identifier¿¿13276¿v742¿¿¿¿¿Identifier
7592¿Identifier¿¿13276¿EventEmitter¿¿¿{"start":{"line":6,"column":37},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7593¿VariableDeclarator¿¿13276¿v743¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7594¿CallExpression¿¿13276¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7595¿Identifier¿¿13276¿require¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7596¿Literal¿string¿13276¿¿'stream'¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7597¿VariableDeclarator¿¿13276¿Transform¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7598¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7599¿Identifier¿¿13276¿v743¿¿¿¿¿Identifier
7600¿Identifier¿¿13276¿Transform¿¿¿{"start":{"line":7,"column":34},"end":{"line":7,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7601¿VariableDeclarator¿¿13276¿v744¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7602¿CallExpression¿¿13276¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7603¿Identifier¿¿13276¿require¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7604¿Literal¿string¿13276¿¿'stream'¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7605¿VariableDeclarator¿¿13276¿PassThrough¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7606¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7607¿Identifier¿¿13276¿v744¿¿¿¿¿Identifier
7608¿Identifier¿¿13276¿PassThrough¿¿¿{"start":{"line":8,"column":36},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7609¿VariableDeclarator¿¿13276¿v745¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7610¿CallExpression¿¿13276¿¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7611¿Identifier¿¿13276¿require¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7612¿Literal¿string¿13276¿¿'stream'¿¿{"start":{"line":9,"column":23},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7613¿VariableDeclarator¿¿13276¿Writable¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7614¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7615¿Identifier¿¿13276¿v745¿¿¿¿¿Identifier
7616¿Identifier¿¿13276¿Writable¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7617¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7618¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7619¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7620¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7621¿Identifier¿¿13276¿open¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7622¿Identifier¿¿13276¿open¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7623¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7624¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7625¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7626¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7627¿Identifier¿¿13276¿fromFd¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7628¿Identifier¿¿13276¿fromFd¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7629¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7630¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7631¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7632¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7633¿Identifier¿¿13276¿fromBuffer¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7634¿Identifier¿¿13276¿fromBuffer¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7635¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7636¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7637¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7638¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7639¿Identifier¿¿13276¿fromRandomAccessReader¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7640¿Identifier¿¿13276¿fromRandomAccessReader¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7641¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7642¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7643¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7644¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7645¿Identifier¿¿13276¿dosDateTimeToDate¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7646¿Identifier¿¿13276¿dosDateTimeToDate¿¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7647¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7648¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7649¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7650¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7651¿Identifier¿¿13276¿getFileNameLowLevel¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7652¿Identifier¿¿13276¿getFileNameLowLevel¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7653¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7654¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7655¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7656¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7657¿Identifier¿¿13276¿validateFileName¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7658¿Identifier¿¿13276¿validateFileName¿¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7659¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7660¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7661¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7662¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7663¿Identifier¿¿13276¿parseExtraFields¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7664¿Identifier¿¿13276¿parseExtraFields¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7665¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7666¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7667¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7668¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7669¿Identifier¿¿13276¿ZipFile¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7670¿Identifier¿¿13276¿ZipFile¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7671¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7672¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7673¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7674¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7675¿Identifier¿¿13276¿Entry¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7676¿Identifier¿¿13276¿Entry¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7677¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
7678¿AssignmentExpression¿=¿13276¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿AssignmentExpression
7679¿MemberExpression¿¿13276¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿MemberExpression
7680¿Identifier¿¿13276¿exports¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7681¿Identifier¿¿13276¿LocalFileHeader¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7682¿Identifier¿¿13276¿LocalFileHeader¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7683¿ExpressionStatement¿¿13276¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿ExpressionStatement
