Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
724¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":99,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Program
745¿Identifier¿¿1211¿require¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
746¿Literal¿string¿1211¿¿'net'¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
747¿VariableDeclarator¿¿1211¿isIP¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
748¿MemberExpression¿¿1211¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
749¿Identifier¿¿1211¿v53¿¿¿¿¿Identifier
750¿Identifier¿¿1211¿isIP¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
751¿VariableDeclarator¿¿1211¿v54¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
752¿MemberExpression¿¿1211¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
753¿Identifier¿¿1211¿process¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
754¿Identifier¿¿1211¿env¿¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
755¿VariableDeclarator¿¿1211¿v55¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
756¿MemberExpression¿¿1211¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
757¿Identifier¿¿1211¿v54¿¿¿¿¿Identifier
758¿Identifier¿¿1211¿DOCKER_BIN¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
759¿VariableDeclarator¿¿1211¿DOCKER_BIN¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
760¿LogicalExpression¿||¿1211¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿LogicalExpression
761¿Identifier¿¿1211¿v55¿¿¿¿¿Identifier
762¿Literal¿string¿1211¿¿'docker'¿¿{"start":{"line":7,"column":45},"end":{"line":7,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
763¿VariableDeclarator¿exported¿1211¿executeCommand¿¿¿{"start":{"line":12,"column":0},"end":{"line":37,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
764¿FunctionExpression¿¿1211¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":37,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿FunctionExpression
765¿Identifier¿¿0¿command¿¿¿{"start":{"line":12,"column":30},"end":{"line":12,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
766¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":12,"column":39},"end":{"line":12,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿AssignmentPattern
767¿TryStatement¿¿1213¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":36,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿TryStatement
768¿VariableDeclarator¿¿1213¿cmd¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
769¿VariableDeclarator¿¿1213¿args¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
770¿VariableDeclarator¿¿1213¿v56¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
771¿CallExpression¿¿1213¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
772¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
773¿Identifier¿¿1213¿Array¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
774¿Identifier¿¿1213¿isArray¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
775¿Identifier¿¿1213¿command¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
776¿IfStatement¿¿1213¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":19,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿IfStatement
777¿Identifier¿¿1213¿v56¿¿¿¿¿Identifier
778¿VariableDeclarator¿¿1213¿v57¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
779¿CallExpression¿¿1213¿¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
780¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
781¿Identifier¿¿1213¿command¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
782¿Identifier¿¿1213¿map¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
783¿Identifier¿¿1213¿String¿¿¿{"start":{"line":16,"column":35},"end":{"line":16,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
784¿ExpressionStatement¿¿1213¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿ExpressionStatement
785¿AssignmentExpression¿=¿1213¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿AssignmentExpression
786¿ArrayPattern¿¿1213¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿ArrayPattern
787¿Identifier¿¿1213¿v57¿¿¿¿¿Identifier
788¿BlockStatement¿¿1213¿¿¿¿{"start":{"line":15,"column":32},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿BlockStatement
789¿VariableDeclarator¿¿1213¿v58¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
790¿NewExpression¿¿1213¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿NewExpression
791¿Identifier¿¿1213¿Error¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
792¿Literal¿string¿1213¿¿'executeCommand expects an argv array like ['cmd', 'arg1', ...]'¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
793¿ThrowStatement¿¿1213¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿ThrowStatement
794¿Identifier¿¿1213¿v58¿¿¿¿¿Identifier
795¿BlockStatement¿¿1213¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":19,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿BlockStatement
796¿VariableDeclarator¿¿1213¿v60¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
797¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
798¿Identifier¿¿1213¿options¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
799¿Identifier¿¿1213¿timeout¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
800¿VariableDeclarator¿¿1213¿v61¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
801¿LogicalExpression¿||¿1213¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿LogicalExpression
802¿Identifier¿¿1213¿v60¿¿¿¿¿Identifier
803¿Literal¿number¿1213¿¿30000¿¿{"start":{"line":22,"column":34},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
804¿VariableDeclarator¿¿1213¿v62¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
805¿BinaryExpression¿*¿1213¿¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿BinaryExpression
806¿Literal¿number¿1213¿¿1024¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
807¿Literal¿number¿1213¿¿1024¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
808¿VariableDeclarator¿¿1213¿v63¿¿¿{"start":{"line":21,"column":64},"end":{"line":25,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
809¿ObjectExpression¿¿1213¿¿¿¿{"start":{"line":21,"column":64},"end":{"line":25,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿ObjectExpression
810¿Property¿¿1213¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Property
811¿Identifier¿¿1213¿timeout¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
812¿Identifier¿¿1213¿v61¿¿¿¿¿Identifier
813¿Property¿¿1213¿¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Property
814¿Identifier¿¿1213¿maxBuffer¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
815¿Identifier¿¿1213¿v62¿¿¿¿¿Identifier
816¿Property¿¿1213¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Property
817¿Identifier¿¿1213¿windowsHide¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
818¿Literal¿boolean¿1213¿¿true¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
819¿VariableDeclarator¿¿1213¿v59¿¿¿{"start":{"line":21,"column":10},"end":{"line":25,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
820¿AwaitExpression¿¿1213¿¿¿¿{"start":{"line":21,"column":31},"end":{"line":25,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿AwaitExpression
821¿CallExpression¿¿1213¿¿¿¿{"start":{"line":21,"column":37},"end":{"line":25,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
822¿Identifier¿¿1213¿execFilePromise¿¿¿{"start":{"line":21,"column":37},"end":{"line":21,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
823¿Identifier¿¿1213¿cmd¿¿¿{"start":{"line":21,"column":53},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
824¿Identifier¿¿1213¿args¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
825¿Identifier¿¿1213¿v63¿¿¿¿¿Identifier
826¿VariableDeclarator¿¿1213¿stdout¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
827¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
828¿Identifier¿¿1213¿v59¿¿¿¿¿Identifier
829¿Identifier¿¿1213¿stdout¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
830¿VariableDeclarator¿¿1213¿stderr¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
831¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
832¿Identifier¿¿1213¿v59¿¿¿¿¿Identifier
833¿Identifier¿¿1213¿stderr¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
834¿VariableDeclarator¿¿1213¿v64¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
835¿ObjectExpression¿¿1213¿¿¿¿¿¿ObjectExpression
836¿ExpressionStatement¿¿1213¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿ExpressionStatement
837¿AssignmentExpression¿=¿1213¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿AssignmentExpression
838¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
839¿Identifier¿¿1213¿v64¿¿¿¿¿Identifier
840¿Identifier¿¿1213¿success¿¿¿{"start":{"line":27,"column":13},"end":{"line":27,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
841¿Literal¿boolean¿1213¿¿true¿¿{"start":{"line":27,"column":22},"end":{"line":27,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
842¿ExpressionStatement¿¿1213¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿ExpressionStatement
843¿AssignmentExpression¿=¿1213¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿AssignmentExpression
844¿MemberExpression¿¿1213¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
