Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1051¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":147,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Program
1084¿VariableDeclarator¿¿1826¿Q¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1085¿CallExpression¿¿1826¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿CallExpression
1086¿Identifier¿¿1826¿require¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1087¿Literal¿string¿1826¿¿'q'¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1088¿VariableDeclarator¿¿1826¿extensions¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1089¿ObjectExpression¿¿1826¿¿¿¿¿¿ObjectExpression
1090¿ExpressionStatement¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1091¿AssignmentExpression¿=¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1092¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1093¿Identifier¿¿1826¿extensions¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1094¿Identifier¿¿1826¿gif¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1095¿Literal¿string¿1826¿¿'GIF'¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1096¿ExpressionStatement¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1097¿AssignmentExpression¿=¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1098¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1099¿Identifier¿¿1826¿extensions¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1100¿Identifier¿¿1826¿jpg¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1101¿Literal¿string¿1826¿¿'JPEG'¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1102¿ExpressionStatement¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1103¿AssignmentExpression¿=¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1104¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1105¿Identifier¿¿1826¿extensions¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1106¿Identifier¿¿1826¿jpeg¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1107¿Literal¿string¿1826¿¿'JPEG'¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1108¿ExpressionStatement¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1109¿AssignmentExpression¿=¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1110¿MemberExpression¿¿1826¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1111¿Identifier¿¿1826¿extensions¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1112¿Identifier¿¿1826¿png¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1113¿Literal¿string¿1826¿¿'PNG'¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1114¿VariableDeclarator¿exported¿1826¿v116¿¿¿{"start":{"line":18,"column":10},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1115¿FunctionExpression¿¿1826¿anon¿¿¿{"start":{"line":18,"column":27},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿FunctionExpression
1116¿Identifier¿¿0¿settings¿¿¿{"start":{"line":18,"column":37},"end":{"line":18,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1117¿VariableDeclarator¿¿1828¿self¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1118¿ThisExpression¿¿1828¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ThisExpression
1119¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1120¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1121¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1122¿ThisExpression¿¿1828¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ThisExpression
1123¿Identifier¿¿1828¿queue¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1124¿ArrayExpression¿¿1828¿¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ArrayExpression
1125¿VariableDeclarator¿¿1828¿v105¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1126¿ObjectExpression¿¿1828¿¿¿¿¿¿ObjectExpression
1127¿VariableDeclarator¿¿1828¿v106¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1128¿ObjectExpression¿¿1828¿¿¿¿¿¿ObjectExpression
1129¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1130¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1131¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1132¿Identifier¿¿1828¿v106¿¿¿¿¿Identifier
1133¿Identifier¿¿1828¿start¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1134¿Literal¿number¿1828¿¿0¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1135¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1136¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1137¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1138¿Identifier¿¿1828¿v106¿¿¿¿¿Identifier
1139¿Identifier¿¿1828¿end¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1140¿Literal¿number¿1828¿¿0¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1141¿VariableDeclarator¿¿1828¿v107¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1142¿ObjectExpression¿¿1828¿¿¿¿¿¿ObjectExpression
1143¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1144¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1145¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1146¿Identifier¿¿1828¿v107¿¿¿¿¿Identifier
1147¿Identifier¿¿1828¿start¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1148¿Literal¿object¿1828¿¿null¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1149¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1150¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1151¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1152¿Identifier¿¿1828¿v107¿¿¿¿¿Identifier
1153¿Identifier¿¿1828¿end¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1154¿Literal¿object¿1828¿¿null¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1155¿VariableDeclarator¿¿1828¿v108¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿VariableDeclarator
1156¿ObjectExpression¿¿1828¿¿¿¿¿¿ObjectExpression
1157¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1158¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1159¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1160¿Identifier¿¿1828¿v108¿¿¿¿¿Identifier
1161¿Identifier¿¿1828¿fileCount¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1162¿Literal¿number¿1828¿¿0¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Literal
1163¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1164¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1165¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1166¿Identifier¿¿1828¿v108¿¿¿¿¿Identifier
1167¿Identifier¿¿1828¿scanned¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿Identifier
1168¿Identifier¿¿1828¿v105¿¿¿¿¿Identifier
1169¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿ExpressionStatement
1170¿AssignmentExpression¿=¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿AssignmentExpression
1171¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pulverizr/job.js"}¿¿MemberExpression
1172¿Identifier¿¿1828¿v108¿¿¿¿¿Identifier
