Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3011¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":292,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Program
3022¿CallExpression¿¿5319¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3023¿Identifier¿¿5319¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3024¿Literal¿string¿5319¿¿'multer'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3025¿VariableDeclarator¿¿5319¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3026¿CallExpression¿¿5319¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3027¿Identifier¿¿5319¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3028¿Literal¿string¿5319¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3029¿VariableDeclarator¿¿5319¿fs¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3030¿CallExpression¿¿5319¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3031¿Identifier¿¿5319¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3032¿Literal¿string¿5319¿¿'fs'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3033¿VariableDeclarator¿¿5319¿v299¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3034¿CallExpression¿¿5319¿¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3035¿Identifier¿¿5319¿require¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3036¿Literal¿string¿5319¿¿'uuid'¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3037¿VariableDeclarator¿¿5319¿v4¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3038¿MemberExpression¿¿5319¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3039¿Identifier¿¿5319¿v299¿¿¿¿¿Identifier
3040¿Identifier¿¿5319¿uuidv4¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3041¿VariableDeclarator¿¿5319¿authenticate¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3042¿CallExpression¿¿5319¿¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3043¿Identifier¿¿5319¿require¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3044¿Literal¿string¿5319¿¿'../middlewares/authenticate'¿¿{"start":{"line":7,"column":29},"end":{"line":7,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3045¿VariableDeclarator¿¿5319¿uploadsRoot¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3046¿CallExpression¿¿5319¿¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3047¿MemberExpression¿¿5319¿¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3048¿Identifier¿¿5319¿path¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3049¿Identifier¿¿5319¿resolve¿¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3050¿Identifier¿¿5319¿__dirname¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3051¿Literal¿string¿5319¿¿'../uploads'¿¿{"start":{"line":10,"column":44},"end":{"line":10,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3052¿VariableDeclarator¿¿5319¿assertProjectId¿¿¿{"start":{"line":12,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3053¿FunctionExpression¿¿5319¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿FunctionExpression
3054¿Identifier¿¿0¿id¿¿¿{"start":{"line":12,"column":25},"end":{"line":12,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3055¿VariableDeclarator¿¿5321¿v300¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3056¿LogicalExpression¿||¿5321¿¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿LogicalExpression
3057¿Identifier¿¿5321¿id¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3058¿Literal¿string¿5321¿¿'default-project'¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3059¿VariableDeclarator¿¿5321¿pid¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3060¿CallExpression¿¿5321¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3061¿Identifier¿¿5321¿String¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3062¿Identifier¿¿5321¿v300¿¿¿¿¿Identifier
3063¿VariableDeclarator¿¿5321¿v301¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3064¿CallExpression¿¿5321¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3065¿MemberExpression¿¿5321¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3066¿Literal¿object¿5321¿¿/^[A-Za-z0-9_-]+$/¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3067¿Identifier¿¿5321¿test¿¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3068¿Identifier¿¿5321¿pid¿¿¿{"start":{"line":14,"column":31},"end":{"line":14,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3069¿VariableDeclarator¿¿5321¿v302¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3070¿UnaryExpression¿!¿5321¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿UnaryExpression
3071¿Identifier¿¿5321¿v301¿¿¿¿¿Identifier
3072¿IfStatement¿¿5321¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿IfStatement
3073¿Identifier¿¿5321¿v302¿¿¿¿¿Identifier
3074¿VariableDeclarator¿¿5321¿v303¿¿¿{"start":{"line":14,"column":43},"end":{"line":14,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3075¿NewExpression¿¿5321¿¿¿¿{"start":{"line":14,"column":43},"end":{"line":14,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿NewExpression
3076¿Identifier¿¿5321¿Error¿¿¿{"start":{"line":14,"column":47},"end":{"line":14,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3077¿Literal¿string¿5321¿¿'Invalid project id'¿¿{"start":{"line":14,"column":53},"end":{"line":14,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3078¿ThrowStatement¿¿5321¿¿¿¿{"start":{"line":14,"column":37},"end":{"line":14,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿ThrowStatement
3079¿Identifier¿¿5321¿v303¿¿¿¿¿Identifier
3080¿BlockStatement¿¿5321¿¿¿¿¿¿BlockStatement
3081¿ReturnStatement¿¿5321¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿ReturnStatement
3082¿Identifier¿¿5321¿pid¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3083¿BlockStatement¿¿5321¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿BlockStatement
3084¿VariableDeclarator¿¿5319¿safeResolve¿¿¿{"start":{"line":17,"column":0},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3085¿FunctionExpression¿¿5319¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿FunctionExpression
3086¿Identifier¿¿0¿base¿¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3087¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿AssignmentPattern
3088¿VariableDeclarator¿¿5324¿target¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3089¿CallExpression¿¿5324¿¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3090¿MemberExpression¿¿5324¿¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3091¿Identifier¿¿5324¿path¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3092¿Identifier¿¿5324¿resolve¿¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3093¿Identifier¿¿5324¿base¿¿¿{"start":{"line":18,"column":30},"end":{"line":18,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3094¿Identifier¿¿5324¿seg¿¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3095¿VariableDeclarator¿¿5324¿rel¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3096¿CallExpression¿¿5324¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3097¿MemberExpression¿¿5324¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3098¿Identifier¿¿5324¿path¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3099¿Identifier¿¿5324¿relative¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3100¿Identifier¿¿5324¿base¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3101¿Identifier¿¿5324¿target¿¿¿{"start":{"line":19,"column":34},"end":{"line":19,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3102¿VariableDeclarator¿¿5324¿v304¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3103¿CallExpression¿¿5324¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3104¿MemberExpression¿¿5324¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3105¿Identifier¿¿5324¿rel¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3106¿Identifier¿¿5324¿startsWith¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3107¿Literal¿string¿5324¿¿'..'¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3108¿VariableDeclarator¿¿5324¿v305¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3109¿CallExpression¿¿5324¿¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿CallExpression
3110¿MemberExpression¿¿5324¿¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿MemberExpression
3111¿Identifier¿¿5324¿path¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3112¿Identifier¿¿5324¿isAbsolute¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3113¿Identifier¿¿5324¿rel¿¿¿{"start":{"line":20,"column":46},"end":{"line":20,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3114¿VariableDeclarator¿¿5324¿v306¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3115¿LogicalExpression¿||¿5324¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿LogicalExpression
3116¿Identifier¿¿5324¿v304¿¿¿¿¿Identifier
3117¿Identifier¿¿5324¿v305¿¿¿¿¿Identifier
3118¿IfStatement¿¿5324¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿IfStatement
3119¿Identifier¿¿5324¿v306¿¿¿¿¿Identifier
3120¿VariableDeclarator¿¿5324¿v307¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿VariableDeclarator
3121¿NewExpression¿¿5324¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿NewExpression
3122¿Identifier¿¿5324¿Error¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
3123¿Literal¿string¿5324¿¿'Invalid path'¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Literal
3124¿ThrowStatement¿¿5324¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿ThrowStatement
3125¿Identifier¿¿5324¿v307¿¿¿¿¿Identifier
3126¿BlockStatement¿¿5324¿¿¿¿{"start":{"line":20,"column":52},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿BlockStatement
3127¿ReturnStatement¿¿5324¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿ReturnStatement
3128¿Identifier¿¿5324¿target¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/team-sync/fixed-filesystem.js"}¿¿Identifier
