Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
594¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":53,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Program
605¿Identifier¿¿1020¿Module¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
606¿Identifier¿¿1020¿prototype¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
607¿VariableDeclarator¿¿1020¿origRequire¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
608¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿MemberExpression
609¿Identifier¿¿1020¿v54¿¿¿¿¿Identifier
610¿Identifier¿¿1020¿require¿¿¿{"start":{"line":10,"column":39},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
611¿VariableDeclarator¿¿1020¿v55¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
612¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿MemberExpression
613¿Identifier¿¿1020¿Module¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
614¿Identifier¿¿1020¿prototype¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
615¿VariableDeclarator¿¿1020¿v79¿¿¿{"start":{"line":11,"column":2},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
616¿FunctionExpression¿¿1020¿anon¿¿¿{"start":{"line":11,"column":29},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿FunctionExpression
617¿Identifier¿¿0¿name¿¿¿{"start":{"line":11,"column":38},"end":{"line":11,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
618¿VariableDeclarator¿¿1022¿v56¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
619¿BinaryExpression¿===¿1022¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿BinaryExpression
620¿Identifier¿¿1022¿name¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
621¿Literal¿string¿1022¿¿'child_process'¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
622¿IfStatement¿¿1022¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿IfStatement
623¿Identifier¿¿1022¿v56¿¿¿¿¿Identifier
624¿VariableDeclarator¿¿1022¿v57¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
625¿CallExpression¿¿1022¿¿¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿CallExpression
626¿Identifier¿¿1022¿require¿¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
627¿Literal¿string¿1022¿¿'events'¿¿{"start":{"line":13,"column":39},"end":{"line":13,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
628¿VariableDeclarator¿¿1022¿EventEmitter¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
629¿MemberExpression¿¿1022¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿MemberExpression
630¿Identifier¿¿1022¿v57¿¿¿¿¿Identifier
631¿Identifier¿¿1022¿EventEmitter¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
632¿VariableDeclarator¿¿1022¿v64¿¿¿{"start":{"line":15,"column":12},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
633¿FunctionExpression¿¿1022¿anon¿¿¿{"start":{"line":15,"column":12},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿FunctionExpression
634¿Identifier¿¿0¿cmd¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
635¿Identifier¿¿0¿opts¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
636¿Identifier¿¿0¿cb¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
637¿VariableDeclarator¿¿1024¿v58¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
638¿UnaryExpression¿typeof¿1024¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿UnaryExpression
639¿Identifier¿¿1024¿opts¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
640¿VariableDeclarator¿¿1024¿v59¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
641¿BinaryExpression¿===¿1024¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿BinaryExpression
642¿Identifier¿¿1024¿v58¿¿¿¿¿Identifier
643¿Literal¿string¿1024¿¿'function'¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
644¿IfStatement¿¿1024¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿IfStatement
645¿Identifier¿¿1024¿v59¿¿¿¿¿Identifier
646¿ExpressionStatement¿¿1024¿¿¿¿{"start":{"line":16,"column":44},"end":{"line":16,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
647¿AssignmentExpression¿=¿1024¿¿¿¿{"start":{"line":16,"column":44},"end":{"line":16,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿AssignmentExpression
648¿Identifier¿¿1024¿cb¿¿¿{"start":{"line":16,"column":44},"end":{"line":16,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
649¿Identifier¿¿1024¿opts¿¿¿{"start":{"line":16,"column":49},"end":{"line":16,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
650¿ExpressionStatement¿¿1024¿¿¿¿{"start":{"line":16,"column":55},"end":{"line":16,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
651¿AssignmentExpression¿=¿1024¿¿¿¿{"start":{"line":16,"column":55},"end":{"line":16,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿AssignmentExpression
652¿Identifier¿¿1024¿opts¿¿¿{"start":{"line":16,"column":55},"end":{"line":16,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
653¿ObjectExpression¿¿1024¿¿¿¿¿¿ObjectExpression
654¿BlockStatement¿¿1024¿¿¿¿{"start":{"line":16,"column":42},"end":{"line":16,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿BlockStatement
655¿VariableDeclarator¿¿1024¿v60¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
656¿CallExpression¿¿1024¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿CallExpression
657¿MemberExpression¿¿1024¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿MemberExpression
658¿Identifier¿¿1024¿console¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
659¿Identifier¿¿1024¿log¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
660¿Literal¿string¿1024¿¿'[DRYRUN exec]'¿¿{"start":{"line":17,"column":22},"end":{"line":17,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
661¿Identifier¿¿1024¿cmd¿¿¿{"start":{"line":17,"column":39},"end":{"line":17,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
662¿ExpressionStatement¿¿1024¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
663¿Identifier¿¿1024¿v60¿¿¿¿¿Identifier
664¿IfStatement¿¿1024¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿IfStatement
665¿Identifier¿¿1024¿cb¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
666¿VariableDeclarator¿¿1024¿v62¿¿¿{"start":{"line":18,"column":35},"end":{"line":18,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
667¿ArrowFunctionExpression¿¿1024¿¿¿¿{"start":{"line":18,"column":35},"end":{"line":18,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ArrowFunctionExpression
668¿VariableDeclarator¿¿1027¿v61¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
669¿CallExpression¿¿1027¿¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿CallExpression
670¿Identifier¿¿1027¿cb¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
671¿Literal¿object¿1027¿¿null¿¿{"start":{"line":18,"column":44},"end":{"line":18,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
672¿Literal¿string¿1027¿¿'simulated'¿¿{"start":{"line":18,"column":50},"end":{"line":18,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
673¿Literal¿string¿1027¿¿''¿¿{"start":{"line":18,"column":63},"end":{"line":18,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
674¿ReturnStatement¿¿1027¿¿¿¿¿¿ReturnStatement
675¿Identifier¿¿1027¿v61¿¿¿¿¿Identifier
676¿BlockStatement¿¿1027¿¿¿¿¿¿BlockStatement
677¿VariableDeclarator¿¿1024¿v63¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
678¿CallExpression¿¿1024¿¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿CallExpression
679¿MemberExpression¿¿1024¿¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿MemberExpression
680¿Identifier¿¿1024¿process¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
681¿Identifier¿¿1024¿nextTick¿¿¿{"start":{"line":18,"column":26},"end":{"line":18,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
682¿Identifier¿¿1024¿v62¿¿¿¿¿Identifier
683¿ExpressionStatement¿¿1024¿¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
684¿Identifier¿¿1024¿v63¿¿¿¿¿Identifier
685¿BlockStatement¿¿1024¿¿¿¿¿¿BlockStatement
686¿BlockStatement¿¿1024¿¿¿¿{"start":{"line":15,"column":27},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿BlockStatement
687¿VariableDeclarator¿¿1022¿v71¿¿¿{"start":{"line":20,"column":16},"end":{"line":24,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
688¿FunctionExpression¿¿1022¿anon¿¿¿{"start":{"line":20,"column":16},"end":{"line":24,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿FunctionExpression
689¿Identifier¿¿0¿file¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
690¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿AssignmentPattern
691¿Identifier¿¿0¿opts¿¿¿{"start":{"line":20,"column":34},"end":{"line":20,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
692¿Identifier¿¿0¿cb¿¿¿{"start":{"line":20,"column":40},"end":{"line":20,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
693¿VariableDeclarator¿¿1030¿v65¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
694¿UnaryExpression¿typeof¿1030¿¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿UnaryExpression
695¿Identifier¿¿1030¿opts¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
696¿VariableDeclarator¿¿1030¿v66¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
697¿BinaryExpression¿===¿1030¿¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿BinaryExpression
698¿Identifier¿¿1030¿v65¿¿¿¿¿Identifier
699¿Literal¿string¿1030¿¿'function'¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
700¿IfStatement¿¿1030¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿IfStatement
701¿Identifier¿¿1030¿v66¿¿¿¿¿Identifier
702¿ExpressionStatement¿¿1030¿¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
703¿AssignmentExpression¿=¿1030¿¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿AssignmentExpression
704¿Identifier¿¿1030¿cb¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
705¿Identifier¿¿1030¿opts¿¿¿{"start":{"line":21,"column":49},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
706¿ExpressionStatement¿¿1030¿¿¿¿{"start":{"line":21,"column":55},"end":{"line":21,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
707¿AssignmentExpression¿=¿1030¿¿¿¿{"start":{"line":21,"column":55},"end":{"line":21,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿AssignmentExpression
708¿Identifier¿¿1030¿opts¿¿¿{"start":{"line":21,"column":55},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
709¿ObjectExpression¿¿1030¿¿¿¿¿¿ObjectExpression
710¿BlockStatement¿¿1030¿¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿BlockStatement
711¿VariableDeclarator¿¿1030¿v67¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿VariableDeclarator
712¿CallExpression¿¿1030¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿CallExpression
713¿MemberExpression¿¿1030¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿MemberExpression
714¿Identifier¿¿1030¿console¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
715¿Identifier¿¿1030¿log¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
716¿Literal¿string¿1030¿¿'[DRYRUN execFile]'¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Literal
717¿Identifier¿¿1030¿file¿¿¿{"start":{"line":22,"column":43},"end":{"line":22,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
718¿Identifier¿¿1030¿args¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿Identifier
719¿ExpressionStatement¿¿1030¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/curl_http.js"}¿¿ExpressionStatement
720¿Identifier¿¿1030¿v67¿¿¿¿¿Identifier
