Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
774¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":89,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Program
787¿Identifier¿¿1345¿exports¿¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
788¿Literal¿string¿1345¿¿'__esModule'¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
789¿Identifier¿¿1345¿v81¿¿¿¿¿Identifier
790¿ExpressionStatement¿¿1345¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿ExpressionStatement
791¿Identifier¿¿1345¿v82¿¿¿¿¿Identifier
792¿VariableDeclarator¿¿1345¿tslib_1¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
793¿CallExpression¿¿1345¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
794¿Identifier¿¿1345¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
795¿Literal¿string¿1345¿¿'tslib'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
796¿VariableDeclarator¿¿1345¿fs_1¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
797¿CallExpression¿¿1345¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
798¿Identifier¿¿1345¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
799¿Literal¿string¿1345¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
800¿VariableDeclarator¿¿1345¿v83¿¿¿{"start":{"line":5,"column":40},"end":{"line":5,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
801¿CallExpression¿¿1345¿¿¿¿{"start":{"line":5,"column":40},"end":{"line":5,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
802¿Identifier¿¿1345¿require¿¿¿{"start":{"line":5,"column":40},"end":{"line":5,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
803¿Literal¿string¿1345¿¿'debug'¿¿{"start":{"line":5,"column":48},"end":{"line":5,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
804¿VariableDeclarator¿¿1345¿debug_1¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1345¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
806¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
807¿Identifier¿¿1345¿tslib_1¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
808¿Identifier¿¿1345¿__importDefault¿¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
809¿Identifier¿¿1345¿v83¿¿¿¿¿Identifier
810¿VariableDeclarator¿¿1345¿command_exists_1¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
811¿CallExpression¿¿1345¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
812¿Identifier¿¿1345¿require¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
813¿Literal¿string¿1345¿¿'command-exists'¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
814¿VariableDeclarator¿¿1345¿v84¿¿¿{"start":{"line":7,"column":41},"end":{"line":7,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
815¿CallExpression¿¿1345¿¿¿¿{"start":{"line":7,"column":41},"end":{"line":7,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
816¿Identifier¿¿1345¿require¿¿¿{"start":{"line":7,"column":41},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
817¿Literal¿string¿1345¿¿'rimraf'¿¿{"start":{"line":7,"column":49},"end":{"line":7,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
818¿VariableDeclarator¿¿1345¿rimraf_1¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
819¿CallExpression¿¿1345¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
820¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
821¿Identifier¿¿1345¿tslib_1¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
822¿Identifier¿¿1345¿__importDefault¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
823¿Identifier¿¿1345¿v84¿¿¿¿¿Identifier
824¿VariableDeclarator¿¿1345¿constants_1¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1345¿¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
826¿Identifier¿¿1345¿require¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
827¿Literal¿string¿1345¿¿'./constants'¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
828¿VariableDeclarator¿¿1345¿v85¿¿¿{"start":{"line":9,"column":44},"end":{"line":9,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
829¿CallExpression¿¿1345¿¿¿¿{"start":{"line":9,"column":44},"end":{"line":9,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
830¿Identifier¿¿1345¿require¿¿¿{"start":{"line":9,"column":44},"end":{"line":9,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
831¿Literal¿string¿1345¿¿'./platforms'¿¿{"start":{"line":9,"column":52},"end":{"line":9,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
832¿VariableDeclarator¿¿1345¿platforms_1¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1345¿¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
834¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
835¿Identifier¿¿1345¿tslib_1¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
836¿Identifier¿¿1345¿__importDefault¿¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
837¿Identifier¿¿1345¿v85¿¿¿¿¿Identifier
838¿VariableDeclarator¿¿1345¿v86¿¿¿{"start":{"line":10,"column":53},"end":{"line":10,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
839¿CallExpression¿¿1345¿¿¿¿{"start":{"line":10,"column":53},"end":{"line":10,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
840¿Identifier¿¿1345¿require¿¿¿{"start":{"line":10,"column":53},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
841¿Literal¿string¿1345¿¿'./certificate-authority'¿¿{"start":{"line":10,"column":61},"end":{"line":10,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
842¿VariableDeclarator¿¿1345¿certificate_authority_1¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
843¿CallExpression¿¿1345¿¿¿¿{"start":{"line":10,"column":32},"end":{"line":10,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
844¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":10,"column":32},"end":{"line":10,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
845¿Identifier¿¿1345¿tslib_1¿¿¿{"start":{"line":10,"column":32},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
846¿Identifier¿¿1345¿__importStar¿¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
847¿Identifier¿¿1345¿v86¿¿¿¿¿Identifier
848¿VariableDeclarator¿¿1345¿v87¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
849¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
850¿Identifier¿¿1345¿certificate_authority_1¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
851¿Identifier¿¿1345¿uninstall¿¿¿{"start":{"line":11,"column":44},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
852¿ExpressionStatement¿¿1345¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿ExpressionStatement
853¿AssignmentExpression¿=¿1345¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿AssignmentExpression
854¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
855¿Identifier¿¿1345¿exports¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
856¿Identifier¿¿1345¿uninstall¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
857¿Identifier¿¿1345¿v87¿¿¿¿¿Identifier
858¿VariableDeclarator¿¿1345¿v88¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
859¿CallExpression¿¿1345¿¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
860¿Identifier¿¿1345¿require¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
861¿Literal¿string¿1345¿¿'./certificates'¿¿{"start":{"line":12,"column":55},"end":{"line":12,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
862¿VariableDeclarator¿¿1345¿certificates_1¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
863¿CallExpression¿¿1345¿¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
864¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
865¿Identifier¿¿1345¿tslib_1¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
866¿Identifier¿¿1345¿__importDefault¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
867¿Identifier¿¿1345¿v88¿¿¿¿¿Identifier
868¿VariableDeclarator¿¿1345¿v89¿¿¿{"start":{"line":13,"column":49},"end":{"line":13,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
869¿CallExpression¿¿1345¿¿¿¿{"start":{"line":13,"column":49},"end":{"line":13,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
870¿Identifier¿¿1345¿require¿¿¿{"start":{"line":13,"column":49},"end":{"line":13,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
871¿Literal¿string¿1345¿¿'./user-interface'¿¿{"start":{"line":13,"column":57},"end":{"line":13,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
872¿VariableDeclarator¿¿1345¿user_interface_1¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
873¿CallExpression¿¿1345¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
874¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
875¿Identifier¿¿1345¿tslib_1¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
876¿Identifier¿¿1345¿__importDefault¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
877¿Identifier¿¿1345¿v89¿¿¿¿¿Identifier
878¿VariableDeclarator¿¿1345¿debug¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
879¿CallExpression¿¿1345¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
880¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
881¿Identifier¿¿1345¿debug_1¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
882¿Identifier¿¿1345¿default¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
883¿Literal¿string¿1345¿¿'devcert'¿¿{"start":{"line":14,"column":30},"end":{"line":14,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
884¿VariableDeclarator¿exported¿1345¿certificateFor¿¿¿{"start":{"line":33,"column":0},"end":{"line":76,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
885¿FunctionExpression¿¿1345¿anon¿¿¿{"start":{"line":33,"column":0},"end":{"line":76,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿FunctionExpression
886¿Identifier¿¿0¿domain¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
887¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":33,"column":32},"end":{"line":33,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿AssignmentPattern
888¿VariableDeclarator¿¿1347¿v90¿¿¿{"start":{"line":34,"column":35},"end":{"line":34,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
889¿UnaryExpression¿void¿1347¿¿¿¿{"start":{"line":34,"column":35},"end":{"line":34,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿UnaryExpression
890¿Literal¿number¿1347¿¿0¿¿{"start":{"line":34,"column":40},"end":{"line":34,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
891¿VariableDeclarator¿¿1347¿v91¿¿¿{"start":{"line":34,"column":43},"end":{"line":34,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
892¿UnaryExpression¿void¿1347¿¿¿¿{"start":{"line":34,"column":43},"end":{"line":34,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿UnaryExpression
