Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
818¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":77,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Program
835¿Identifier¿¿1418¿express¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
836¿VariableDeclarator¿¿1418¿ROOT¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
837¿CallExpression¿¿1418¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
838¿MemberExpression¿¿1418¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
839¿Identifier¿¿1418¿path¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
840¿Identifier¿¿1418¿resolve¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
841¿Identifier¿¿1418¿__dirname¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
842¿Literal¿string¿1418¿¿'public'¿¿{"start":{"line":8,"column":37},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Literal
843¿VariableDeclarator¿¿1418¿v83¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
844¿ObjectExpression¿¿1418¿¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ObjectExpression
845¿Property¿¿1418¿¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Property
846¿Identifier¿¿1418¿extended¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
847¿Literal¿boolean¿1418¿¿false¿¿{"start":{"line":10,"column":39},"end":{"line":10,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Literal
848¿VariableDeclarator¿¿1418¿v84¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
849¿CallExpression¿¿1418¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
850¿MemberExpression¿¿1418¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
851¿Identifier¿¿1418¿express¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
852¿Identifier¿¿1418¿urlencoded¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
853¿Identifier¿¿1418¿v83¿¿¿¿¿Identifier
854¿VariableDeclarator¿¿1418¿v85¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
855¿CallExpression¿¿1418¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
856¿MemberExpression¿¿1418¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
857¿Identifier¿¿1418¿app¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
858¿Identifier¿¿1418¿use¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
859¿Identifier¿¿1418¿v84¿¿¿¿¿Identifier
860¿ExpressionStatement¿¿1418¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ExpressionStatement
861¿Identifier¿¿1418¿v85¿¿¿¿¿Identifier
862¿VariableDeclarator¿¿1418¿v86¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
863¿CallExpression¿¿1418¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
864¿MemberExpression¿¿1418¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
865¿Identifier¿¿1418¿express¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
866¿Identifier¿¿1418¿json¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
867¿VariableDeclarator¿¿1418¿v87¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
868¿CallExpression¿¿1418¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
869¿MemberExpression¿¿1418¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
870¿Identifier¿¿1418¿app¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
871¿Identifier¿¿1418¿use¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
872¿Identifier¿¿1418¿v86¿¿¿¿¿Identifier
873¿ExpressionStatement¿¿1418¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ExpressionStatement
874¿Identifier¿¿1418¿v87¿¿¿¿¿Identifier
875¿VariableDeclarator¿¿1418¿v95¿¿¿{"start":{"line":14,"column":8},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
876¿ArrowFunctionExpression¿¿1418¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ArrowFunctionExpression
877¿Identifier¿¿0¿req¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
878¿Identifier¿¿0¿res¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
879¿Identifier¿¿0¿next¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
880¿VariableDeclarator¿¿1420¿v88¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
881¿NewExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿NewExpression
882¿Identifier¿¿1420¿Date¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
883¿VariableDeclarator¿¿1420¿v89¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
884¿CallExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
885¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
886¿Identifier¿¿1420¿v88¿¿¿¿¿Identifier
887¿Identifier¿¿1420¿toISOString¿¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
888¿VariableDeclarator¿¿1420¿v90¿¿¿{"start":{"line":15,"column":47},"end":{"line":15,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
889¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":47},"end":{"line":15,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
890¿Identifier¿¿1420¿req¿¿¿{"start":{"line":15,"column":47},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
891¿Identifier¿¿1420¿method¿¿¿{"start":{"line":15,"column":51},"end":{"line":15,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
892¿VariableDeclarator¿¿1420¿v91¿¿¿{"start":{"line":15,"column":61},"end":{"line":15,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
893¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":61},"end":{"line":15,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
894¿Identifier¿¿1420¿req¿¿¿{"start":{"line":15,"column":61},"end":{"line":15,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
895¿Identifier¿¿1420¿url¿¿¿{"start":{"line":15,"column":65},"end":{"line":15,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
896¿VariableDeclarator¿¿1420¿v92¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
897¿TemplateLiteral¿¿1420¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿TemplateLiteral
898¿Identifier¿¿1420¿v89¿¿¿¿¿Identifier
899¿Identifier¿¿1420¿v90¿¿¿¿¿Identifier
900¿Identifier¿¿1420¿v91¿¿¿¿¿Identifier
901¿VariableDeclarator¿¿1420¿v93¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
902¿CallExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
903¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
904¿Identifier¿¿1420¿console¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
905¿Identifier¿¿1420¿log¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
906¿Identifier¿¿1420¿v92¿¿¿¿¿Identifier
907¿ExpressionStatement¿¿1420¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ExpressionStatement
908¿Identifier¿¿1420¿v93¿¿¿¿¿Identifier
909¿VariableDeclarator¿¿1420¿v94¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
910¿CallExpression¿¿1420¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
911¿Identifier¿¿1420¿next¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
912¿ExpressionStatement¿¿1420¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ExpressionStatement
913¿Identifier¿¿1420¿v94¿¿¿¿¿Identifier
914¿BlockStatement¿¿1420¿¿¿¿{"start":{"line":14,"column":28},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿BlockStatement
915¿VariableDeclarator¿¿1418¿v96¿¿¿{"start":{"line":14,"column":0},"end":{"line":17,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
916¿CallExpression¿¿1418¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":17,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
917¿MemberExpression¿¿1418¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
918¿Identifier¿¿1418¿app¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
919¿Identifier¿¿1418¿use¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
920¿Identifier¿¿1418¿v95¿¿¿¿¿Identifier
921¿ExpressionStatement¿¿1418¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ExpressionStatement
922¿Identifier¿¿1418¿v96¿¿¿¿¿Identifier
923¿VariableDeclarator¿¿1418¿v121¿¿¿{"start":{"line":20,"column":19},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
924¿ArrowFunctionExpression¿¿1418¿¿¿¿{"start":{"line":20,"column":19},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ArrowFunctionExpression
925¿Identifier¿¿0¿req¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
926¿Identifier¿¿0¿res¿¿¿{"start":{"line":20,"column":25},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
927¿VariableDeclarator¿¿1422¿v97¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
928¿MemberExpression¿¿1422¿¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
929¿Identifier¿¿1422¿req¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
930¿Identifier¿¿1422¿query¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
931¿VariableDeclarator¿¿1422¿v98¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
932¿MemberExpression¿¿1422¿¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿MemberExpression
933¿Identifier¿¿1422¿v97¿¿¿¿¿Identifier
934¿Identifier¿¿1422¿dir¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
