Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
640¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":85,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Program
651¿Identifier¿¿1122¿v55¿¿¿¿¿Identifier
652¿Identifier¿¿1122¿promises¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
653¿VariableDeclarator¿¿1122¿fsSync¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
654¿CallExpression¿¿1122¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
655¿Identifier¿¿1122¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
656¿Literal¿string¿1122¿¿'fs'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
657¿VariableDeclarator¿exported¿1122¿ImageCleanupService¿¿¿{"start":{"line":5,"column":0},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
658¿FunctionExpression¿¿1122¿ImageCleanupService¿¿¿{"start":{"line":5,"column":0},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿FunctionExpression
659¿BlockStatement¿¿1124¿¿¿¿¿¿BlockStatement
660¿VariableDeclarator¿¿1122¿deleteImage¿¿¿{"start":{"line":5,"column":0},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
661¿FunctionExpression¿¿1122¿deleteImage¿¿¿{"start":{"line":6,"column":28},"end":{"line":69,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿FunctionExpression
662¿Identifier¿¿0¿imagePath¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
663¿VariableDeclarator¿¿1126¿v56¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
664¿UnaryExpression¿!¿1126¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿UnaryExpression
665¿Identifier¿¿1126¿imagePath¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
666¿IfStatement¿¿1126¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":10,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿IfStatement
667¿Identifier¿¿1126¿v56¿¿¿¿¿Identifier
668¿VariableDeclarator¿¿1126¿v57¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
669¿CallExpression¿¿1126¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
670¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
671¿Identifier¿¿1126¿console¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
672¿Identifier¿¿1126¿log¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
673¿Literal¿string¿1126¿¿'No image path provided for deletion'¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
674¿ExpressionStatement¿¿1126¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿ExpressionStatement
675¿Identifier¿¿1126¿v57¿¿¿¿¿Identifier
676¿ReturnStatement¿¿1126¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿ReturnStatement
677¿Literal¿boolean¿1126¿¿false¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
678¿BlockStatement¿¿1126¿¿¿¿{"start":{"line":7,"column":24},"end":{"line":10,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿BlockStatement
679¿TryStatement¿¿1126¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":68,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿TryStatement
680¿VariableDeclarator¿¿1126¿v58¿¿¿{"start":{"line":14,"column":55},"end":{"line":14,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
681¿CallExpression¿¿1126¿¿¿¿{"start":{"line":14,"column":55},"end":{"line":14,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
682¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":14,"column":55},"end":{"line":14,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
683¿Identifier¿¿1126¿process¿¿¿{"start":{"line":14,"column":55},"end":{"line":14,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
684¿Identifier¿¿1126¿cwd¿¿¿{"start":{"line":14,"column":63},"end":{"line":14,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
685¿VariableDeclarator¿¿1126¿v59¿¿¿{"start":{"line":14,"column":45},"end":{"line":14,"column":90},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
686¿CallExpression¿¿1126¿¿¿¿{"start":{"line":14,"column":45},"end":{"line":14,"column":90},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
687¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":14,"column":45},"end":{"line":14,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
688¿Identifier¿¿1126¿path¿¿¿{"start":{"line":14,"column":45},"end":{"line":14,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
689¿Identifier¿¿1126¿join¿¿¿{"start":{"line":14,"column":50},"end":{"line":14,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
690¿Identifier¿¿1126¿v58¿¿¿¿¿Identifier
691¿Literal¿string¿1126¿¿'public'¿¿{"start":{"line":14,"column":70},"end":{"line":14,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
692¿Literal¿string¿1126¿¿'uploads'¿¿{"start":{"line":14,"column":80},"end":{"line":14,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
693¿VariableDeclarator¿¿1126¿BASE¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":91},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
694¿CallExpression¿¿1126¿¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":91},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
695¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
696¿Identifier¿¿1126¿fsSync¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
697¿Identifier¿¿1126¿realpathSync¿¿¿{"start":{"line":14,"column":32},"end":{"line":14,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
698¿Identifier¿¿1126¿v59¿¿¿¿¿Identifier
699¿VariableDeclarator¿¿1126¿raw¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
700¿CallExpression¿¿1126¿¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
701¿Identifier¿¿1126¿String¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
702¿Identifier¿¿1126¿imagePath¿¿¿{"start":{"line":17,"column":31},"end":{"line":17,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
703¿VariableDeclarator¿¿1126¿decoded¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
704¿CallExpression¿¿1126¿¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
705¿Identifier¿¿1126¿decodeURIComponent¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
706¿Identifier¿¿1126¿raw¿¿¿{"start":{"line":18,"column":47},"end":{"line":18,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
707¿VariableDeclarator¿¿1126¿unified¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
708¿CallExpression¿¿1126¿¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
709¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
710¿Identifier¿¿1126¿decoded¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
711¿Identifier¿¿1126¿replace¿¿¿{"start":{"line":19,"column":36},"end":{"line":19,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
712¿Literal¿object¿1126¿¿/\\/g¿¿{"start":{"line":19,"column":44},"end":{"line":19,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
713¿Literal¿string¿1126¿¿'/'¿¿{"start":{"line":19,"column":51},"end":{"line":19,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
714¿VariableDeclarator¿¿1126¿m¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
715¿CallExpression¿¿1126¿¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
716¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
717¿Identifier¿¿1126¿unified¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
718¿Identifier¿¿1126¿match¿¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
719¿Literal¿object¿1126¿¿/^\/?uploads\/(.+)$/i¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
720¿VariableDeclarator¿¿1126¿v60¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
721¿UnaryExpression¿!¿1126¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿UnaryExpression
722¿Identifier¿¿1126¿m¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
723¿IfStatement¿¿1126¿¿¿¿{"start":{"line":23,"column":12},"end":{"line":26,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿IfStatement
724¿Identifier¿¿1126¿v60¿¿¿¿¿Identifier
725¿VariableDeclarator¿¿1126¿v61¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
726¿TemplateLiteral¿¿1126¿¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿TemplateLiteral
727¿Identifier¿¿1126¿imagePath¿¿¿{"start":{"line":24,"column":64},"end":{"line":24,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
728¿VariableDeclarator¿¿1126¿v62¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
729¿CallExpression¿¿1126¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
730¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
731¿Identifier¿¿1126¿console¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
732¿Identifier¿¿1126¿log¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
733¿Identifier¿¿1126¿v61¿¿¿¿¿Identifier
734¿ExpressionStatement¿¿1126¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿ExpressionStatement
735¿Identifier¿¿1126¿v62¿¿¿¿¿Identifier
736¿ReturnStatement¿¿1126¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿ReturnStatement
737¿Literal¿boolean¿1126¿¿false¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
738¿BlockStatement¿¿1126¿¿¿¿{"start":{"line":23,"column":20},"end":{"line":26,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿BlockStatement
739¿VariableDeclarator¿¿1126¿relPart¿¿¿{"start":{"line":28,"column":18},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
740¿MemberExpression¿computed¿1126¿¿¿¿{"start":{"line":28,"column":28},"end":{"line":28,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
741¿Identifier¿¿1126¿m¿¿¿{"start":{"line":28,"column":28},"end":{"line":28,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
742¿Literal¿number¿1126¿¿1¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
743¿VariableDeclarator¿¿1126¿v63¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
744¿CallExpression¿¿1126¿¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
745¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
746¿Identifier¿¿1126¿relPart¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
747¿Identifier¿¿1126¿split¿¿¿{"start":{"line":30,"column":33},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
748¿Literal¿string¿1126¿¿'/'¿¿{"start":{"line":30,"column":39},"end":{"line":30,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
749¿VariableDeclarator¿¿1126¿segs¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
750¿CallExpression¿¿1126¿¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
751¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
752¿Identifier¿¿1126¿v63¿¿¿¿¿Identifier
753¿Identifier¿¿1126¿filter¿¿¿{"start":{"line":30,"column":44},"end":{"line":30,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
754¿Identifier¿¿1126¿Boolean¿¿¿{"start":{"line":30,"column":51},"end":{"line":30,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
