Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
789¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":135,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Program
800¿VariableDeclarator¿¿1338¿v74¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
801¿CallExpression¿¿1338¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CallExpression
802¿Identifier¿¿1338¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
803¿Literal¿string¿1338¿¿'child_process'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
804¿VariableDeclarator¿¿1338¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
805¿MemberExpression¿¿1338¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
806¿Identifier¿¿1338¿v74¿¿¿¿¿Identifier
807¿Identifier¿¿1338¿execSync¿¿¿{"start":{"line":4,"column":40},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
808¿VariableDeclarator¿¿1338¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
809¿CallExpression¿¿1338¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CallExpression
810¿Identifier¿¿1338¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
811¿Literal¿string¿1338¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
812¿VariableDeclarator¿¿1338¿access¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
813¿MemberExpression¿¿1338¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
814¿Identifier¿¿1338¿fs¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
815¿Identifier¿¿1338¿access¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
816¿VariableDeclarator¿¿1338¿accessSync¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
817¿MemberExpression¿¿1338¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
818¿Identifier¿¿1338¿fs¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
819¿Identifier¿¿1338¿accessSync¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
820¿VariableDeclarator¿¿1338¿v75¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
821¿MemberExpression¿¿1338¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
822¿Identifier¿¿1338¿fs¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
823¿Identifier¿¿1338¿constants¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
824¿VariableDeclarator¿¿1338¿constants¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
825¿LogicalExpression¿||¿1338¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿LogicalExpression
826¿Identifier¿¿1338¿v75¿¿¿¿¿Identifier
827¿Identifier¿¿1338¿fs¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
828¿VariableDeclarator¿¿1338¿v76¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
829¿MemberExpression¿¿1338¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
830¿Identifier¿¿1338¿process¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
831¿Identifier¿¿1338¿platform¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
832¿VariableDeclarator¿¿1338¿isUsingWindows¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
833¿BinaryExpression¿==¿1338¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BinaryExpression
834¿Identifier¿¿1338¿v76¿¿¿¿¿Identifier
835¿Literal¿string¿1338¿¿'win32'¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
836¿VariableDeclarator¿¿1338¿fileNotExists¿¿¿{"start":{"line":12,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
837¿FunctionExpression¿¿1338¿anon¿¿¿{"start":{"line":12,"column":20},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿FunctionExpression
838¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
839¿Identifier¿¿0¿callback¿¿¿{"start":{"line":12,"column":42},"end":{"line":12,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
840¿VariableDeclarator¿¿1340¿v77¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
841¿MemberExpression¿¿1340¿¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
842¿Identifier¿¿1340¿constants¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
843¿Identifier¿¿1340¿F_OK¿¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
844¿VariableDeclarator¿¿1340¿v80¿¿¿{"start":{"line":14,"column":4},"end":{"line":16,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
845¿FunctionExpression¿¿1340¿anon¿¿¿{"start":{"line":14,"column":4},"end":{"line":16,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿FunctionExpression
846¿Identifier¿¿0¿err¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
847¿VariableDeclarator¿¿1342¿v78¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
848¿UnaryExpression¿!¿1342¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿UnaryExpression
849¿Identifier¿¿1342¿err¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
850¿VariableDeclarator¿¿1342¿v79¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
851¿CallExpression¿¿1342¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CallExpression
852¿Identifier¿¿1342¿callback¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
853¿Identifier¿¿1342¿v78¿¿¿¿¿Identifier
854¿ExpressionStatement¿¿1342¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿ExpressionStatement
855¿Identifier¿¿1342¿v79¿¿¿¿¿Identifier
856¿BlockStatement¿¿1342¿¿¿¿{"start":{"line":14,"column":17},"end":{"line":16,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BlockStatement
857¿VariableDeclarator¿¿1340¿v81¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
858¿CallExpression¿¿1340¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CallExpression
859¿Identifier¿¿1340¿access¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
860¿Identifier¿¿1340¿commandName¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
861¿Identifier¿¿1340¿v77¿¿¿¿¿Identifier
862¿Identifier¿¿1340¿v80¿¿¿¿¿Identifier
863¿ExpressionStatement¿¿1340¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿ExpressionStatement
864¿Identifier¿¿1340¿v81¿¿¿¿¿Identifier
865¿BlockStatement¿¿1340¿¿¿¿{"start":{"line":12,"column":51},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BlockStatement
866¿VariableDeclarator¿¿1338¿fileNotExistsSync¿¿¿{"start":{"line":19,"column":4},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
867¿FunctionExpression¿¿1338¿anon¿¿¿{"start":{"line":19,"column":24},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿FunctionExpression
868¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
869¿TryStatement¿¿1344¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":25,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿TryStatement
870¿VariableDeclarator¿¿1344¿v82¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
871¿MemberExpression¿¿1344¿¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
872¿Identifier¿¿1344¿constants¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
873¿Identifier¿¿1344¿F_OK¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
874¿VariableDeclarator¿¿1344¿v83¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
875¿CallExpression¿¿1344¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CallExpression
876¿Identifier¿¿1344¿accessSync¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
877¿Identifier¿¿1344¿commandName¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
878¿Identifier¿¿1344¿v82¿¿¿¿¿Identifier
879¿ExpressionStatement¿¿1344¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿ExpressionStatement
880¿Identifier¿¿1344¿v83¿¿¿¿¿Identifier
881¿ReturnStatement¿¿1344¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿ReturnStatement
882¿Literal¿boolean¿1344¿¿false¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
883¿BlockStatement¿¿1344¿¿¿¿{"start":{"line":20,"column":7},"end":{"line":23,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BlockStatement
884¿CatchClause¿¿1344¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":25,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿CatchClause
885¿ReturnStatement¿¿1344¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿ReturnStatement
886¿Literal¿boolean¿1344¿¿true¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Literal
887¿BlockStatement¿¿1344¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":25,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BlockStatement
888¿Identifier¿¿1344¿e¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
889¿BlockStatement¿¿1344¿¿¿¿{"start":{"line":19,"column":45},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BlockStatement
890¿VariableDeclarator¿¿1338¿localExecutable¿¿¿{"start":{"line":28,"column":4},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
891¿FunctionExpression¿¿1338¿anon¿¿¿{"start":{"line":28,"column":22},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿FunctionExpression
892¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":28,"column":31},"end":{"line":28,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
893¿Identifier¿¿0¿callback¿¿¿{"start":{"line":28,"column":44},"end":{"line":28,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
894¿VariableDeclarator¿¿1347¿v84¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
895¿MemberExpression¿¿1347¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
896¿Identifier¿¿1347¿constants¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
897¿Identifier¿¿1347¿F_OK¿¿¿{"start":{"line":29,"column":34},"end":{"line":29,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
898¿VariableDeclarator¿¿1347¿v85¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
899¿MemberExpression¿¿1347¿¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿MemberExpression
900¿Identifier¿¿1347¿constants¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
901¿Identifier¿¿1347¿X_OK¿¿¿{"start":{"line":29,"column":51},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿Identifier
902¿VariableDeclarator¿¿1347¿v86¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
903¿BinaryExpression¿|¿1347¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿BinaryExpression
904¿Identifier¿¿1347¿v84¿¿¿¿¿Identifier
905¿Identifier¿¿1347¿v85¿¿¿¿¿Identifier
906¿VariableDeclarator¿¿1347¿v89¿¿¿{"start":{"line":30,"column":8},"end":{"line":32,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/command-exists-1.2.2/command-exists.js"}¿¿VariableDeclarator
