Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
836¿Program¿¿-1¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":131,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Program
855¿CallExpression¿¿1453¿¿¿¿{"start":{"line":29,"column":19},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
856¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":29,"column":19},"end":{"line":29,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
857¿Identifier¿¿1453¿path¿¿¿{"start":{"line":29,"column":19},"end":{"line":29,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
858¿Identifier¿¿1453¿join¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
859¿Identifier¿¿1453¿tmpDir¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
860¿Literal¿string¿1453¿¿'clean-sample.ts'¿¿{"start":{"line":29,"column":37},"end":{"line":29,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
861¿VariableDeclarator¿¿1453¿v71¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
862¿CallExpression¿¿1453¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
863¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
864¿Identifier¿¿1453¿fs¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
865¿Identifier¿¿1453¿writeFileSync¿¿¿{"start":{"line":30,"column":9},"end":{"line":30,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
866¿Identifier¿¿1453¿file¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
867¿Literal¿string¿1453¿¿'export const add = (a: number, b: number) => a + b;\n'¿¿{"start":{"line":30,"column":29},"end":{"line":30,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
868¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
869¿Identifier¿¿1453¿v71¿¿¿¿¿Identifier
870¿BlockStatement¿¿1453¿¿¿¿{"start":{"line":28,"column":18},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿BlockStatement
871¿VariableDeclarator¿¿1451¿v73¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
872¿ObjectExpression¿¿1451¿¿¿¿¿¿ObjectExpression
873¿ExpressionStatement¿¿1451¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
874¿AssignmentExpression¿=¿1451¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿AssignmentExpression
875¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
876¿Identifier¿¿1451¿v73¿¿¿¿¿Identifier
877¿Identifier¿¿1451¿desc¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
878¿Literal¿string¿1451¿¿'All passing changes'¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
879¿ExpressionStatement¿¿1451¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
880¿AssignmentExpression¿=¿1451¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿AssignmentExpression
881¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
882¿Identifier¿¿1451¿v73¿¿¿¿¿Identifier
883¿Identifier¿¿1451¿mutate¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
884¿Identifier¿¿1451¿v72¿¿¿¿¿Identifier
885¿VariableDeclarator¿¿1451¿v75¿¿¿{"start":{"line":35,"column":12},"end":{"line":38,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
886¿ArrowFunctionExpression¿¿1451¿¿¿¿{"start":{"line":35,"column":12},"end":{"line":38,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ArrowFunctionExpression
887¿VariableDeclarator¿¿1455¿file¿¿¿{"start":{"line":36,"column":12},"end":{"line":36,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
888¿CallExpression¿¿1455¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
889¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
890¿Identifier¿¿1455¿path¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
891¿Identifier¿¿1455¿join¿¿¿{"start":{"line":36,"column":24},"end":{"line":36,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
892¿Identifier¿¿1455¿tmpDir¿¿¿{"start":{"line":36,"column":29},"end":{"line":36,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
893¿Literal¿string¿1455¿¿'lint-error.ts'¿¿{"start":{"line":36,"column":37},"end":{"line":36,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
894¿VariableDeclarator¿¿1455¿v74¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
895¿CallExpression¿¿1455¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
896¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
897¿Identifier¿¿1455¿fs¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
898¿Identifier¿¿1455¿writeFileSync¿¿¿{"start":{"line":37,"column":9},"end":{"line":37,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
899¿Identifier¿¿1455¿file¿¿¿{"start":{"line":37,"column":23},"end":{"line":37,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
900¿Literal¿string¿1455¿¿'const unused = 42;\nexport const ok = 1;\n'¿¿{"start":{"line":37,"column":29},"end":{"line":37,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
901¿ExpressionStatement¿¿1455¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
902¿Identifier¿¿1455¿v74¿¿¿¿¿Identifier
903¿BlockStatement¿¿1455¿¿¿¿{"start":{"line":35,"column":18},"end":{"line":38,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿BlockStatement
904¿VariableDeclarator¿¿1451¿v76¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
905¿ObjectExpression¿¿1451¿¿¿¿¿¿ObjectExpression
906¿ExpressionStatement¿¿1451¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
907¿AssignmentExpression¿=¿1451¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿AssignmentExpression
908¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
909¿Identifier¿¿1451¿v76¿¿¿¿¿Identifier
910¿Identifier¿¿1451¿desc¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
911¿Literal¿string¿1451¿¿'ESLint violation (unused variable)'¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
912¿ExpressionStatement¿¿1451¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
913¿AssignmentExpression¿=¿1451¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿AssignmentExpression
914¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":39,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
915¿Identifier¿¿1451¿v76¿¿¿¿¿Identifier
916¿Identifier¿¿1451¿mutate¿¿¿{"start":{"line":35,"column":4},"end":{"line":35,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
917¿Identifier¿¿1451¿v75¿¿¿¿¿Identifier
918¿VariableDeclarator¿¿1451¿v78¿¿¿{"start":{"line":42,"column":12},"end":{"line":45,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
919¿ArrowFunctionExpression¿¿1451¿¿¿¿{"start":{"line":42,"column":12},"end":{"line":45,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ArrowFunctionExpression
920¿VariableDeclarator¿¿1457¿file¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
921¿CallExpression¿¿1457¿¿¿¿{"start":{"line":43,"column":19},"end":{"line":43,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
922¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":43,"column":19},"end":{"line":43,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
923¿Identifier¿¿1457¿path¿¿¿{"start":{"line":43,"column":19},"end":{"line":43,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
924¿Identifier¿¿1457¿join¿¿¿{"start":{"line":43,"column":24},"end":{"line":43,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
925¿Identifier¿¿1457¿tmpDir¿¿¿{"start":{"line":43,"column":29},"end":{"line":43,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
926¿Literal¿string¿1457¿¿'format-error.ts'¿¿{"start":{"line":43,"column":37},"end":{"line":43,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
927¿VariableDeclarator¿¿1457¿v77¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
928¿CallExpression¿¿1457¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
929¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
930¿Identifier¿¿1457¿fs¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
931¿Identifier¿¿1457¿writeFileSync¿¿¿{"start":{"line":44,"column":9},"end":{"line":44,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
932¿Identifier¿¿1457¿file¿¿¿{"start":{"line":44,"column":23},"end":{"line":44,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
933¿Literal¿string¿1457¿¿'export const msg = 'hi'\n'¿¿{"start":{"line":44,"column":29},"end":{"line":44,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
934¿ExpressionStatement¿¿1457¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
935¿Identifier¿¿1457¿v77¿¿¿¿¿Identifier
936¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":42,"column":18},"end":{"line":45,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿BlockStatement
937¿VariableDeclarator¿¿1451¿v79¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
938¿ObjectExpression¿¿1451¿¿¿¿¿¿ObjectExpression
939¿ExpressionStatement¿¿1451¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
940¿AssignmentExpression¿=¿1451¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿AssignmentExpression
941¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
942¿Identifier¿¿1451¿v79¿¿¿¿¿Identifier
943¿Identifier¿¿1451¿desc¿¿¿{"start":{"line":41,"column":4},"end":{"line":41,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
944¿Literal¿string¿1451¿¿'Formatting inconsistency (double quotes, no semicolon maybe tolerated)'¿¿{"start":{"line":41,"column":10},"end":{"line":41,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
945¿ExpressionStatement¿¿1451¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ExpressionStatement
946¿AssignmentExpression¿=¿1451¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿AssignmentExpression
947¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":46,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
948¿Identifier¿¿1451¿v79¿¿¿¿¿Identifier
949¿Identifier¿¿1451¿mutate¿¿¿{"start":{"line":42,"column":4},"end":{"line":42,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
950¿Identifier¿¿1451¿v78¿¿¿¿¿Identifier
951¿VariableDeclarator¿¿1451¿v81¿¿¿{"start":{"line":49,"column":12},"end":{"line":53,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
952¿ArrowFunctionExpression¿¿1451¿¿¿¿{"start":{"line":49,"column":12},"end":{"line":53,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ArrowFunctionExpression
953¿VariableDeclarator¿¿1459¿file¿¿¿{"start":{"line":50,"column":12},"end":{"line":50,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
954¿CallExpression¿¿1459¿¿¿¿{"start":{"line":50,"column":19},"end":{"line":50,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
955¿MemberExpression¿¿1459¿¿¿¿{"start":{"line":50,"column":19},"end":{"line":50,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
956¿Identifier¿¿1459¿path¿¿¿{"start":{"line":50,"column":19},"end":{"line":50,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
