Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
977¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":125,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Program
993¿ExpressionStatement¿¿1683¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ExpressionStatement
994¿Identifier¿¿1683¿v97¿¿¿¿¿Identifier
995¿ExpressionStatement¿¿1683¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ExpressionStatement
996¿AssignmentExpression¿=¿1683¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿AssignmentExpression
997¿MemberExpression¿computed¿1683¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
998¿Identifier¿¿1683¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
999¿Literal¿string¿1683¿¿'default'¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
1000¿Identifier¿¿1683¿getMac¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1001¿VariableDeclarator¿¿1683¿_constats¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1002¿CallExpression¿¿1683¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1003¿Identifier¿¿1683¿require¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1004¿Literal¿string¿1683¿¿'./constats'¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
1005¿VariableDeclarator¿¿1683¿cp¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1006¿CallExpression¿¿1683¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1007¿Identifier¿¿1683¿require¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1008¿Literal¿string¿1683¿¿'child_process'¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
1009¿VariableDeclarator¿¿1683¿os¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1010¿CallExpression¿¿1683¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1011¿Identifier¿¿1683¿require¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1012¿Literal¿string¿1683¿¿'os'¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
1013¿VariableDeclarator¿¿1683¿isIpAddress¿¿¿{"start":{"line":14,"column":0},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1014¿FunctionExpression¿¿1683¿anon¿¿¿{"start":{"line":14,"column":0},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿FunctionExpression
1015¿Identifier¿¿0¿ipAddress¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1016¿VariableDeclarator¿¿1685¿v98¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1017¿UnaryExpression¿!¿1685¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿UnaryExpression
1018¿Identifier¿¿1685¿ipAddress¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1019¿VariableDeclarator¿¿1685¿v99¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1020¿UnaryExpression¿typeof¿1685¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿UnaryExpression
1021¿Identifier¿¿1685¿ipAddress¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1022¿VariableDeclarator¿¿1685¿v100¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1023¿BinaryExpression¿!==¿1685¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿BinaryExpression
1024¿Identifier¿¿1685¿v99¿¿¿¿¿Identifier
1025¿Literal¿string¿1685¿¿'string'¿¿{"start":{"line":15,"column":41},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
1026¿VariableDeclarator¿¿1685¿v101¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1027¿LogicalExpression¿||¿1685¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿LogicalExpression
1028¿Identifier¿¿1685¿v98¿¿¿¿¿Identifier
1029¿Identifier¿¿1685¿v100¿¿¿¿¿Identifier
1030¿IfStatement¿¿1685¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿IfStatement
1031¿Identifier¿¿1685¿v101¿¿¿¿¿Identifier
1032¿VariableDeclarator¿¿1685¿v102¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1033¿NewExpression¿¿1685¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿NewExpression
1034¿Identifier¿¿1685¿Error¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1035¿Literal¿string¿1685¿¿'Expected a string'¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
1036¿ThrowStatement¿¿1685¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ThrowStatement
1037¿Identifier¿¿1685¿v102¿¿¿¿¿Identifier
1038¿BlockStatement¿¿1685¿¿¿¿{"start":{"line":15,"column":51},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿BlockStatement
1039¿VariableDeclarator¿¿1685¿v103¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1040¿MemberExpression¿¿1685¿¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1041¿Identifier¿¿1685¿_constats¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1042¿Identifier¿¿1685¿IP_V4_ADDRESS_REGEX¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1043¿VariableDeclarator¿¿1685¿v104¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1044¿CallExpression¿¿1685¿¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1045¿MemberExpression¿¿1685¿¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1046¿Identifier¿¿1685¿ipAddress¿¿¿{"start":{"line":21,"column":44},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1047¿Identifier¿¿1685¿trim¿¿¿{"start":{"line":21,"column":54},"end":{"line":21,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1048¿VariableDeclarator¿¿1685¿v105¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1049¿CallExpression¿¿1685¿¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1050¿MemberExpression¿¿1685¿¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1051¿Identifier¿¿1685¿v103¿¿¿¿¿Identifier
1052¿Identifier¿¿1685¿test¿¿¿{"start":{"line":21,"column":39},"end":{"line":21,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1053¿Identifier¿¿1685¿v104¿¿¿¿¿Identifier
1054¿ReturnStatement¿¿1685¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ReturnStatement
1055¿Identifier¿¿1685¿v105¿¿¿¿¿Identifier
1056¿BlockStatement¿¿1685¿¿¿¿{"start":{"line":14,"column":32},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿BlockStatement
1057¿VariableDeclarator¿¿1683¿getOwnMacAddress¿¿¿{"start":{"line":24,"column":0},"end":{"line":44,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1058¿FunctionExpression¿¿1683¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":44,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿FunctionExpression
1059¿Identifier¿¿0¿ipAddress¿¿¿{"start":{"line":24,"column":26},"end":{"line":24,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1060¿VariableDeclarator¿¿1688¿ifaces¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1061¿CallExpression¿¿1688¿¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1062¿MemberExpression¿¿1688¿¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1063¿Identifier¿¿1688¿os¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1064¿Identifier¿¿1688¿networkInterfaces¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1065¿VariableDeclarator¿¿1688¿selfIps¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1066¿ArrayExpression¿¿1688¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ArrayExpression
1067¿VariableDeclarator¿¿1688¿v106¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1068¿CallExpression¿¿1688¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
1069¿MemberExpression¿¿1688¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1070¿Identifier¿¿1688¿Object¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1071¿Identifier¿¿1688¿keys¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1072¿Identifier¿¿1688¿ifaces¿¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1073¿VariableDeclarator¿¿1688¿v113¿¿¿{"start":{"line":27,"column":30},"end":{"line":36,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1074¿FunctionExpression¿¿1688¿anon¿¿¿{"start":{"line":27,"column":30},"end":{"line":36,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿FunctionExpression
1075¿Identifier¿¿0¿ifname¿¿¿{"start":{"line":27,"column":40},"end":{"line":27,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1076¿VariableDeclarator¿¿1690¿v107¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1077¿MemberExpression¿computed¿1690¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1078¿Identifier¿¿1690¿ifaces¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1079¿Identifier¿¿1690¿ifname¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1080¿VariableDeclarator¿¿1690¿v111¿¿¿{"start":{"line":28,"column":27},"end":{"line":35,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1081¿FunctionExpression¿¿1690¿anon¿¿¿{"start":{"line":28,"column":27},"end":{"line":35,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿FunctionExpression
1082¿Identifier¿¿0¿iface¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1083¿VariableDeclarator¿¿1692¿v108¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1084¿MemberExpression¿¿1692¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
1085¿Identifier¿¿1692¿iface¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1086¿Identifier¿¿1692¿family¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
1087¿VariableDeclarator¿¿1692¿v109¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
1088¿BinaryExpression¿!==¿1692¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿BinaryExpression
1089¿Identifier¿¿1692¿v108¿¿¿¿¿Identifier
