Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3589¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":567,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Program
3601¿Literal¿string¿6425¿¿'teeny-request'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3602¿VariableDeclarator¿¿6425¿request¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3603¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3604¿Identifier¿¿6425¿v473¿¿¿¿¿Identifier
3605¿Identifier¿¿6425¿teenyRequest¿¿¿{"start":{"line":3,"column":39},"end":{"line":3,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3606¿VariableDeclarator¿¿6425¿urlgrey¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3607¿CallExpression¿¿6425¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3608¿Identifier¿¿6425¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3609¿Literal¿string¿6425¿¿'urlgrey'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3610¿VariableDeclarator¿¿6425¿jsYaml¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3611¿CallExpression¿¿6425¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3612¿Identifier¿¿6425¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3613¿Literal¿string¿6425¿¿'js-yaml'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3614¿VariableDeclarator¿¿6425¿walk¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3615¿CallExpression¿¿6425¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3616¿Identifier¿¿6425¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3617¿Literal¿string¿6425¿¿'ignore-walk'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3618¿VariableDeclarator¿¿6425¿v474¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3619¿CallExpression¿¿6425¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3620¿Identifier¿¿6425¿require¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3621¿Literal¿string¿6425¿¿'child_process'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3622¿VariableDeclarator¿¿6425¿execSync¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3623¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3624¿Identifier¿¿6425¿v474¿¿¿¿¿Identifier
3625¿Identifier¿¿6425¿execSync¿¿¿{"start":{"line":7,"column":40},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3626¿VariableDeclarator¿¿6425¿detectProvider¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3627¿CallExpression¿¿6425¿¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3628¿Identifier¿¿6425¿require¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3629¿Literal¿string¿6425¿¿'./detect'¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3630¿VariableDeclarator¿¿6425¿v475¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3631¿CallExpression¿¿6425¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3632¿Identifier¿¿6425¿require¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3633¿Literal¿string¿6425¿¿'../package.json'¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3634¿VariableDeclarator¿¿6425¿v476¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3635¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3636¿Identifier¿¿6425¿v475¿¿¿¿¿Identifier
3637¿Identifier¿¿6425¿version¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3638¿VariableDeclarator¿¿6425¿version¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3639¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3640¿Literal¿string¿6425¿¿'v'¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3641¿Identifier¿¿6425¿v476¿¿¿¿¿Identifier
3642¿VariableDeclarator¿¿6425¿patterns¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3643¿VariableDeclarator¿¿6425¿more_patterns¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3644¿Literal¿string¿6425¿¿''¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3645¿VariableDeclarator¿¿6425¿v477¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3646¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3647¿Identifier¿¿6425¿process¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3648¿Identifier¿¿6425¿platform¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3649¿VariableDeclarator¿¿6425¿v478¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3650¿CallExpression¿¿6425¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3651¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3652¿Identifier¿¿6425¿v477¿¿¿¿¿Identifier
3653¿Identifier¿¿6425¿match¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3654¿Literal¿object¿6425¿¿/win32/¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3655¿VariableDeclarator¿¿6425¿v479¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3656¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3657¿Identifier¿¿6425¿process¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3658¿Identifier¿¿6425¿platform¿¿¿{"start":{"line":17,"column":45},"end":{"line":17,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3659¿VariableDeclarator¿¿6425¿v480¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3660¿CallExpression¿¿6425¿¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3661¿MemberExpression¿¿6425¿¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿MemberExpression
3662¿Identifier¿¿6425¿v479¿¿¿¿¿Identifier
3663¿Identifier¿¿6425¿match¿¿¿{"start":{"line":17,"column":54},"end":{"line":17,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3664¿Literal¿object¿6425¿¿/win64/¿¿{"start":{"line":17,"column":60},"end":{"line":17,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3665¿VariableDeclarator¿¿6425¿isWindows¿¿¿{"start":{"line":16,"column":4},"end":{"line":17,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3666¿LogicalExpression¿||¿6425¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿LogicalExpression
3667¿Identifier¿¿6425¿v478¿¿¿¿¿Identifier
3668¿Identifier¿¿6425¿v480¿¿¿¿¿Identifier
3669¿VariableDeclarator¿¿6425¿v481¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3670¿UnaryExpression¿!¿6425¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿UnaryExpression
3671¿Identifier¿¿6425¿isWindows¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3672¿IfStatement¿¿6425¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":139,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿IfStatement
3673¿Identifier¿¿6425¿v481¿¿¿¿¿Identifier
3674¿VariableDeclarator¿¿6425¿v482¿¿¿{"start":{"line":21,"column":4},"end":{"line":22,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3675¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":22,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3676¿Literal¿string¿6425¿¿'-type f \\( -name '*coverage.*' '¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3677¿Literal¿string¿6425¿¿'-or -name 'nosetests.xml' '¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3678¿VariableDeclarator¿¿6425¿v483¿¿¿{"start":{"line":21,"column":4},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3679¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3680¿Identifier¿¿6425¿v482¿¿¿¿¿Identifier
3681¿Literal¿string¿6425¿¿'-or -name 'jacoco*.xml' '¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3682¿VariableDeclarator¿¿6425¿v484¿¿¿{"start":{"line":21,"column":4},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3683¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3684¿Identifier¿¿6425¿v483¿¿¿¿¿Identifier
3685¿Literal¿string¿6425¿¿'-or -name 'clover.xml' '¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3686¿VariableDeclarator¿¿6425¿v485¿¿¿{"start":{"line":21,"column":4},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3687¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3688¿Identifier¿¿6425¿v484¿¿¿¿¿Identifier
3689¿Literal¿string¿6425¿¿'-or -name 'report.xml' '¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3690¿VariableDeclarator¿¿6425¿v486¿¿¿{"start":{"line":21,"column":4},"end":{"line":26,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3691¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":26,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3692¿Identifier¿¿6425¿v485¿¿¿¿¿Identifier
3693¿Literal¿string¿6425¿¿'-or -name 'cobertura.xml' '¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3694¿VariableDeclarator¿¿6425¿v487¿¿¿{"start":{"line":21,"column":4},"end":{"line":27,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3695¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":27,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3696¿Identifier¿¿6425¿v486¿¿¿¿¿Identifier
3697¿Literal¿string¿6425¿¿'-or -name 'luacov.report.out' '¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3698¿VariableDeclarator¿¿6425¿v488¿¿¿{"start":{"line":21,"column":4},"end":{"line":28,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3699¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":28,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3700¿Identifier¿¿6425¿v487¿¿¿¿¿Identifier
3701¿Literal¿string¿6425¿¿'-or -name 'lcov.info' '¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3702¿VariableDeclarator¿¿6425¿v489¿¿¿{"start":{"line":21,"column":4},"end":{"line":29,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3703¿BinaryExpression¿+¿6425¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":29,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿BinaryExpression
3704¿Identifier¿¿6425¿v488¿¿¿¿¿Identifier
3705¿Literal¿string¿6425¿¿'-or -name '*.lcov' '¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3706¿VariableDeclarator¿¿6425¿v490¿¿¿{"start":{"line":21,"column":4},"end":{"line":30,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
