Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
871¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":149,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Program
910¿VariableDeclarator¿¿1510¿http¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
911¿CallExpression¿¿1510¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
912¿Identifier¿¿1510¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
913¿Literal¿string¿1510¿¿'http'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
914¿VariableDeclarator¿¿1510¿server¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
915¿VariableDeclarator¿¿1510¿NO_PATH_FILE_ERROR_MESSAGE¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":96},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
916¿Literal¿string¿1510¿¿'Error: index.html could not be found in the specified path '¿¿{"start":{"line":13,"column":35},"end":{"line":13,"column":96},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
917¿VariableDeclarator¿¿1510¿NO_ROOT_FILE_ERROR_MESSAGE¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
918¿Literal¿string¿1510¿¿'Error: Could not find index.html within the working directory.'¿¿{"start":{"line":14,"column":35},"end":{"line":14,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
919¿VariableDeclarator¿¿1510¿v76¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
920¿CallExpression¿¿1510¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
921¿Identifier¿¿1510¿returnDistFile¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
922¿Literal¿boolean¿1510¿¿true¿¿{"start":{"line":17,"column":15},"end":{"line":17,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
923¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿ExpressionStatement
924¿Identifier¿¿1510¿v76¿¿¿¿¿Identifier
925¿VariableDeclarator¿¿1510¿v77¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
926¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
927¿Identifier¿¿1510¿argv¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
928¿Identifier¿¿1510¿ssl¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
929¿VariableDeclarator¿¿1510¿v78¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
930¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
931¿Identifier¿¿1510¿argv¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
932¿Identifier¿¿1510¿https¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
933¿VariableDeclarator¿¿1510¿v79¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
934¿LogicalExpression¿||¿1510¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿LogicalExpression
935¿Identifier¿¿1510¿v77¿¿¿¿¿Identifier
936¿Identifier¿¿1510¿v78¿¿¿¿¿Identifier
937¿IfStatement¿¿1510¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿IfStatement
938¿Identifier¿¿1510¿v79¿¿¿¿¿Identifier
939¿VariableDeclarator¿¿1510¿v80¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
940¿ObjectExpression¿¿1510¿¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿ObjectExpression
941¿Property¿¿1510¿¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Property
942¿Identifier¿¿1510¿days¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
943¿Literal¿number¿1510¿¿1¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
944¿Property¿¿1510¿¿¿¿{"start":{"line":21,"column":37},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Property
945¿Identifier¿¿1510¿selfSigned¿¿¿{"start":{"line":21,"column":37},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
946¿Literal¿boolean¿1510¿¿true¿¿{"start":{"line":21,"column":49},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
947¿VariableDeclarator¿¿1510¿v84¿¿¿{"start":{"line":21,"column":57},"end":{"line":29,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
948¿FunctionExpression¿¿1510¿anon¿¿¿{"start":{"line":21,"column":57},"end":{"line":29,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿FunctionExpression
949¿Identifier¿¿0¿err¿¿¿{"start":{"line":21,"column":66},"end":{"line":21,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
950¿Identifier¿¿0¿keys¿¿¿{"start":{"line":21,"column":71},"end":{"line":21,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
951¿VariableDeclarator¿¿1512¿v81¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
952¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
953¿Identifier¿¿1512¿keys¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
954¿Identifier¿¿1512¿serviceKey¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
955¿VariableDeclarator¿¿1512¿v82¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
956¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
957¿Identifier¿¿1512¿keys¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
958¿Identifier¿¿1512¿certificate¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
959¿VariableDeclarator¿¿1512¿options¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
960¿ObjectExpression¿¿1512¿¿¿¿¿¿ObjectExpression
961¿ExpressionStatement¿¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿ExpressionStatement
962¿AssignmentExpression¿=¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿AssignmentExpression
963¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
964¿Identifier¿¿1512¿options¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
965¿Identifier¿¿1512¿key¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
966¿Identifier¿¿1512¿v81¿¿¿¿¿Identifier
967¿ExpressionStatement¿¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿ExpressionStatement
968¿AssignmentExpression¿=¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿AssignmentExpression
969¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
970¿Identifier¿¿1512¿options¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
971¿Identifier¿¿1512¿cert¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
972¿Identifier¿¿1512¿v82¿¿¿¿¿Identifier
973¿ExpressionStatement¿¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿ExpressionStatement
974¿AssignmentExpression¿=¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿AssignmentExpression
975¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
976¿Identifier¿¿1512¿options¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
977¿Identifier¿¿1512¿rejectUnauthorized¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
978¿Literal¿boolean¿1512¿¿false¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
979¿ExpressionStatement¿¿1512¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿ExpressionStatement
980¿AssignmentExpression¿=¿1512¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿AssignmentExpression
981¿Identifier¿¿1512¿server¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
982¿CallExpression¿¿1512¿¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
