Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1720¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":183,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Program
1731¿Identifier¿¿3036¿require¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1732¿Literal¿string¿3036¿¿'path'¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1733¿VariableDeclarator¿¿3036¿v176¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1734¿CallExpression¿¿3036¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1735¿Identifier¿¿3036¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1736¿Literal¿string¿3036¿¿'child_process'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1737¿VariableDeclarator¿¿3036¿exec¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1738¿MemberExpression¿¿3036¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1739¿Identifier¿¿3036¿v176¿¿¿¿¿Identifier
1740¿Identifier¿¿3036¿exec¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1741¿VariableDeclarator¿¿3036¿v177¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1742¿CallExpression¿¿3036¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1743¿Identifier¿¿3036¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1744¿Literal¿string¿3036¿¿'child_process'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1745¿VariableDeclarator¿¿3036¿spawn¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1746¿MemberExpression¿¿3036¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1747¿Identifier¿¿3036¿v177¿¿¿¿¿Identifier
1748¿Identifier¿¿3036¿spawn¿¿¿{"start":{"line":5,"column":37},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1749¿VariableDeclarator¿¿3036¿helpers¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1750¿CallExpression¿¿3036¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1751¿Identifier¿¿3036¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1752¿Literal¿string¿3036¿¿'./helpers'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1753¿VariableDeclarator¿¿3036¿v178¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1754¿CallExpression¿¿3036¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1755¿Identifier¿¿3036¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1756¿Literal¿string¿3036¿¿'util'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1757¿VariableDeclarator¿¿3036¿format¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1758¿MemberExpression¿¿3036¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1759¿Identifier¿¿3036¿v178¿¿¿¿¿Identifier
1760¿Identifier¿¿3036¿format¿¿¿{"start":{"line":7,"column":29},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1761¿VariableDeclarator¿¿3036¿v179¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1762¿ObjectExpression¿¿3036¿¿¿¿¿¿ObjectExpression
1763¿VariableDeclarator¿exported¿3036¿v197¿¿¿{"start":{"line":12,"column":8},"end":{"line":38,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1764¿FunctionExpression¿¿3036¿anon¿¿¿{"start":{"line":12,"column":8},"end":{"line":38,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿FunctionExpression
1765¿Identifier¿¿0¿pid¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1766¿Identifier¿¿0¿options¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1767¿Identifier¿¿0¿done¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1768¿VariableDeclarator¿¿3038¿self¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1769¿ThisExpression¿¿3038¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ThisExpression
1770¿VariableDeclarator¿¿3038¿v180¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1771¿MemberExpression¿¿3038¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1772¿ThisExpression¿¿3038¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ThisExpression
1773¿Identifier¿¿3038¿cpu¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1774¿VariableDeclarator¿¿3038¿v181¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1775¿BinaryExpression¿!==¿3038¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BinaryExpression
1776¿Identifier¿¿3038¿v180¿¿¿¿¿Identifier
1777¿Literal¿object¿3038¿¿null¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1778¿IfStatement¿¿3038¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":37,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿IfStatement
1779¿Identifier¿¿3038¿v181¿¿¿¿¿Identifier
1780¿VariableDeclarator¿¿3038¿v191¿¿¿{"start":{"line":16,"column":42},"end":{"line":28,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1781¿FunctionExpression¿¿3038¿anon¿¿¿{"start":{"line":16,"column":42},"end":{"line":28,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿FunctionExpression
1782¿Identifier¿¿0¿err¿¿¿{"start":{"line":16,"column":51},"end":{"line":16,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1783¿Identifier¿¿0¿uptime¿¿¿{"start":{"line":16,"column":56},"end":{"line":16,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1784¿IfStatement¿¿3040¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿IfStatement
1785¿Identifier¿¿3040¿err¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1786¿VariableDeclarator¿¿3040¿v182¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1787¿CallExpression¿¿3040¿¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1788¿Identifier¿¿3040¿done¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1789¿Identifier¿¿3040¿err¿¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1790¿Literal¿object¿3040¿¿null¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1791¿ReturnStatement¿¿3040¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ReturnStatement
1792¿Identifier¿¿3040¿v182¿¿¿¿¿Identifier
1793¿BlockStatement¿¿3040¿¿¿¿¿¿BlockStatement
1794¿VariableDeclarator¿¿3040¿v183¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1795¿BinaryExpression¿===¿3040¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BinaryExpression
1796¿Identifier¿¿3040¿uptime¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1797¿Identifier¿¿3040¿undefined¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1798¿IfStatement¿¿3040¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":25,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿IfStatement
1799¿Identifier¿¿3040¿v183¿¿¿¿¿Identifier
1800¿VariableDeclarator¿¿3040¿v184¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1801¿CallExpression¿¿3040¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1802¿MemberExpression¿¿3040¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1803¿Identifier¿¿3040¿console¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1804¿Identifier¿¿3040¿error¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1805¿Literal¿string¿3040¿¿'[pidusage] We couldn't find uptime from /proc/uptime'¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1806¿ExpressionStatement¿¿3040¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ExpressionStatement
1807¿Identifier¿¿3040¿v184¿¿¿¿¿Identifier
1808¿VariableDeclarator¿¿3040¿v186¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1809¿CallExpression¿¿3040¿¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1810¿MemberExpression¿¿3040¿¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1811¿Identifier¿¿3040¿os¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1812¿Identifier¿¿3040¿uptime¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1813¿ExpressionStatement¿¿3040¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ExpressionStatement
1814¿AssignmentExpression¿=¿3040¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿AssignmentExpression
1815¿MemberExpression¿¿3040¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1816¿Identifier¿¿3040¿v185¿¿¿¿¿Identifier
1817¿Identifier¿¿3040¿uptime¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1818¿Identifier¿¿3040¿v186¿¿¿¿¿Identifier
1819¿BlockStatement¿¿3040¿¿¿¿{"start":{"line":20,"column":33},"end":{"line":23,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿BlockStatement
1820¿VariableDeclarator¿¿3040¿v187¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1821¿MemberExpression¿¿3040¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1822¿Identifier¿¿3040¿self¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1823¿Identifier¿¿3040¿cpu¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1824¿VariableDeclarator¿¿3040¿v188¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1825¿CallExpression¿¿3040¿¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1826¿MemberExpression¿¿3040¿¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1827¿Identifier¿¿3040¿uptime¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1828¿Identifier¿¿3040¿split¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1829¿Literal¿string¿3040¿¿' '¿¿{"start":{"line":24,"column":41},"end":{"line":24,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1830¿VariableDeclarator¿¿3040¿v189¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1831¿MemberExpression¿computed¿3040¿¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1832¿Identifier¿¿3040¿v188¿¿¿¿¿Identifier
1833¿Literal¿number¿3040¿¿0¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1834¿ExpressionStatement¿¿3040¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿ExpressionStatement
1835¿AssignmentExpression¿=¿3040¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿AssignmentExpression
1836¿MemberExpression¿¿3040¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1837¿Identifier¿¿3040¿v187¿¿¿¿¿Identifier
