Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1594¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":225,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Program
1628¿VariableDeclarator¿¿2779¿v185¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1629¿MemberExpression¿computed¿2779¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1630¿Identifier¿¿2779¿array¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1631¿Identifier¿¿2779¿i¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1632¿VariableDeclarator¿¿2779¿v186¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1633¿CallExpression¿¿2779¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿CallExpression
1634¿MemberExpression¿¿2779¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1635¿Identifier¿¿2779¿nums¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1636¿Identifier¿¿2779¿push¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1637¿Identifier¿¿2779¿v185¿¿¿¿¿Identifier
1638¿ExpressionStatement¿¿2779¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ExpressionStatement
1639¿Identifier¿¿2779¿v186¿¿¿¿¿Identifier
1640¿VariableDeclarator¿¿2779¿v187¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1641¿MemberExpression¿¿2779¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1642¿Identifier¿¿2779¿nums¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1643¿Identifier¿¿2779¿length¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1644¿VariableDeclarator¿¿2779¿v188¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1645¿BinaryExpression¿>¿2779¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BinaryExpression
1646¿Identifier¿¿2779¿v187¿¿¿¿¿Identifier
1647¿Identifier¿¿2779¿n¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1648¿IfStatement¿¿2779¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":22,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿IfStatement
1649¿Identifier¿¿2779¿v188¿¿¿¿¿Identifier
1650¿VariableDeclarator¿¿2779¿v189¿¿¿{"start":{"line":21,"column":1},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1651¿CallExpression¿¿2779¿¿¿¿{"start":{"line":21,"column":1},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿CallExpression
1652¿MemberExpression¿¿2779¿¿¿¿{"start":{"line":21,"column":1},"end":{"line":21,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1653¿Identifier¿¿2779¿nums¿¿¿{"start":{"line":21,"column":1},"end":{"line":21,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1654¿Identifier¿¿2779¿splice¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1655¿Literal¿number¿2779¿¿0¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Literal
1656¿Literal¿number¿2779¿¿1¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Literal
1657¿ExpressionStatement¿¿2779¿¿¿¿{"start":{"line":21,"column":1},"end":{"line":21,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ExpressionStatement
1658¿Identifier¿¿2779¿v189¿¿¿¿¿Identifier
1659¿BlockStatement¿¿2779¿¿¿¿{"start":{"line":20,"column":27},"end":{"line":22,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BlockStatement
1660¿VariableDeclarator¿¿2779¿v191¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1661¿FunctionExpression¿¿2779¿anon¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿FunctionExpression
1662¿Identifier¿¿0¿memo¿¿¿{"start":{"line":24,"column":40},"end":{"line":24,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1663¿Identifier¿¿0¿num¿¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1664¿VariableDeclarator¿¿2782¿v190¿¿¿{"start":{"line":24,"column":59},"end":{"line":24,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1665¿BinaryExpression¿+¿2782¿¿¿¿{"start":{"line":24,"column":59},"end":{"line":24,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BinaryExpression
1666¿Identifier¿¿2782¿memo¿¿¿{"start":{"line":24,"column":59},"end":{"line":24,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1667¿Identifier¿¿2782¿num¿¿¿{"start":{"line":24,"column":66},"end":{"line":24,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1668¿ReturnStatement¿¿2782¿¿¿¿{"start":{"line":24,"column":52},"end":{"line":24,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ReturnStatement
1669¿Identifier¿¿2782¿v190¿¿¿¿¿Identifier
1670¿BlockStatement¿¿2782¿¿¿¿{"start":{"line":24,"column":50},"end":{"line":24,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BlockStatement
1671¿VariableDeclarator¿¿2779¿sum¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1672¿CallExpression¿¿2779¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿CallExpression
1673¿MemberExpression¿¿2779¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1674¿Identifier¿¿2779¿_¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1675¿Identifier¿¿2779¿reduce¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1676¿Identifier¿¿2779¿nums¿¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1677¿Identifier¿¿2779¿v191¿¿¿¿¿Identifier
1678¿Literal¿number¿2779¿¿0¿¿{"start":{"line":24,"column":74},"end":{"line":24,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Literal
1679¿VariableDeclarator¿¿2779¿v192¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1680¿MemberExpression¿¿2779¿¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1681¿Identifier¿¿2779¿nums¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1682¿Identifier¿¿2779¿length¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1683¿ExpressionStatement¿¿2779¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ExpressionStatement
1684¿AssignmentExpression¿=¿2779¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿AssignmentExpression
1685¿MemberExpression¿computed¿2779¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1686¿Identifier¿¿2779¿array¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1687¿Identifier¿¿2779¿i¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1688¿BinaryExpression¿/¿2779¿¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BinaryExpression
1689¿Identifier¿¿2779¿sum¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1690¿Identifier¿¿2779¿v192¿¿¿¿¿Identifier
1691¿BlockStatement¿¿2779¿¿¿¿{"start":{"line":18,"column":30},"end":{"line":26,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BlockStatement
1692¿BlockStatement¿¿2779¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":27,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BlockStatement
1693¿ReturnStatement¿¿2779¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ReturnStatement
1694¿Identifier¿¿2779¿array¿¿¿{"start":{"line":29,"column":9},"end":{"line":29,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1695¿BlockStatement¿¿2779¿¿¿¿{"start":{"line":13,"column":34},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿BlockStatement
1696¿VariableDeclarator¿¿2777¿moving_maximum¿¿¿{"start":{"line":34,"column":0},"end":{"line":50,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1697¿FunctionExpression¿¿2777¿anon¿¿¿{"start":{"line":34,"column":0},"end":{"line":50,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿FunctionExpression
1698¿Identifier¿¿0¿array¿¿¿{"start":{"line":34,"column":24},"end":{"line":34,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1699¿Identifier¿¿0¿n¿¿¿{"start":{"line":34,"column":31},"end":{"line":34,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1700¿VariableDeclarator¿¿2786¿nums¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1701¿ArrayExpression¿¿2786¿¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ArrayExpression
1702¿ForInStatement¿¿2786¿¿¿¿{"start":{"line":37,"column":2},"end":{"line":47,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ForInStatement
1703¿Identifier¿¿2786¿i¿¿¿{"start":{"line":37,"column":7},"end":{"line":37,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1704¿Identifier¿¿2786¿array¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1705¿VariableDeclarator¿¿2786¿v193¿¿¿{"start":{"line":38,"column":19},"end":{"line":38,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1706¿MemberExpression¿computed¿2786¿¿¿¿{"start":{"line":38,"column":19},"end":{"line":38,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1707¿Identifier¿¿2786¿array¿¿¿{"start":{"line":38,"column":19},"end":{"line":38,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1708¿Identifier¿¿2786¿i¿¿¿{"start":{"line":38,"column":25},"end":{"line":38,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
