Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
840¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":88,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Program
851¿VariableDeclarator¿¿1453¿path¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
852¿CallExpression¿¿1453¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
853¿Identifier¿¿1453¿require¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
854¿Literal¿string¿1453¿¿'path'¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
855¿VariableDeclarator¿¿1453¿app¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
856¿CallExpression¿¿1453¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
857¿Identifier¿¿1453¿express¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
858¿VariableDeclarator¿¿1453¿ROOT¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
859¿CallExpression¿¿1453¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
860¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
861¿Identifier¿¿1453¿path¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
862¿Identifier¿¿1453¿resolve¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
863¿Identifier¿¿1453¿__dirname¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
864¿Literal¿string¿1453¿¿'media'¿¿{"start":{"line":15,"column":37},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
865¿VariableDeclarator¿¿1453¿v97¿¿¿{"start":{"line":17,"column":8},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
866¿ArrowFunctionExpression¿¿1453¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ArrowFunctionExpression
867¿Identifier¿¿0¿req¿¿¿{"start":{"line":17,"column":9},"end":{"line":17,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
868¿Identifier¿¿0¿_res¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
869¿Identifier¿¿0¿next¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
870¿VariableDeclarator¿¿1455¿v92¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
871¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
872¿Identifier¿¿1455¿req¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
873¿Identifier¿¿1455¿method¿¿¿{"start":{"line":18,"column":32},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
874¿VariableDeclarator¿¿1455¿v93¿¿¿{"start":{"line":18,"column":42},"end":{"line":18,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
875¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":18,"column":42},"end":{"line":18,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
876¿Identifier¿¿1455¿req¿¿¿{"start":{"line":18,"column":42},"end":{"line":18,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
877¿Identifier¿¿1455¿url¿¿¿{"start":{"line":18,"column":46},"end":{"line":18,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
878¿VariableDeclarator¿¿1455¿v94¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
879¿TemplateLiteral¿¿1455¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿TemplateLiteral
880¿Identifier¿¿1455¿v92¿¿¿¿¿Identifier
881¿Identifier¿¿1455¿v93¿¿¿¿¿Identifier
882¿VariableDeclarator¿¿1455¿v95¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
883¿CallExpression¿¿1455¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
884¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
885¿Identifier¿¿1455¿console¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
886¿Identifier¿¿1455¿log¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
887¿Identifier¿¿1455¿v94¿¿¿¿¿Identifier
888¿ExpressionStatement¿¿1455¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ExpressionStatement
889¿Identifier¿¿1455¿v95¿¿¿¿¿Identifier
890¿VariableDeclarator¿¿1455¿v96¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
891¿CallExpression¿¿1455¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
892¿Identifier¿¿1455¿next¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
893¿ExpressionStatement¿¿1455¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ExpressionStatement
894¿Identifier¿¿1455¿v96¿¿¿¿¿Identifier
895¿BlockStatement¿¿1455¿¿¿¿{"start":{"line":17,"column":29},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿BlockStatement
896¿VariableDeclarator¿¿1453¿v98¿¿¿{"start":{"line":17,"column":0},"end":{"line":20,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
897¿CallExpression¿¿1453¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":20,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
898¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
899¿Identifier¿¿1453¿app¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
900¿Identifier¿¿1453¿use¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
901¿Identifier¿¿1453¿v97¿¿¿¿¿Identifier
902¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ExpressionStatement
903¿Identifier¿¿1453¿v98¿¿¿¿¿Identifier
904¿VariableDeclarator¿¿1453¿v126¿¿¿{"start":{"line":23,"column":21},"end":{"line":47,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
905¿ArrowFunctionExpression¿¿1453¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":47,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ArrowFunctionExpression
906¿Identifier¿¿0¿req¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
907¿Identifier¿¿0¿res¿¿¿{"start":{"line":23,"column":27},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
908¿VariableDeclarator¿¿1457¿v99¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
909¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
910¿Identifier¿¿1457¿req¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
911¿Identifier¿¿1457¿query¿¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
912¿VariableDeclarator¿¿1457¿v100¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
913¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
914¿Identifier¿¿1457¿v99¿¿¿¿¿Identifier
915¿Identifier¿¿1457¿m¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
916¿VariableDeclarator¿¿1457¿v101¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
917¿LogicalExpression¿||¿1457¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿LogicalExpression
918¿Identifier¿¿1457¿v100¿¿¿¿¿Identifier
919¿Literal¿string¿1457¿¿'default.m3u'¿¿{"start":{"line":24,"column":36},"end":{"line":24,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
920¿VariableDeclarator¿¿1457¿m3u¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
921¿CallExpression¿¿1457¿¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
922¿Identifier¿¿1457¿String¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
923¿Identifier¿¿1457¿v101¿¿¿¿¿Identifier
924¿VariableDeclarator¿¿1457¿m3uPath¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
925¿CallExpression¿¿1457¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
926¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
927¿Identifier¿¿1457¿path¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
928¿Identifier¿¿1457¿join¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
929¿Identifier¿¿1457¿ROOT¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
930¿Identifier¿¿1457¿m3u¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
931¿VariableDeclarator¿¿1457¿v102¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
932¿CallExpression¿¿1457¿¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
933¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
934¿Identifier¿¿1457¿m3uPath¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
935¿Identifier¿¿1457¿startsWith¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
936¿Identifier¿¿1457¿ROOT¿¿¿{"start":{"line":27,"column":26},"end":{"line":27,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
937¿VariableDeclarator¿¿1457¿v103¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
938¿UnaryExpression¿!¿1457¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿UnaryExpression
939¿Identifier¿¿1457¿v102¿¿¿¿¿Identifier
940¿IfStatement¿¿1457¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿IfStatement
941¿Identifier¿¿1457¿v103¿¿¿¿¿Identifier
942¿VariableDeclarator¿¿1457¿v104¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
943¿CallExpression¿¿1457¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
944¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
945¿Identifier¿¿1457¿res¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
946¿Identifier¿¿1457¿status¿¿¿{"start":{"line":28,"column":15},"end":{"line":28,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
947¿Literal¿number¿1457¿¿400¿¿{"start":{"line":28,"column":22},"end":{"line":28,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
948¿VariableDeclarator¿¿1457¿v105¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
949¿CallExpression¿¿1457¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
950¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿MemberExpression
951¿Identifier¿¿1457¿v104¿¿¿¿¿Identifier
952¿Identifier¿¿1457¿send¿¿¿{"start":{"line":28,"column":27},"end":{"line":28,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
953¿Literal¿string¿1457¿¿'Invalid playlist path'¿¿{"start":{"line":28,"column":32},"end":{"line":28,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
954¿ReturnStatement¿¿1457¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ReturnStatement
