Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
547¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":87,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Program
558¿Identifier¿¿955¿require¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
559¿Literal¿string¿955¿¿'through2'¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
560¿VariableDeclarator¿¿955¿defaults¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
561¿CallExpression¿¿955¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
562¿Identifier¿¿955¿require¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
563¿Literal¿string¿955¿¿'lodash.defaults'¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
564¿VariableDeclarator¿¿955¿v53¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
565¿CallExpression¿¿955¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
566¿Identifier¿¿955¿require¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
567¿Literal¿string¿955¿¿'child_process'¿¿{"start":{"line":5,"column":26},"end":{"line":5,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
568¿VariableDeclarator¿¿955¿exec¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
569¿MemberExpression¿¿955¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿MemberExpression
570¿Identifier¿¿955¿v53¿¿¿¿¿Identifier
571¿Identifier¿¿955¿execFile¿¿¿{"start":{"line":5,"column":43},"end":{"line":5,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
572¿VariableDeclarator¿¿955¿PLUGIN_NAME¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
573¿Literal¿string¿955¿¿'gulp-styledocco'¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
574¿VariableDeclarator¿exported¿955¿v104¿¿¿{"start":{"line":9,"column":0},"end":{"line":87,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
575¿FunctionExpression¿¿955¿anon¿¿¿{"start":{"line":9,"column":17},"end":{"line":87,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿FunctionExpression
576¿Identifier¿¿0¿options¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
577¿ExpressionStatement¿¿957¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ExpressionStatement
578¿Literal¿string¿957¿¿'use strict'¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
579¿VariableDeclarator¿¿957¿firstFile¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
580¿Literal¿object¿957¿¿null¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
581¿VariableDeclarator¿¿957¿v54¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
582¿ObjectExpression¿¿957¿¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ObjectExpression
583¿VariableDeclarator¿¿957¿v55¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
584¿LogicalExpression¿||¿957¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿LogicalExpression
585¿Identifier¿¿957¿options¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
586¿Identifier¿¿957¿v54¿¿¿¿¿Identifier
587¿VariableDeclarator¿¿957¿v56¿¿¿{"start":{"line":13,"column":37},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
588¿ObjectExpression¿¿957¿¿¿¿{"start":{"line":13,"column":37},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ObjectExpression
589¿Property¿¿957¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Property
590¿Identifier¿¿957¿out¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
591¿Literal¿string¿957¿¿'docs'¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
592¿Property¿¿957¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Property
593¿Identifier¿¿957¿name¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
594¿Literal¿string¿957¿¿'Styledocco'¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
595¿Property¿¿957¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Property
596¿Identifier¿¿957¿include¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
597¿Literal¿object¿957¿¿null¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
598¿Property¿¿957¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Property
599¿Identifier¿¿957¿preprocessor¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
600¿Literal¿object¿957¿¿null¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
601¿VariableDeclarator¿¿957¿opts¿¿¿{"start":{"line":13,"column":6},"end":{"line":18,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
602¿CallExpression¿¿957¿¿¿¿{"start":{"line":13,"column":13},"end":{"line":18,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
603¿Identifier¿¿957¿defaults¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
604¿Identifier¿¿957¿v55¿¿¿¿¿Identifier
605¿Identifier¿¿957¿v56¿¿¿¿¿Identifier
606¿VariableDeclarator¿¿957¿count¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
607¿Literal¿number¿957¿¿0¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
608¿VariableDeclarator¿¿957¿transform¿¿¿{"start":{"line":21,"column":2},"end":{"line":40,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
609¿FunctionExpression¿¿957¿anon¿¿¿{"start":{"line":21,"column":2},"end":{"line":40,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿FunctionExpression
610¿Identifier¿¿0¿file¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
611¿Identifier¿¿0¿encoding¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
612¿Identifier¿¿0¿cb¿¿¿{"start":{"line":21,"column":38},"end":{"line":21,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
613¿VariableDeclarator¿¿959¿v57¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
614¿CallExpression¿¿959¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
615¿MemberExpression¿¿959¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿MemberExpression
616¿Identifier¿¿959¿file¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
617¿Identifier¿¿959¿isNull¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
618¿IfStatement¿¿959¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":26,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿IfStatement
619¿Identifier¿¿959¿v57¿¿¿¿¿Identifier
620¿VariableDeclarator¿¿959¿v58¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
621¿CallExpression¿¿959¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
622¿MemberExpression¿¿959¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿MemberExpression
623¿ThisExpression¿¿959¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ThisExpression
624¿Identifier¿¿959¿push¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
625¿Identifier¿¿959¿file¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
626¿ExpressionStatement¿¿959¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ExpressionStatement
627¿Identifier¿¿959¿v58¿¿¿¿¿Identifier
628¿VariableDeclarator¿¿959¿v59¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
629¿CallExpression¿¿959¿¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
630¿Identifier¿¿959¿cb¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
631¿ReturnStatement¿¿959¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ReturnStatement
632¿Identifier¿¿959¿v59¿¿¿¿¿Identifier
633¿BlockStatement¿¿959¿¿¿¿{"start":{"line":23,"column":23},"end":{"line":26,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿BlockStatement
634¿VariableDeclarator¿¿959¿v60¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
635¿CallExpression¿¿959¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
636¿MemberExpression¿¿959¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿MemberExpression
637¿Identifier¿¿959¿file¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
638¿Identifier¿¿959¿isStream¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
639¿IfStatement¿¿959¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿IfStatement
640¿Identifier¿¿959¿v60¿¿¿¿¿Identifier
641¿VariableDeclarator¿¿959¿v61¿¿¿{"start":{"line":29,"column":25},"end":{"line":29,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
642¿NewExpression¿¿959¿¿¿¿{"start":{"line":29,"column":25},"end":{"line":29,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿NewExpression
643¿Identifier¿¿959¿PluginError¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
644¿Identifier¿¿959¿PLUGIN_NAME¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
645¿Literal¿string¿959¿¿'Streaming not supported'¿¿{"start":{"line":29,"column":54},"end":{"line":29,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
646¿VariableDeclarator¿¿959¿v62¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":81},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
647¿CallExpression¿¿959¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":81},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
648¿MemberExpression¿¿959¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿MemberExpression
649¿ThisExpression¿¿959¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ThisExpression
650¿Identifier¿¿959¿emit¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
651¿Literal¿string¿959¿¿'error'¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
652¿Identifier¿¿959¿v61¿¿¿¿¿Identifier
653¿ExpressionStatement¿¿959¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ExpressionStatement
654¿Identifier¿¿959¿v62¿¿¿¿¿Identifier
655¿VariableDeclarator¿¿959¿v63¿¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
656¿CallExpression¿¿959¿¿¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
657¿Identifier¿¿959¿cb¿¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
658¿ReturnStatement¿¿959¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ReturnStatement
659¿Identifier¿¿959¿v63¿¿¿¿¿Identifier
660¿BlockStatement¿¿959¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿BlockStatement
661¿VariableDeclarator¿¿959¿v64¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
662¿UpdateExpression¿¿959¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿UpdateExpression
663¿Identifier¿¿959¿count¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
664¿ExpressionStatement¿¿959¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿ExpressionStatement
665¿Identifier¿¿959¿v64¿¿¿¿¿Identifier
666¿VariableDeclarator¿¿959¿v65¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
667¿UnaryExpression¿!¿959¿¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿UnaryExpression
668¿Identifier¿¿959¿firstFile¿¿¿{"start":{"line":35,"column":9},"end":{"line":35,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
