Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5936¿Program¿¿-1¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":761,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Program
5947¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5948¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5949¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5950¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5951¿Literal¿number¿10435¿¿0xc1¿¿{"start":{"line":29,"column":26},"end":{"line":29,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5952¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":32},"end":{"line":29,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5953¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5954¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5955¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5956¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5957¿Literal¿number¿10435¿¿0xc2¿¿{"start":{"line":29,"column":38},"end":{"line":29,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5958¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":44},"end":{"line":29,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5959¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5960¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5961¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5962¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5963¿Literal¿number¿10435¿¿0xc3¿¿{"start":{"line":29,"column":50},"end":{"line":29,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5964¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":56},"end":{"line":29,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5965¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5966¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5967¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5968¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5969¿Literal¿number¿10435¿¿0xc5¿¿{"start":{"line":29,"column":62},"end":{"line":29,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5970¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":68},"end":{"line":29,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5971¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5972¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5973¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5974¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5975¿Literal¿number¿10435¿¿0xc6¿¿{"start":{"line":29,"column":74},"end":{"line":29,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5976¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":80},"end":{"line":29,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5977¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5978¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5979¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5980¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5981¿Literal¿number¿10435¿¿0xc7¿¿{"start":{"line":29,"column":86},"end":{"line":29,"column":90},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5982¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":92},"end":{"line":29,"column":96},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5983¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5984¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5985¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5986¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5987¿Literal¿number¿10435¿¿0xc9¿¿{"start":{"line":29,"column":98},"end":{"line":29,"column":102},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5988¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":104},"end":{"line":29,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5989¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5990¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5991¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5992¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5993¿Literal¿number¿10435¿¿0xca¿¿{"start":{"line":29,"column":110},"end":{"line":29,"column":114},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5994¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":116},"end":{"line":29,"column":120},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5995¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5996¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5997¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5998¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5999¿Literal¿number¿10435¿¿0xcb¿¿{"start":{"line":29,"column":122},"end":{"line":29,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6000¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":128},"end":{"line":29,"column":132},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6001¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
6002¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
6003¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
6004¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6005¿Literal¿number¿10435¿¿0xcd¿¿{"start":{"line":29,"column":134},"end":{"line":29,"column":138},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6006¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":140},"end":{"line":29,"column":144},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6007¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
6008¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
6009¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
6010¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6011¿Literal¿number¿10435¿¿0xce¿¿{"start":{"line":29,"column":146},"end":{"line":29,"column":150},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6012¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":152},"end":{"line":29,"column":156},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6013¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
6014¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
6015¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
6016¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6017¿Literal¿number¿10435¿¿0xcf¿¿{"start":{"line":29,"column":158},"end":{"line":29,"column":162},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6018¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":164},"end":{"line":29,"column":168},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6019¿VariableDeclarator¿¿10435¿child¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6020¿CallExpression¿¿10435¿¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿CallExpression
6021¿Identifier¿¿10435¿require¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6022¿Literal¿string¿10435¿¿'child_process'¿¿{"start":{"line":30,"column":22},"end":{"line":30,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6023¿VariableDeclarator¿¿10435¿exec¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6024¿MemberExpression¿¿10435¿¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
6025¿Identifier¿¿10435¿child¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6026¿Identifier¿¿10435¿exec¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6027¿VariableDeclarator¿¿10435¿spawn¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6028¿MemberExpression¿¿10435¿¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
6029¿Identifier¿¿10435¿child¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6030¿Identifier¿¿10435¿spawn¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6031¿VariableDeclarator¿¿10435¿Fs¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6032¿CallExpression¿¿10435¿¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿CallExpression
6033¿Identifier¿¿10435¿require¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6034¿Literal¿string¿10435¿¿'fs'¿¿{"start":{"line":33,"column":19},"end":{"line":33,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6035¿VariableDeclarator¿¿10435¿REGEXP_SVG¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6036¿Literal¿object¿10435¿¿/(width='\d+')+|(height='\d+')+/g¿¿{"start":{"line":34,"column":19},"end":{"line":34,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6037¿VariableDeclarator¿¿10435¿REGEXP_PATH¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6038¿Literal¿object¿10435¿¿/\//g¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6039¿VariableDeclarator¿¿10435¿REGEXP_ESCAPE¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6040¿Literal¿object¿10435¿¿/'/g¿¿{"start":{"line":36,"column":22},"end":{"line":36,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
6041¿VariableDeclarator¿¿10435¿SPAWN_OPT¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
6042¿ObjectExpression¿¿10435¿¿¿¿¿¿ObjectExpression
6043¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
6044¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
6045¿MemberExpression¿¿10435¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
6046¿Identifier¿¿10435¿SPAWN_OPT¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
6047¿Identifier¿¿10435¿shell¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
