Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1034¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":138,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Program
1047¿VariableDeclarator¿¿1803¿bodyParser¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1048¿CallExpression¿¿1803¿¿¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1049¿Identifier¿¿1803¿require¿¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1050¿Literal¿string¿1803¿¿'body-parser'¿¿{"start":{"line":4,"column":27},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1051¿VariableDeclarator¿¿1803¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1052¿CallExpression¿¿1803¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1053¿Identifier¿¿1803¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1054¿Literal¿string¿1803¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1055¿VariableDeclarator¿¿1803¿helmet¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1056¿CallExpression¿¿1803¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1057¿Identifier¿¿1803¿require¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1058¿Literal¿string¿1803¿¿'helmet'¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1059¿VariableDeclarator¿¿1803¿v96¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1060¿CallExpression¿¿1803¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1061¿Identifier¿¿1803¿require¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1062¿Literal¿string¿1803¿¿'dotenv'¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1063¿VariableDeclarator¿¿1803¿v97¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1064¿CallExpression¿¿1803¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1065¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1066¿Identifier¿¿1803¿v96¿¿¿¿¿Identifier
1067¿Identifier¿¿1803¿config¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1068¿ExpressionStatement¿¿1803¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ExpressionStatement
1069¿Identifier¿¿1803¿v97¿¿¿¿¿Identifier
1070¿VariableDeclarator¿¿1803¿connectDB¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1071¿CallExpression¿¿1803¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1072¿Identifier¿¿1803¿require¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1073¿Literal¿string¿1803¿¿'./config/database'¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1074¿VariableDeclarator¿¿1803¿errorHandler¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1075¿CallExpression¿¿1803¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1076¿Identifier¿¿1803¿require¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1077¿Literal¿string¿1803¿¿'./middleware/errorHandler'¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1078¿VariableDeclarator¿¿1803¿app¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1079¿CallExpression¿¿1803¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1080¿Identifier¿¿1803¿express¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1081¿VariableDeclarator¿¿1803¿v98¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1082¿CallExpression¿¿1803¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1083¿Identifier¿¿1803¿helmet¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1084¿VariableDeclarator¿¿1803¿v99¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1085¿CallExpression¿¿1803¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1086¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1087¿Identifier¿¿1803¿app¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1088¿Identifier¿¿1803¿use¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1089¿Identifier¿¿1803¿v98¿¿¿¿¿Identifier
1090¿ExpressionStatement¿¿1803¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ExpressionStatement
1091¿Identifier¿¿1803¿v99¿¿¿¿¿Identifier
1092¿VariableDeclarator¿¿1803¿v100¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1093¿CallExpression¿¿1803¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1094¿Identifier¿¿1803¿cors¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1095¿VariableDeclarator¿¿1803¿v101¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1096¿CallExpression¿¿1803¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1097¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1098¿Identifier¿¿1803¿app¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1099¿Identifier¿¿1803¿use¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1100¿Identifier¿¿1803¿v100¿¿¿¿¿Identifier
1101¿ExpressionStatement¿¿1803¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ExpressionStatement
1102¿Identifier¿¿1803¿v101¿¿¿¿¿Identifier
1103¿VariableDeclarator¿¿1803¿v102¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1104¿CallExpression¿¿1803¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1105¿Identifier¿¿1803¿morgan¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1106¿Literal¿string¿1803¿¿'dev'¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1107¿VariableDeclarator¿¿1803¿v103¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1108¿CallExpression¿¿1803¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1109¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1110¿Identifier¿¿1803¿app¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1111¿Identifier¿¿1803¿use¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1112¿Identifier¿¿1803¿v102¿¿¿¿¿Identifier
1113¿ExpressionStatement¿¿1803¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ExpressionStatement
1114¿Identifier¿¿1803¿v103¿¿¿¿¿Identifier
1115¿VariableDeclarator¿¿1803¿v104¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1116¿CallExpression¿¿1803¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1117¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1118¿Identifier¿¿1803¿bodyParser¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1119¿Identifier¿¿1803¿json¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1120¿VariableDeclarator¿¿1803¿v105¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1121¿CallExpression¿¿1803¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1122¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1123¿Identifier¿¿1803¿app¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1124¿Identifier¿¿1803¿use¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1125¿Identifier¿¿1803¿v104¿¿¿¿¿Identifier
1126¿ExpressionStatement¿¿1803¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ExpressionStatement
1127¿Identifier¿¿1803¿v105¿¿¿¿¿Identifier
1128¿VariableDeclarator¿¿1803¿v106¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1129¿ObjectExpression¿¿1803¿¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ObjectExpression
1130¿Property¿¿1803¿¿¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Property
1131¿Identifier¿¿1803¿extended¿¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1132¿Literal¿boolean¿1803¿¿true¿¿{"start":{"line":20,"column":42},"end":{"line":20,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1133¿VariableDeclarator¿¿1803¿v107¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1134¿CallExpression¿¿1803¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1135¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1136¿Identifier¿¿1803¿bodyParser¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1137¿Identifier¿¿1803¿urlencoded¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1138¿Identifier¿¿1803¿v106¿¿¿¿¿Identifier
1139¿VariableDeclarator¿¿1803¿v108¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1140¿CallExpression¿¿1803¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1141¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1142¿Identifier¿¿1803¿app¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1143¿Identifier¿¿1803¿use¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1144¿Identifier¿¿1803¿v107¿¿¿¿¿Identifier
1145¿ExpressionStatement¿¿1803¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿ExpressionStatement
1146¿Identifier¿¿1803¿v108¿¿¿¿¿Identifier
1147¿VariableDeclarator¿¿1803¿fs¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1148¿CallExpression¿¿1803¿¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1149¿Identifier¿¿1803¿require¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1150¿Literal¿string¿1803¿¿'fs'¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1151¿VariableDeclarator¿¿1803¿uploadsBase¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1152¿CallExpression¿¿1803¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1153¿MemberExpression¿¿1803¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿MemberExpression
1154¿Identifier¿¿1803¿path¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1155¿Identifier¿¿1803¿resolve¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
