Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
677¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Program
718¿Identifier¿¿1149¿password¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
719¿Literal¿string¿1149¿¿'admin123'¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
720¿VariableDeclarator¿¿1149¿DB_CONFIG¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
721¿ObjectExpression¿¿1149¿¿¿¿¿¿ObjectExpression
722¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
723¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
724¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
725¿Identifier¿¿1149¿DB_CONFIG¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
726¿Identifier¿¿1149¿host¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
727¿Literal¿string¿1149¿¿'localhost'¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
728¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
729¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
730¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
731¿Identifier¿¿1149¿DB_CONFIG¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
732¿Identifier¿¿1149¿user¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
733¿Literal¿string¿1149¿¿'root'¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
734¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
735¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
736¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
737¿Identifier¿¿1149¿DB_CONFIG¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
738¿Identifier¿¿1149¿password¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
739¿Literal¿string¿1149¿¿'admin123'¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
740¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
741¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
742¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
743¿Identifier¿¿1149¿DB_CONFIG¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
744¿Identifier¿¿1149¿database¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
745¿Literal¿string¿1149¿¿'labor_db'¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
746¿VariableDeclarator¿exported¿1149¿searchWorkers¿¿¿{"start":{"line":26,"column":0},"end":{"line":31,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
747¿FunctionExpression¿¿1149¿anon¿¿¿{"start":{"line":26,"column":0},"end":{"line":31,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿FunctionExpression
748¿Identifier¿¿0¿query¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
749¿VariableDeclarator¿¿1151¿sql¿¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
750¿TemplateLiteral¿¿1151¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿TemplateLiteral
751¿Identifier¿¿1151¿query¿¿¿{"start":{"line":28,"column":59},"end":{"line":28,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
752¿VariableDeclarator¿¿1151¿v28¿¿¿{"start":{"line":30,"column":22},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
753¿ArrayExpression¿¿1151¿¿¿¿{"start":{"line":30,"column":22},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ArrayExpression
754¿VariableDeclarator¿¿1151¿v29¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
755¿ObjectExpression¿¿1151¿¿¿¿¿¿ObjectExpression
756¿ExpressionStatement¿¿1151¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
757¿AssignmentExpression¿=¿1151¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
758¿MemberExpression¿¿1151¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
759¿Identifier¿¿1151¿v29¿¿¿¿¿Identifier
760¿Identifier¿¿1151¿results¿¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
761¿Identifier¿¿1151¿v28¿¿¿¿¿Identifier
762¿ExpressionStatement¿¿1151¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
763¿AssignmentExpression¿=¿1151¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
764¿MemberExpression¿¿1151¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
765¿Identifier¿¿1151¿v29¿¿¿¿¿Identifier
766¿Identifier¿¿1151¿query¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
767¿Identifier¿¿1151¿sql¿¿¿{"start":{"line":30,"column":33},"end":{"line":30,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
768¿ReturnStatement¿¿1151¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ReturnStatement
769¿Identifier¿¿1151¿v29¿¿¿¿¿Identifier
770¿BlockStatement¿¿1151¿¿¿¿{"start":{"line":26,"column":30},"end":{"line":31,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿BlockStatement
771¿VariableDeclarator¿exported¿1149¿getWorkerRecord¿¿¿{"start":{"line":34,"column":0},"end":{"line":42,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
772¿FunctionExpression¿¿1149¿anon¿¿¿{"start":{"line":34,"column":0},"end":{"line":42,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿FunctionExpression
773¿Identifier¿¿0¿workerId¿¿¿{"start":{"line":34,"column":25},"end":{"line":34,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
774¿VariableDeclarator¿¿1153¿v30¿¿¿{"start":{"line":40,"column":14},"end":{"line":40,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
775¿MemberExpression¿¿1153¿¿¿¿{"start":{"line":40,"column":14},"end":{"line":40,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
776¿Identifier¿¿1153¿FLAGS¿¿¿{"start":{"line":40,"column":14},"end":{"line":40,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
777¿Identifier¿¿1153¿main¿¿¿{"start":{"line":40,"column":20},"end":{"line":40,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
778¿VariableDeclarator¿¿1153¿v31¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
779¿ObjectExpression¿¿1153¿¿¿¿¿¿ObjectExpression
780¿ExpressionStatement¿¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
781¿AssignmentExpression¿=¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
782¿MemberExpression¿¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
783¿Identifier¿¿1153¿v31¿¿¿¿¿Identifier
784¿Identifier¿¿1153¿id¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
785¿Identifier¿¿1153¿workerId¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
786¿ExpressionStatement¿¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
787¿AssignmentExpression¿=¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
788¿MemberExpression¿¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
789¿Identifier¿¿1153¿v31¿¿¿¿¿Identifier
790¿Identifier¿¿1153¿name¿¿¿{"start":{"line":38,"column":8},"end":{"line":38,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
791¿Literal¿string¿1153¿¿'Worker Record'¿¿{"start":{"line":38,"column":14},"end":{"line":38,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
792¿ExpressionStatement¿¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
793¿AssignmentExpression¿=¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
794¿MemberExpression¿¿1153¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":41,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
