Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
805¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":96,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Program
831¿VariableDeclarator¿¿1409¿v70¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
832¿CallExpression¿¿1409¿¿¿¿{"start":{"line":9,"column":49},"end":{"line":9,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
833¿Identifier¿¿1409¿require¿¿¿{"start":{"line":9,"column":49},"end":{"line":9,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
834¿Literal¿string¿1409¿¿'../models'¿¿{"start":{"line":9,"column":57},"end":{"line":9,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
835¿VariableDeclarator¿¿1409¿FlagsTbl¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
836¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
837¿Identifier¿¿1409¿v70¿¿¿¿¿Identifier
838¿Identifier¿¿1409¿FlagsTbl¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
839¿VariableDeclarator¿¿1409¿ChallengesTbl¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
840¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
841¿Identifier¿¿1409¿v70¿¿¿¿¿Identifier
842¿Identifier¿¿1409¿ChallengesTbl¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
843¿VariableDeclarator¿¿1409¿ProjectsTbl¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
844¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
845¿Identifier¿¿1409¿v70¿¿¿¿¿Identifier
846¿Identifier¿¿1409¿ProjectsTbl¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
847¿VariableDeclarator¿¿1409¿validateFlag¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
848¿CallExpression¿¿1409¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
849¿Identifier¿¿1409¿require¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
850¿Literal¿string¿1409¿¿'../middleware/flagValidation'¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
851¿VariableDeclarator¿¿1409¿sha256sum¿¿¿{"start":{"line":12,"column":0},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
852¿FunctionExpression¿¿1409¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿FunctionExpression
853¿Identifier¿¿0¿string¿¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
854¿VariableDeclarator¿¿1411¿v71¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
855¿CallExpression¿¿1411¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
856¿MemberExpression¿¿1411¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
857¿Identifier¿¿1411¿crypto¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
858¿Identifier¿¿1411¿createHash¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
859¿Literal¿string¿1411¿¿'sha256'¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
860¿VariableDeclarator¿¿1411¿v72¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
861¿CallExpression¿¿1411¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
862¿MemberExpression¿¿1411¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
863¿Identifier¿¿1411¿v71¿¿¿¿¿Identifier
864¿Identifier¿¿1411¿update¿¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
865¿Identifier¿¿1411¿string¿¿¿{"start":{"line":13,"column":44},"end":{"line":13,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
866¿VariableDeclarator¿¿1411¿v73¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
867¿CallExpression¿¿1411¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
868¿MemberExpression¿¿1411¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
869¿Identifier¿¿1411¿v72¿¿¿¿¿Identifier
870¿Identifier¿¿1411¿digest¿¿¿{"start":{"line":13,"column":52},"end":{"line":13,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
871¿Literal¿string¿1411¿¿'hex'¿¿{"start":{"line":13,"column":59},"end":{"line":13,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
872¿ReturnStatement¿¿1411¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿ReturnStatement
873¿Identifier¿¿1411¿v73¿¿¿¿¿Identifier
874¿BlockStatement¿¿1411¿¿¿¿{"start":{"line":12,"column":27},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿BlockStatement
875¿VariableDeclarator¿¿1409¿filePathExists¿¿¿{"start":{"line":16,"column":0},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
876¿FunctionExpression¿¿1409¿anon¿¿¿{"start":{"line":16,"column":0},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿FunctionExpression
877¿Identifier¿¿0¿filepath¿¿¿{"start":{"line":16,"column":24},"end":{"line":16,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
878¿VariableDeclarator¿¿1413¿absPath¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
879¿CallExpression¿¿1413¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
880¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
881¿Identifier¿¿1413¿path¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
882¿Identifier¿¿1413¿resolve¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
883¿Identifier¿¿1413¿filepath¿¿¿{"start":{"line":17,"column":31},"end":{"line":17,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
884¿VariableDeclarator¿¿1413¿v74¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1413¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
886¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
887¿Identifier¿¿1413¿fs¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
888¿Identifier¿¿1413¿existsSync¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
889¿Identifier¿¿1413¿absPath¿¿¿{"start":{"line":18,"column":23},"end":{"line":18,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
890¿ReturnStatement¿¿1413¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿ReturnStatement
891¿Identifier¿¿1413¿v74¿¿¿¿¿Identifier
892¿BlockStatement¿¿1413¿¿¿¿{"start":{"line":16,"column":34},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿BlockStatement
893¿VariableDeclarator¿¿1409¿v75¿¿¿{"start":{"line":22,"column":35},"end":{"line":22,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
894¿CallExpression¿¿1409¿¿¿¿{"start":{"line":22,"column":35},"end":{"line":22,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
895¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":22,"column":35},"end":{"line":22,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
896¿Identifier¿¿1409¿path¿¿¿{"start":{"line":22,"column":35},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
897¿Identifier¿¿1409¿join¿¿¿{"start":{"line":22,"column":40},"end":{"line":22,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
898¿Identifier¿¿1409¿__dirname¿¿¿{"start":{"line":22,"column":45},"end":{"line":22,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
899¿Literal¿string¿1409¿¿'../files'¿¿{"start":{"line":22,"column":56},"end":{"line":22,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
900¿VariableDeclarator¿¿1409¿FILES_ROOT¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
901¿CallExpression¿¿1409¿¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
902¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
903¿Identifier¿¿1409¿fs¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
904¿Identifier¿¿1409¿realpathSync¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
905¿Identifier¿¿1409¿v75¿¿¿¿¿Identifier
906¿VariableDeclarator¿¿1409¿v105¿¿¿{"start":{"line":24,"column":34},"end":{"line":57,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
907¿ArrowFunctionExpression¿¿1409¿¿¿¿{"start":{"line":24,"column":34},"end":{"line":57,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿ArrowFunctionExpression
908¿Identifier¿¿0¿req¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
909¿Identifier¿¿0¿res¿¿¿{"start":{"line":24,"column":40},"end":{"line":24,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
910¿TryStatement¿¿1415¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":56,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿TryStatement
911¿VariableDeclarator¿¿1415¿v76¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
912¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
913¿Identifier¿¿1415¿req¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
914¿Identifier¿¿1415¿params¿¿¿{"start":{"line":27,"column":27},"end":{"line":27,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
915¿VariableDeclarator¿¿1415¿v77¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
916¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
917¿Identifier¿¿1415¿v76¿¿¿¿¿Identifier
918¿Identifier¿¿1415¿fileName¿¿¿{"start":{"line":27,"column":34},"end":{"line":27,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
919¿VariableDeclarator¿¿1415¿v78¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
920¿LogicalExpression¿||¿1415¿¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿LogicalExpression
921¿Identifier¿¿1415¿v77¿¿¿¿¿Identifier
