Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
586¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":78,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Program
597¿Identifier¿¿1034¿v56¿¿¿¿¿Identifier
598¿Identifier¿¿1034¿Module¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
599¿VariableDeclarator¿¿1034¿render¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
600¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
601¿Identifier¿¿1034¿v56¿¿¿¿¿Identifier
602¿Identifier¿¿1034¿render¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
603¿VariableDeclarator¿¿1034¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
604¿CallExpression¿¿1034¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
605¿Identifier¿¿1034¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
606¿Literal¿string¿1034¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
607¿VariableDeclarator¿¿1034¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
608¿CallExpression¿¿1034¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
609¿Identifier¿¿1034¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
610¿Literal¿string¿1034¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
611¿VariableDeclarator¿¿1034¿v57¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
612¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
613¿Identifier¿¿1034¿process¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
614¿Identifier¿¿1034¿argv¿¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
615¿VariableDeclarator¿¿1034¿filePathArg¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
616¿MemberExpression¿computed¿1034¿¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
617¿Identifier¿¿1034¿v57¿¿¿¿¿Identifier
618¿Literal¿number¿1034¿¿2¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
619¿VariableDeclarator¿¿1034¿v58¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
620¿UnaryExpression¿!¿1034¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿UnaryExpression
621¿Identifier¿¿1034¿filePathArg¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
622¿IfStatement¿¿1034¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿IfStatement
623¿Identifier¿¿1034¿v58¿¿¿¿¿Identifier
624¿VariableDeclarator¿¿1034¿v59¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
625¿CallExpression¿¿1034¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
626¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
627¿Identifier¿¿1034¿console¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
628¿Identifier¿¿1034¿error¿¿¿{"start":{"line":8,"column":10},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
629¿Literal¿string¿1034¿¿'Please specify a file path.'¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
630¿ExpressionStatement¿¿1034¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿ExpressionStatement
631¿Identifier¿¿1034¿v59¿¿¿¿¿Identifier
632¿VariableDeclarator¿¿1034¿v60¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
633¿CallExpression¿¿1034¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
634¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
635¿Identifier¿¿1034¿process¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
636¿Identifier¿¿1034¿exit¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
637¿Literal¿number¿1034¿¿1¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
638¿ExpressionStatement¿¿1034¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿ExpressionStatement
639¿Identifier¿¿1034¿v60¿¿¿¿¿Identifier
640¿BlockStatement¿¿1034¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":10,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿BlockStatement
641¿VariableDeclarator¿¿1034¿v61¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
642¿CallExpression¿¿1034¿¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
643¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
644¿Identifier¿¿1034¿process¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
645¿Identifier¿¿1034¿cwd¿¿¿{"start":{"line":13,"column":41},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
646¿VariableDeclarator¿¿1034¿BASE_DIR¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
647¿CallExpression¿¿1034¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
648¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
649¿Identifier¿¿1034¿fs¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
650¿Identifier¿¿1034¿realpathSync¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
651¿Identifier¿¿1034¿v61¿¿¿¿¿Identifier
652¿VariableDeclarator¿¿1034¿candidate¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
653¿CallExpression¿¿1034¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
654¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
655¿Identifier¿¿1034¿path¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
656¿Identifier¿¿1034¿resolve¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
657¿Identifier¿¿1034¿BASE_DIR¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
658¿Identifier¿¿1034¿filePathArg¿¿¿{"start":{"line":14,"column":39},"end":{"line":14,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
659¿VariableDeclarator¿¿1034¿filePath¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
660¿TryStatement¿¿1034¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿TryStatement
661¿ExpressionStatement¿¿1034¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿ExpressionStatement
662¿AssignmentExpression¿=¿1034¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿AssignmentExpression
663¿Identifier¿¿1034¿filePath¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
664¿CallExpression¿¿1034¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
665¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
666¿Identifier¿¿1034¿fs¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
667¿Identifier¿¿1034¿realpathSync¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
668¿Identifier¿¿1034¿candidate¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
669¿BlockStatement¿¿1034¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿BlockStatement
670¿CatchClause¿¿1034¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CatchClause
671¿VariableDeclarator¿¿1034¿v62¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
672¿TemplateLiteral¿¿1034¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿TemplateLiteral
673¿Identifier¿¿1034¿filePathArg¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
674¿VariableDeclarator¿¿1034¿v63¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
675¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
676¿Identifier¿¿1034¿error¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
677¿Identifier¿¿1034¿message¿¿¿{"start":{"line":21,"column":64},"end":{"line":21,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
678¿VariableDeclarator¿¿1034¿v64¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
679¿CallExpression¿¿1034¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
680¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
681¿Identifier¿¿1034¿console¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
682¿Identifier¿¿1034¿error¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
683¿Identifier¿¿1034¿v62¿¿¿¿¿Identifier
684¿Identifier¿¿1034¿v63¿¿¿¿¿Identifier
685¿ExpressionStatement¿¿1034¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿ExpressionStatement
686¿Identifier¿¿1034¿v64¿¿¿¿¿Identifier
687¿VariableDeclarator¿¿1034¿v65¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
688¿CallExpression¿¿1034¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
689¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
690¿Identifier¿¿1034¿process¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
691¿Identifier¿¿1034¿exit¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
692¿Literal¿number¿1034¿¿1¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
693¿ExpressionStatement¿¿1034¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿ExpressionStatement
694¿Identifier¿¿1034¿v65¿¿¿¿¿Identifier
695¿BlockStatement¿¿1034¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿BlockStatement
696¿Identifier¿¿1034¿error¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
697¿VariableDeclarator¿¿1034¿rel¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
698¿CallExpression¿¿1034¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
699¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
700¿Identifier¿¿1034¿path¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
701¿Identifier¿¿1034¿relative¿¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
702¿Identifier¿¿1034¿BASE_DIR¿¿¿{"start":{"line":26,"column":26},"end":{"line":26,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
703¿Identifier¿¿1034¿filePath¿¿¿{"start":{"line":26,"column":36},"end":{"line":26,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
704¿VariableDeclarator¿¿1034¿v66¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
