Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
600¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Program
617¿VariableDeclarator¿¿1025¿escape¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
618¿CallExpression¿¿1025¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
619¿Identifier¿¿1025¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
620¿Literal¿string¿1025¿¿'shell-escape'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
621¿VariableDeclarator¿¿1025¿path¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
622¿CallExpression¿¿1025¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
623¿Identifier¿¿1025¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
624¿Literal¿string¿1025¿¿'path'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
625¿VariableDeclarator¿¿1025¿v58¿¿¿{"start":{"line":8,"column":8},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
626¿FunctionExpression¿¿1025¿anon¿¿¿{"start":{"line":8,"column":8},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿FunctionExpression
627¿Identifier¿¿0¿pattern¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
628¿VariableDeclarator¿¿1027¿v56¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
629¿MemberExpression¿¿1027¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
630¿ThisExpression¿¿1027¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
631¿Identifier¿¿1027¿_command¿¿¿{"start":{"line":9,"column":9},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
632¿VariableDeclarator¿¿1027¿v57¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
633¿CallExpression¿¿1027¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
634¿MemberExpression¿¿1027¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
635¿Identifier¿¿1027¿v56¿¿¿¿¿Identifier
636¿Identifier¿¿1027¿push¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
637¿Literal¿string¿1027¿¿'-name'¿¿{"start":{"line":9,"column":23},"end":{"line":9,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
638¿Identifier¿¿1027¿pattern¿¿¿{"start":{"line":9,"column":32},"end":{"line":9,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
639¿ExpressionStatement¿¿1027¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ExpressionStatement
640¿Identifier¿¿1027¿v57¿¿¿¿¿Identifier
641¿ReturnStatement¿¿1027¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ReturnStatement
642¿ThisExpression¿¿1027¿¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
643¿BlockStatement¿¿1027¿¿¿¿{"start":{"line":8,"column":26},"end":{"line":11,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿BlockStatement
644¿VariableDeclarator¿¿1025¿v61¿¿¿{"start":{"line":13,"column":9},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
645¿FunctionExpression¿¿1025¿anon¿¿¿{"start":{"line":13,"column":9},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿FunctionExpression
646¿Identifier¿¿0¿pattern¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
647¿VariableDeclarator¿¿1029¿v59¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
648¿MemberExpression¿¿1029¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
649¿ThisExpression¿¿1029¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
650¿Identifier¿¿1029¿_command¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
651¿VariableDeclarator¿¿1029¿v60¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
652¿CallExpression¿¿1029¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
653¿MemberExpression¿¿1029¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
654¿Identifier¿¿1029¿v59¿¿¿¿¿Identifier
655¿Identifier¿¿1029¿unshift¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
656¿Literal¿string¿1029¿¿'-name'¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
657¿Identifier¿¿1029¿pattern¿¿¿{"start":{"line":14,"column":35},"end":{"line":14,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
658¿Literal¿string¿1029¿¿'-prune'¿¿{"start":{"line":14,"column":44},"end":{"line":14,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
659¿Literal¿string¿1029¿¿'-o'¿¿{"start":{"line":14,"column":54},"end":{"line":14,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
660¿ExpressionStatement¿¿1029¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ExpressionStatement
661¿Identifier¿¿1029¿v60¿¿¿¿¿Identifier
662¿ReturnStatement¿¿1029¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ReturnStatement
663¿ThisExpression¿¿1029¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
664¿BlockStatement¿¿1029¿¿¿¿{"start":{"line":13,"column":27},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿BlockStatement
665¿VariableDeclarator¿¿1025¿v64¿¿¿{"start":{"line":18,"column":9},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
666¿FunctionExpression¿¿1025¿anon¿¿¿{"start":{"line":18,"column":9},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿FunctionExpression
667¿Identifier¿¿0¿filepath¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
668¿VariableDeclarator¿¿1031¿v62¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
669¿MemberExpression¿¿1031¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
670¿ThisExpression¿¿1031¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
671¿Identifier¿¿1031¿_command¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
672¿VariableDeclarator¿¿1031¿v63¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
673¿CallExpression¿¿1031¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
674¿MemberExpression¿¿1031¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
675¿Identifier¿¿1031¿v62¿¿¿¿¿Identifier
676¿Identifier¿¿1031¿push¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
677¿Literal¿string¿1031¿¿'-newer'¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
678¿Identifier¿¿1031¿filepath¿¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
679¿ExpressionStatement¿¿1031¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ExpressionStatement
680¿Identifier¿¿1031¿v63¿¿¿¿¿Identifier
681¿ReturnStatement¿¿1031¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ReturnStatement
682¿ThisExpression¿¿1031¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
683¿BlockStatement¿¿1031¿¿¿¿{"start":{"line":18,"column":28},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿BlockStatement
684¿VariableDeclarator¿¿1025¿v68¿¿¿{"start":{"line":23,"column":8},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
685¿FunctionExpression¿¿1025¿anon¿¿¿{"start":{"line":23,"column":8},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿FunctionExpression
686¿Identifier¿¿0¿filetype¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
687¿VariableDeclarator¿¿1033¿v65¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
688¿MemberExpression¿¿1033¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
689¿ThisExpression¿¿1033¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
690¿Identifier¿¿1033¿_command¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
691¿VariableDeclarator¿¿1033¿v66¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
692¿MemberExpression¿computed¿1033¿¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
693¿Identifier¿¿1033¿filetype¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
694¿Literal¿number¿1033¿¿0¿¿{"start":{"line":24,"column":41},"end":{"line":24,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
695¿VariableDeclarator¿¿1033¿v67¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
696¿CallExpression¿¿1033¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
697¿MemberExpression¿¿1033¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
698¿Identifier¿¿1033¿v65¿¿¿¿¿Identifier
699¿Identifier¿¿1033¿push¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
700¿Literal¿string¿1033¿¿'-type'¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
701¿Identifier¿¿1033¿v66¿¿¿¿¿Identifier
702¿ExpressionStatement¿¿1033¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ExpressionStatement
703¿Identifier¿¿1033¿v67¿¿¿¿¿Identifier
704¿ReturnStatement¿¿1033¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ReturnStatement
705¿ThisExpression¿¿1033¿¿¿¿{"start":{"line":25,"column":11},"end":{"line":25,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
706¿BlockStatement¿¿1033¿¿¿¿{"start":{"line":23,"column":27},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿BlockStatement
707¿VariableDeclarator¿¿1025¿v74¿¿¿{"start":{"line":29,"column":11},"end":{"line":31,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
708¿FunctionExpression¿¿1025¿anon¿¿¿{"start":{"line":29,"column":11},"end":{"line":31,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿FunctionExpression
709¿VariableDeclarator¿¿1035¿v69¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
710¿MemberExpression¿¿1035¿¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
711¿ThisExpression¿¿1035¿¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
712¿Identifier¿¿1035¿rootDir¿¿¿{"start":{"line":30,"column":32},"end":{"line":30,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
713¿VariableDeclarator¿¿1035¿v70¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
714¿ArrayExpression¿¿1035¿¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ArrayExpression
715¿Literal¿string¿1035¿¿'find'¿¿{"start":{"line":30,"column":19},"end":{"line":30,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
716¿Identifier¿¿1035¿v69¿¿¿¿¿Identifier
717¿VariableDeclarator¿¿1035¿v71¿¿¿{"start":{"line":30,"column":48},"end":{"line":30,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
718¿MemberExpression¿¿1035¿¿¿¿{"start":{"line":30,"column":48},"end":{"line":30,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
719¿ThisExpression¿¿1035¿¿¿¿{"start":{"line":30,"column":48},"end":{"line":30,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿ThisExpression
720¿Identifier¿¿1035¿_command¿¿¿{"start":{"line":30,"column":53},"end":{"line":30,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
721¿VariableDeclarator¿¿1035¿v72¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
722¿CallExpression¿¿1035¿¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
