Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
763¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":116,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Program
825¿ObjectExpression¿¿1351¿¿¿¿{"start":{"line":24,"column":39},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ObjectExpression
826¿Property¿¿1351¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Property
827¿Identifier¿¿1351¿stdio¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
828¿Literal¿string¿1351¿¿'inherit'¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
829¿Property¿¿1351¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Property
830¿Identifier¿¿1351¿cwd¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
831¿Identifier¿¿1351¿v82¿¿¿¿¿Identifier
832¿VariableDeclarator¿¿1351¿child¿¿¿{"start":{"line":24,"column":10},"end":{"line":27,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1351¿¿¿¿{"start":{"line":24,"column":18},"end":{"line":27,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
834¿Identifier¿¿1351¿spawn¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
835¿Identifier¿¿1351¿command¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
836¿Identifier¿¿1351¿args¿¿¿{"start":{"line":24,"column":33},"end":{"line":24,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
837¿Identifier¿¿1351¿v83¿¿¿¿¿Identifier
838¿VariableDeclarator¿¿1351¿v85¿¿¿{"start":{"line":29,"column":22},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
839¿ArrowFunctionExpression¿¿1351¿¿¿¿{"start":{"line":29,"column":22},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ArrowFunctionExpression
840¿Identifier¿¿0¿code¿¿¿{"start":{"line":29,"column":22},"end":{"line":29,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
841¿VariableDeclarator¿¿1353¿v84¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
842¿CallExpression¿¿1353¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
843¿Identifier¿¿1353¿resolve¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
844¿Identifier¿¿1353¿code¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
845¿ExpressionStatement¿¿1353¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ExpressionStatement
846¿Identifier¿¿1353¿v84¿¿¿¿¿Identifier
847¿BlockStatement¿¿1353¿¿¿¿{"start":{"line":29,"column":30},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿BlockStatement
848¿VariableDeclarator¿¿1351¿v86¿¿¿{"start":{"line":29,"column":4},"end":{"line":31,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
849¿CallExpression¿¿1351¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":31,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
850¿MemberExpression¿¿1351¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
851¿Identifier¿¿1351¿child¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
852¿Identifier¿¿1351¿on¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
853¿Literal¿string¿1351¿¿'close'¿¿{"start":{"line":29,"column":13},"end":{"line":29,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
854¿Identifier¿¿1351¿v85¿¿¿¿¿Identifier
855¿ExpressionStatement¿¿1351¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":31,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ExpressionStatement
856¿Identifier¿¿1351¿v86¿¿¿¿¿Identifier
857¿VariableDeclarator¿¿1351¿v87¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
858¿CallExpression¿¿1351¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
859¿MemberExpression¿¿1351¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
860¿Identifier¿¿1351¿child¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
861¿Identifier¿¿1351¿on¿¿¿{"start":{"line":33,"column":10},"end":{"line":33,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
862¿Literal¿string¿1351¿¿'error'¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
863¿Identifier¿¿1351¿reject¿¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
864¿ExpressionStatement¿¿1351¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ExpressionStatement
865¿Identifier¿¿1351¿v87¿¿¿¿¿Identifier
866¿BlockStatement¿¿1351¿¿¿¿{"start":{"line":23,"column":42},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿BlockStatement
867¿VariableDeclarator¿¿1348¿v89¿¿¿{"start":{"line":23,"column":9},"end":{"line":34,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
868¿NewExpression¿¿1348¿¿¿¿{"start":{"line":23,"column":9},"end":{"line":34,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿NewExpression
869¿Identifier¿¿1348¿Promise¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
870¿Identifier¿¿1348¿v88¿¿¿¿¿Identifier
871¿ReturnStatement¿¿1348¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":34,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ReturnStatement
872¿Identifier¿¿1348¿v89¿¿¿¿¿Identifier
873¿BlockStatement¿¿1348¿¿¿¿{"start":{"line":15,"column":40},"end":{"line":35,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿BlockStatement
874¿VariableDeclarator¿exported¿1346¿main¿¿¿{"start":{"line":37,"column":0},"end":{"line":110,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
875¿FunctionExpression¿¿1346¿anon¿¿¿{"start":{"line":37,"column":0},"end":{"line":110,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿FunctionExpression
876¿VariableDeclarator¿¿1355¿v90¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
877¿CallExpression¿¿1355¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
878¿MemberExpression¿¿1355¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
879¿Identifier¿¿1355¿console¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
880¿Identifier¿¿1355¿log¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
881¿Literal¿string¿1355¿¿'🔍 API Contract Checker'¿¿{"start":{"line":38,"column":14},"end":{"line":38,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
882¿ExpressionStatement¿¿1355¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ExpressionStatement
883¿Identifier¿¿1355¿v90¿¿¿¿¿Identifier
884¿VariableDeclarator¿¿1355¿v91¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1355¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
886¿MemberExpression¿¿1355¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
887¿Identifier¿¿1355¿console¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
888¿Identifier¿¿1355¿log¿¿¿{"start":{"line":39,"column":10},"end":{"line":39,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
