Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
791¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":92,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Program
816¿VariableDeclarator¿¿1373¿v108¿¿¿{"start":{"line":9,"column":35},"end":{"line":55,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
817¿FunctionExpression¿¿1373¿anon¿¿¿{"start":{"line":9,"column":35},"end":{"line":55,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿FunctionExpression
818¿Identifier¿¿0¿req¿¿¿{"start":{"line":9,"column":45},"end":{"line":9,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
819¿Identifier¿¿0¿res¿¿¿{"start":{"line":9,"column":50},"end":{"line":9,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
820¿VariableDeclarator¿¿1375¿v73¿¿¿{"start":{"line":10,"column":46},"end":{"line":10,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
821¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":10,"column":46},"end":{"line":10,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
822¿Identifier¿¿1375¿req¿¿¿{"start":{"line":10,"column":46},"end":{"line":10,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
823¿Identifier¿¿1375¿url¿¿¿{"start":{"line":10,"column":50},"end":{"line":10,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
824¿VariableDeclarator¿¿1375¿requestPath¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1375¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
826¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
827¿Identifier¿¿1375¿path¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
828¿Identifier¿¿1375¿join¿¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
829¿Identifier¿¿1375¿rootPath¿¿¿{"start":{"line":10,"column":36},"end":{"line":10,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
830¿Identifier¿¿1375¿v73¿¿¿¿¿Identifier
831¿VariableDeclarator¿¿1375¿targetPath¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
832¿VariableDeclarator¿¿1375¿v74¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1375¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
834¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
835¿Identifier¿¿1375¿utils¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
836¿Identifier¿¿1375¿allowPath¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
837¿Identifier¿¿1375¿requestPath¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
838¿Identifier¿¿1375¿rootPath¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
839¿VariableDeclarator¿¿1375¿v75¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
840¿UnaryExpression¿!¿1375¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿UnaryExpression
841¿Identifier¿¿1375¿v74¿¿¿¿¿Identifier
842¿IfStatement¿¿1375¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿IfStatement
843¿Identifier¿¿1375¿v75¿¿¿¿¿Identifier
844¿ExpressionStatement¿¿1375¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿ExpressionStatement
845¿AssignmentExpression¿=¿1375¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿AssignmentExpression
846¿Identifier¿¿1375¿targetPath¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
847¿Identifier¿¿1375¿rootPath¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
848¿ExpressionStatement¿¿1375¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿ExpressionStatement
849¿AssignmentExpression¿=¿1375¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿AssignmentExpression
850¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
851¿Identifier¿¿1375¿req¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
852¿Identifier¿¿1375¿url¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
853¿Literal¿string¿1375¿¿'/'¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Literal
854¿BlockStatement¿¿1375¿¿¿¿{"start":{"line":12,"column":51},"end":{"line":15,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿BlockStatement
855¿ExpressionStatement¿¿1375¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿ExpressionStatement
856¿AssignmentExpression¿=¿1375¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿AssignmentExpression
857¿Identifier¿¿1375¿targetPath¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
858¿Identifier¿¿1375¿requestPath¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
859¿BlockStatement¿¿1375¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿BlockStatement
860¿VariableDeclarator¿¿1375¿v76¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
861¿CallExpression¿¿1375¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
862¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
863¿Identifier¿¿1375¿fs¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
864¿Identifier¿¿1375¿existsSync¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
865¿Identifier¿¿1375¿targetPath¿¿¿{"start":{"line":18,"column":26},"end":{"line":18,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
866¿IfStatement¿¿1375¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":48,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿IfStatement
867¿Identifier¿¿1375¿v76¿¿¿¿¿Identifier
868¿VariableDeclarator¿¿1375¿targetType¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
869¿CallExpression¿¿1375¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
870¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
871¿Identifier¿¿1375¿fs¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
872¿Identifier¿¿1375¿lstatSync¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
873¿Identifier¿¿1375¿targetPath¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
874¿VariableDeclarator¿¿1375¿v77¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
875¿CallExpression¿¿1375¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
876¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
877¿Identifier¿¿1375¿targetType¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
878¿Identifier¿¿1375¿isFile¿¿¿{"start":{"line":20,"column":27},"end":{"line":20,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
879¿IfStatement¿¿1375¿¿¿¿{"start":{"line":20,"column":12},"end":{"line":44,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿IfStatement
880¿Identifier¿¿1375¿v77¿¿¿¿¿Identifier
881¿VariableDeclarator¿¿1375¿v78¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
882¿CallExpression¿¿1375¿¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
883¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
884¿Identifier¿¿1375¿fs¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
885¿Identifier¿¿1375¿readFileSync¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
886¿Identifier¿¿1375¿targetPath¿¿¿{"start":{"line":21,"column":40},"end":{"line":21,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
887¿VariableDeclarator¿¿1375¿v79¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
888¿CallExpression¿¿1375¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
889¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
890¿Identifier¿¿1375¿res¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
891¿Identifier¿¿1375¿end¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
892¿Identifier¿¿1375¿v78¿¿¿¿¿Identifier
893¿ExpressionStatement¿¿1375¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿ExpressionStatement
894¿Identifier¿¿1375¿v79¿¿¿¿¿Identifier
895¿BlockStatement¿¿1375¿¿¿¿{"start":{"line":20,"column":37},"end":{"line":22,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿BlockStatement
896¿VariableDeclarator¿¿1375¿v80¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
897¿CallExpression¿¿1375¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿CallExpression
898¿MemberExpression¿¿1375¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿MemberExpression
899¿Identifier¿¿1375¿targetType¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
900¿Identifier¿¿1375¿isDirectory¿¿¿{"start":{"line":22,"column":34},"end":{"line":22,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
901¿IfStatement¿¿1375¿¿¿¿{"start":{"line":22,"column":19},"end":{"line":44,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿IfStatement
902¿Identifier¿¿1375¿v80¿¿¿¿¿Identifier
903¿VariableDeclarator¿¿1375¿v96¿¿¿{"start":{"line":23,"column":39},"end":{"line":41,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿VariableDeclarator
904¿FunctionExpression¿¿1375¿anon¿¿¿{"start":{"line":23,"column":39},"end":{"line":41,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿FunctionExpression
905¿Identifier¿¿0¿error¿¿¿{"start":{"line":23,"column":49},"end":{"line":23,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
906¿Identifier¿¿0¿list¿¿¿{"start":{"line":23,"column":56},"end":{"line":23,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
907¿IfStatement¿¿1378¿¿¿¿{"start":{"line":24,"column":20},"end":{"line":27,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿IfStatement
908¿Identifier¿¿1378¿error¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/m-server_1.4.0/index.js"}¿¿Identifier
