Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4334¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":381,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Program
4345¿Identifier¿¿7600¿Object¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4346¿Identifier¿¿7600¿defineProperty¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4347¿Identifier¿¿7600¿exports¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4348¿Literal¿string¿7600¿¿'__esModule'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4349¿Identifier¿¿7600¿v415¿¿¿¿¿Identifier
4350¿ExpressionStatement¿¿7600¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿ExpressionStatement
4351¿Identifier¿¿7600¿v416¿¿¿¿¿Identifier
4352¿VariableDeclarator¿¿7600¿checks¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4353¿CallExpression¿¿7600¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4354¿Identifier¿¿7600¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4355¿Literal¿string¿7600¿¿'@thi.ng/checks'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4356¿VariableDeclarator¿¿7600¿errors¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4357¿CallExpression¿¿7600¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4358¿Identifier¿¿7600¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4359¿Literal¿string¿7600¿¿'@thi.ng/errors'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4360¿VariableDeclarator¿¿7600¿transducersBinary¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4361¿CallExpression¿¿7600¿¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4362¿Identifier¿¿7600¿require¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4363¿Literal¿string¿7600¿¿'@thi.ng/transducers-binary'¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4364¿VariableDeclarator¿¿7600¿associative¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4365¿CallExpression¿¿7600¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4366¿Identifier¿¿7600¿require¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4367¿Literal¿string¿7600¿¿'@thi.ng/associative'¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4368¿VariableDeclarator¿¿7600¿dot¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4369¿CallExpression¿¿7600¿¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4370¿Identifier¿¿7600¿require¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4371¿Literal¿string¿7600¿¿'@thi.ng/dot'¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4372¿VariableDeclarator¿¿7600¿strings¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4373¿CallExpression¿¿7600¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4374¿Identifier¿¿7600¿require¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4375¿Literal¿string¿7600¿¿'@thi.ng/strings'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4376¿VariableDeclarator¿¿7600¿api¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4377¿CallExpression¿¿7600¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4378¿Identifier¿¿7600¿require¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4379¿Literal¿string¿7600¿¿'@thi.ng/api'¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4380¿VariableDeclarator¿¿7600¿$prefixes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4381¿CallExpression¿¿7600¿¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4382¿Identifier¿¿7600¿require¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4383¿Literal¿string¿7600¿¿'@thi.ng/prefixes'¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4384¿VariableDeclarator¿¿7600¿fs¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4385¿CallExpression¿¿7600¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4386¿Identifier¿¿7600¿require¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4387¿Literal¿string¿7600¿¿'fs'¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4388¿VariableDeclarator¿¿7600¿path¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4389¿CallExpression¿¿7600¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4390¿Identifier¿¿7600¿require¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4391¿Literal¿string¿7600¿¿'path'¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4392¿VariableDeclarator¿¿7600¿child_process¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4393¿CallExpression¿¿7600¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4394¿Identifier¿¿7600¿require¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4395¿Literal¿string¿7600¿¿'child_process'¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4396¿VariableDeclarator¿¿7600¿IS_NODE¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4397¿CallExpression¿¿7600¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4398¿MemberExpression¿¿7600¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿MemberExpression
4399¿Identifier¿¿7600¿checks¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4400¿Identifier¿¿7600¿isNode¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4401¿VariableDeclarator¿¿7600¿NODE_ONLY¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4402¿ArrowFunctionExpression¿¿7600¿¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿ArrowFunctionExpression
4403¿VariableDeclarator¿¿7602¿v417¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4404¿CallExpression¿¿7602¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4405¿MemberExpression¿¿7602¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿MemberExpression
4406¿Identifier¿¿7602¿errors¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4407¿Identifier¿¿7602¿unsupported¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4408¿Literal¿string¿7602¿¿'only available in NodeJS'¿¿{"start":{"line":18,"column":43},"end":{"line":18,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4409¿ReturnStatement¿¿7602¿¿¿¿¿¿ReturnStatement
4410¿Identifier¿¿7602¿v417¿¿¿¿¿Identifier
4411¿BlockStatement¿¿7602¿¿¿¿¿¿BlockStatement
4412¿VariableDeclarator¿¿7600¿isNode¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4413¿ArrowFunctionExpression¿¿7600¿¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿ArrowFunctionExpression
4414¿Identifier¿¿0¿x¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4415¿VariableDeclarator¿¿7604¿v418¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4416¿CallExpression¿¿7604¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4417¿MemberExpression¿¿7604¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿MemberExpression
4418¿Identifier¿¿7604¿checks¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4419¿Identifier¿¿7604¿isPlainObject¿¿¿{"start":{"line":20,"column":29},"end":{"line":20,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4420¿Identifier¿¿7604¿x¿¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4421¿VariableDeclarator¿¿7604¿v419¿¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4422¿BinaryExpression¿in¿7604¿¿¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿BinaryExpression
4423¿Literal¿string¿7604¿¿'$id'¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4424¿Identifier¿¿7604¿x¿¿¿{"start":{"line":20,"column":58},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4425¿VariableDeclarator¿¿7604¿v420¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4426¿LogicalExpression¿&&¿7604¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿LogicalExpression
4427¿Identifier¿¿7604¿v418¿¿¿¿¿Identifier
4428¿Identifier¿¿7604¿v419¿¿¿¿¿Identifier
4429¿ReturnStatement¿¿7604¿¿¿¿¿¿ReturnStatement
4430¿Identifier¿¿7604¿v420¿¿¿¿¿Identifier
4431¿BlockStatement¿¿7604¿¿¿¿¿¿BlockStatement
4432¿VariableDeclarator¿¿7600¿isRef¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4433¿ArrowFunctionExpression¿¿7600¿¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿ArrowFunctionExpression
4434¿Identifier¿¿0¿x¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4435¿VariableDeclarator¿¿7606¿v421¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4436¿CallExpression¿¿7606¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4437¿MemberExpression¿¿7606¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿MemberExpression
4438¿Identifier¿¿7606¿checks¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4439¿Identifier¿¿7606¿isPlainObject¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4440¿Identifier¿¿7606¿x¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4441¿VariableDeclarator¿¿7606¿v422¿¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4442¿BinaryExpression¿in¿7606¿¿¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿BinaryExpression
4443¿Literal¿string¿7606¿¿'$ref'¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4444¿Identifier¿¿7606¿x¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4445¿VariableDeclarator¿¿7606¿v423¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4446¿LogicalExpression¿&&¿7606¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿LogicalExpression
4447¿Identifier¿¿7606¿v421¿¿¿¿¿Identifier
4448¿Identifier¿¿7606¿v422¿¿¿¿¿Identifier
4449¿ReturnStatement¿¿7606¿¿¿¿¿¿ReturnStatement
4450¿Identifier¿¿7606¿v423¿¿¿¿¿Identifier
4451¿BlockStatement¿¿7606¿¿¿¿¿¿BlockStatement
