Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1038¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":136,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Program
1061¿Identifier¿¿1841¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1062¿Literal¿string¿1841¿¿'yonder'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1063¿VariableDeclarator¿¿1841¿v106¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1064¿CallExpression¿¿1841¿¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿CallExpression
1065¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1066¿Identifier¿¿1841¿path¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1067¿Identifier¿¿1841¿resolve¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1068¿Identifier¿¿1841¿__dirname¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1069¿Literal¿string¿1841¿¿'public'¿¿{"start":{"line":13,"column":35},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1070¿VariableDeclarator¿¿1841¿v107¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1071¿ObjectExpression¿¿1841¿¿¿¿¿¿ObjectExpression
1072¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1073¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1074¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1075¿Identifier¿¿1841¿v107¿¿¿¿¿Identifier
1076¿Identifier¿¿1841¿strict¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1077¿Literal¿boolean¿1841¿¿true¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1078¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1079¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1080¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1081¿Identifier¿¿1841¿v107¿¿¿¿¿Identifier
1082¿Identifier¿¿1841¿cwd¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1083¿Identifier¿¿1841¿v106¿¿¿¿¿Identifier
1084¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1085¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1086¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1087¿Identifier¿¿1841¿v107¿¿¿¿¿Identifier
1088¿Identifier¿¿1841¿include¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1089¿Literal¿string¿1841¿¿'**/*'¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1090¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1091¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1092¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1093¿Identifier¿¿1841¿v107¿¿¿¿¿Identifier
1094¿Identifier¿¿1841¿ignore¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1095¿Literal¿string¿1841¿¿'**/*.html'¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1096¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1097¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1098¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1099¿Identifier¿¿1841¿v107¿¿¿¿¿Identifier
1100¿Identifier¿¿1841¿nonull¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1101¿Literal¿boolean¿1841¿¿true¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1102¿VariableDeclarator¿¿1841¿v108¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1103¿CallExpression¿¿1841¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿CallExpression
1104¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1105¿Identifier¿¿1841¿path¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1106¿Identifier¿¿1841¿resolve¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1107¿Identifier¿¿1841¿__dirname¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1108¿Literal¿string¿1841¿¿'public'¿¿{"start":{"line":18,"column":38},"end":{"line":18,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1109¿VariableDeclarator¿¿1841¿v109¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1110¿CallExpression¿¿1841¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿CallExpression
1111¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1112¿Identifier¿¿1841¿path¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1113¿Identifier¿¿1841¿resolve¿¿¿{"start":{"line":19,"column":20},"end":{"line":19,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1114¿Identifier¿¿1841¿__dirname¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1115¿Literal¿string¿1841¿¿'_prod'¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1116¿VariableDeclarator¿¿1841¿v110¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1117¿ObjectExpression¿¿1841¿¿¿¿¿¿ObjectExpression
1118¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1119¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1120¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1121¿Identifier¿¿1841¿v110¿¿¿¿¿Identifier
1122¿Identifier¿¿1841¿glob¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1123¿Identifier¿¿1841¿v107¿¿¿¿¿Identifier
1124¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1125¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1126¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1127¿Identifier¿¿1841¿v110¿¿¿¿¿Identifier
1128¿Identifier¿¿1841¿inputDir¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1129¿Identifier¿¿1841¿v108¿¿¿¿¿Identifier
1130¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1131¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1132¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1133¿Identifier¿¿1841¿v110¿¿¿¿¿Identifier
1134¿Identifier¿¿1841¿outputDir¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1135¿Identifier¿¿1841¿v109¿¿¿¿¿Identifier
1136¿VariableDeclarator¿¿1841¿v111¿¿¿{"start":{"line":22,"column":10},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1137¿ObjectExpression¿¿1841¿¿¿¿¿¿ObjectExpression
1138¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿ExpressionStatement
1139¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿AssignmentExpression
1140¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":24,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1141¿Identifier¿¿1841¿v111¿¿¿¿¿Identifier
1142¿Identifier¿¿1841¿include¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1143¿Literal¿string¿1841¿¿'**/*.html'¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1144¿VariableDeclarator¿¿1841¿v112¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1145¿CallExpression¿¿1841¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿CallExpression
1146¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1147¿Identifier¿¿1841¿path¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1148¿Identifier¿¿1841¿resolve¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1149¿Identifier¿¿1841¿__dirname¿¿¿{"start":{"line":25,"column":33},"end":{"line":25,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1150¿Literal¿string¿1841¿¿'nunjucks-helpers.js'¿¿{"start":{"line":25,"column":44},"end":{"line":25,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1151¿VariableDeclarator¿¿1841¿v113¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1152¿CallExpression¿¿1841¿¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿CallExpression
1153¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
1154¿Identifier¿¿1841¿path¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1155¿Identifier¿¿1841¿resolve¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1156¿Identifier¿¿1841¿__dirname¿¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Identifier
1157¿Literal¿string¿1841¿¿'public'¿¿{"start":{"line":26,"column":38},"end":{"line":26,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿Literal
1158¿VariableDeclarator¿¿1841¿v114¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿VariableDeclarator
1159¿CallExpression¿¿1841¿¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿CallExpression
1160¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/webvrrocks/dev.js"}¿¿MemberExpression
