Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
620¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":58,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Program
637¿VariableDeclarator¿¿1090¿v73¿¿¿{"start":{"line":4,"column":35},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
638¿MemberExpression¿¿1090¿¿¿¿{"start":{"line":4,"column":35},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
639¿Identifier¿¿1090¿path¿¿¿{"start":{"line":4,"column":35},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
640¿Identifier¿¿1090¿existsSync¿¿¿{"start":{"line":4,"column":40},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
641¿VariableDeclarator¿¿1090¿_existsSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
642¿LogicalExpression¿||¿1090¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿LogicalExpression
643¿Identifier¿¿1090¿v72¿¿¿¿¿Identifier
644¿Identifier¿¿1090¿v73¿¿¿¿¿Identifier
645¿VariableDeclarator¿¿1090¿nameCountRegexp¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
646¿Literal¿object¿1090¿¿/(?:(?: \(([\d]+)\))?(\.[^.]+))?$/¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
647¿VariableDeclarator¿¿1090¿nameCountFunc¿¿¿{"start":{"line":6,"column":4},"end":{"line":8,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
648¿FunctionExpression¿¿1090¿anon¿¿¿{"start":{"line":6,"column":20},"end":{"line":8,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿FunctionExpression
649¿Identifier¿¿0¿s¿¿¿{"start":{"line":6,"column":30},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
650¿Identifier¿¿0¿index¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
651¿Identifier¿¿0¿ext¿¿¿{"start":{"line":6,"column":40},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
652¿VariableDeclarator¿¿1092¿v74¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
653¿CallExpression¿¿1092¿¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿CallExpression
654¿Identifier¿¿1092¿parseInt¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
655¿Identifier¿¿1092¿index¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
656¿Literal¿number¿1092¿¿10¿¿{"start":{"line":7,"column":38},"end":{"line":7,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
657¿VariableDeclarator¿¿1092¿v75¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
658¿LogicalExpression¿||¿1092¿¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿LogicalExpression
659¿Identifier¿¿1092¿v74¿¿¿¿¿Identifier
660¿Literal¿number¿1092¿¿0¿¿{"start":{"line":7,"column":45},"end":{"line":7,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
661¿VariableDeclarator¿¿1092¿v76¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
662¿BinaryExpression¿+¿1092¿¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿BinaryExpression
663¿Identifier¿¿1092¿v75¿¿¿¿¿Identifier
664¿Literal¿number¿1092¿¿1¿¿{"start":{"line":7,"column":50},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
665¿VariableDeclarator¿¿1092¿v77¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
666¿BinaryExpression¿+¿1092¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿BinaryExpression
667¿Literal¿string¿1092¿¿' ('¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
668¿Identifier¿¿1092¿v76¿¿¿¿¿Identifier
669¿VariableDeclarator¿¿1092¿v78¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
670¿BinaryExpression¿+¿1092¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿BinaryExpression
671¿Identifier¿¿1092¿v77¿¿¿¿¿Identifier
672¿Literal¿string¿1092¿¿')'¿¿{"start":{"line":7,"column":55},"end":{"line":7,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
673¿VariableDeclarator¿¿1092¿v79¿¿¿{"start":{"line":7,"column":62},"end":{"line":7,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
674¿LogicalExpression¿||¿1092¿¿¿¿{"start":{"line":7,"column":62},"end":{"line":7,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿LogicalExpression
675¿Identifier¿¿1092¿ext¿¿¿{"start":{"line":7,"column":62},"end":{"line":7,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
676¿Literal¿string¿1092¿¿''¿¿{"start":{"line":7,"column":69},"end":{"line":7,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
677¿VariableDeclarator¿¿1092¿v80¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
678¿BinaryExpression¿+¿1092¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿BinaryExpression
679¿Identifier¿¿1092¿v78¿¿¿¿¿Identifier
680¿Identifier¿¿1092¿v79¿¿¿¿¿Identifier
681¿ReturnStatement¿¿1092¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ReturnStatement
682¿Identifier¿¿1092¿v80¿¿¿¿¿Identifier
683¿BlockStatement¿¿1092¿¿¿¿{"start":{"line":6,"column":45},"end":{"line":8,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿BlockStatement
684¿VariableDeclarator¿¿1090¿FileInfo¿¿¿{"start":{"line":11,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
685¿FunctionExpression¿¿1090¿anon¿¿¿{"start":{"line":11,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿FunctionExpression
686¿Identifier¿¿0¿file¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
687¿VariableDeclarator¿¿1094¿v81¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
688¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
689¿Identifier¿¿1094¿file¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
690¿Identifier¿¿1094¿name¿¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
691¿ExpressionStatement¿¿1094¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ExpressionStatement
692¿AssignmentExpression¿=¿1094¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿AssignmentExpression
693¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
694¿ThisExpression¿¿1094¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ThisExpression
695¿Identifier¿¿1094¿name¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
696¿Identifier¿¿1094¿v81¿¿¿¿¿Identifier
697¿VariableDeclarator¿¿1094¿v82¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
698¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
699¿Identifier¿¿1094¿file¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
700¿Identifier¿¿1094¿size¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
701¿ExpressionStatement¿¿1094¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ExpressionStatement
702¿AssignmentExpression¿=¿1094¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿AssignmentExpression
703¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
704¿ThisExpression¿¿1094¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ThisExpression
705¿Identifier¿¿1094¿size¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
706¿Identifier¿¿1094¿v82¿¿¿¿¿Identifier
707¿VariableDeclarator¿¿1094¿v83¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
708¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
709¿Identifier¿¿1094¿file¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
710¿Identifier¿¿1094¿type¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
711¿ExpressionStatement¿¿1094¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ExpressionStatement
712¿AssignmentExpression¿=¿1094¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿AssignmentExpression
713¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
714¿ThisExpression¿¿1094¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ThisExpression
715¿Identifier¿¿1094¿type¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
716¿Identifier¿¿1094¿v83¿¿¿¿¿Identifier
717¿ExpressionStatement¿¿1094¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ExpressionStatement
718¿AssignmentExpression¿=¿1094¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿AssignmentExpression
719¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
720¿ThisExpression¿¿1094¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ThisExpression
721¿Identifier¿¿1094¿deleteType¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
722¿Literal¿string¿1094¿¿'DELETE'¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
723¿BlockStatement¿¿1094¿¿¿¿{"start":{"line":11,"column":25},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿BlockStatement
724¿VariableDeclarator¿¿1090¿v84¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
725¿MemberExpression¿¿1090¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
726¿Identifier¿¿1090¿FileInfo¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
727¿Identifier¿¿1090¿prototype¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
728¿VariableDeclarator¿¿1090¿v112¿¿¿{"start":{"line":18,"column":0},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
729¿FunctionExpression¿¿1090¿anon¿¿¿{"start":{"line":18,"column":29},"end":{"line":33,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿FunctionExpression
730¿Identifier¿¿0¿req¿¿¿{"start":{"line":18,"column":39},"end":{"line":18,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
731¿VariableDeclarator¿¿1096¿v85¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
732¿MemberExpression¿¿1096¿¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
733¿ThisExpression¿¿1096¿¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ThisExpression
734¿Identifier¿¿1096¿error¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
735¿VariableDeclarator¿¿1096¿v86¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
736¿UnaryExpression¿!¿1096¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿UnaryExpression
737¿Identifier¿¿1096¿v85¿¿¿¿¿Identifier
738¿IfStatement¿¿1096¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿IfStatement
739¿Identifier¿¿1096¿v86¿¿¿¿¿Identifier
740¿VariableDeclarator¿¿1096¿that¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
741¿ThisExpression¿¿1096¿¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿ThisExpression
742¿VariableDeclarator¿¿1096¿v87¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
743¿MemberExpression¿¿1096¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
