Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
809¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":106,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Program
825¿Literal¿string¿1413¿¿'fs'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
826¿VariableDeclarator¿¿1413¿path¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
827¿CallExpression¿¿1413¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿CallExpression
828¿Identifier¿¿1413¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
829¿Literal¿string¿1413¿¿'path'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
830¿VariableDeclarator¿¿1413¿unzipper¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
831¿CallExpression¿¿1413¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿CallExpression
832¿Identifier¿¿1413¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
833¿Literal¿string¿1413¿¿'unzipper'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
834¿VariableDeclarator¿¿1413¿checkRename¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
835¿CallExpression¿¿1413¿¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿CallExpression
836¿Identifier¿¿1413¿require¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
837¿Literal¿string¿1413¿¿'./utils'¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
838¿VariableDeclarator¿¿1413¿v83¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
839¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
840¿Identifier¿¿1413¿process¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
841¿Identifier¿¿1413¿argv¿¿¿{"start":{"line":10,"column":23},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
842¿VariableDeclarator¿¿1413¿rename¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
843¿MemberExpression¿computed¿1413¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
844¿Identifier¿¿1413¿v83¿¿¿¿¿Identifier
845¿Literal¿number¿1413¿¿5¿¿{"start":{"line":10,"column":28},"end":{"line":10,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
846¿VariableDeclarator¿¿1413¿v84¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
847¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
848¿Identifier¿¿1413¿process¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
849¿Identifier¿¿1413¿argv¿¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
850¿VariableDeclarator¿¿1413¿templateName¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
851¿MemberExpression¿computed¿1413¿¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
852¿Identifier¿¿1413¿v84¿¿¿¿¿Identifier
853¿Literal¿number¿1413¿¿3¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
854¿VariableDeclarator¿¿1413¿v85¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
855¿ObjectExpression¿¿1413¿¿¿¿¿¿ObjectExpression
856¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
857¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
858¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
859¿Identifier¿¿1413¿v85¿¿¿¿¿Identifier
860¿Identifier¿¿1413¿url¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
861¿Literal¿string¿1413¿¿'https://github.com/nimit2801/devrev-snapin-templates/releases/download/template-release/starters.zip'¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":111},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
862¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
863¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
864¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":17,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
865¿Identifier¿¿1413¿v85¿¿¿¿¿Identifier
866¿Identifier¿¿1413¿name¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
867¿Literal¿string¿1413¿¿'1-starter'¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
868¿VariableDeclarator¿¿1413¿v86¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
869¿ObjectExpression¿¿1413¿¿¿¿¿¿ObjectExpression
870¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
871¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
872¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
873¿Identifier¿¿1413¿v86¿¿¿¿¿Identifier
874¿Identifier¿¿1413¿url¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
875¿Literal¿string¿1413¿¿'https://github.com/nimit2801/devrev-snapin-templates/releases/download/template-release/internal-action.zip'¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":118},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
876¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
877¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
878¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
879¿Identifier¿¿1413¿v86¿¿¿¿¿Identifier
880¿Identifier¿¿1413¿name¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
881¿Literal¿string¿1413¿¿'6-timer-ticket-creator'¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
882¿VariableDeclarator¿¿1413¿v87¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
883¿ObjectExpression¿¿1413¿¿¿¿¿¿ObjectExpression
884¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
885¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
886¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
887¿Identifier¿¿1413¿v87¿¿¿¿¿Identifier
888¿Identifier¿¿1413¿url¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
889¿Literal¿string¿1413¿¿'https://github.com/nimit2801/devrev-snapin-templates/releases/download/template-release/external-actions.zip'¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
890¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
891¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
892¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
893¿Identifier¿¿1413¿v87¿¿¿¿¿Identifier
894¿Identifier¿¿1413¿name¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
895¿Literal¿string¿1413¿¿'9-external-action'¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
896¿VariableDeclarator¿¿1413¿v88¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
897¿ObjectExpression¿¿1413¿¿¿¿¿¿ObjectExpression
898¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
899¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
900¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
901¿Identifier¿¿1413¿v88¿¿¿¿¿Identifier
902¿Identifier¿¿1413¿url¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
903¿Literal¿string¿1413¿¿'https://github.com/nimit2801/devrev-snapin-templates/releases/download/template-release/external-webhook.zip'¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
904¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
905¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
906¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
907¿Identifier¿¿1413¿v88¿¿¿¿¿Identifier
908¿Identifier¿¿1413¿name¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
909¿Literal¿string¿1413¿¿'8-external-github-webhook'¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Literal
910¿VariableDeclarator¿¿1413¿mapTemplates¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿VariableDeclarator
911¿ObjectExpression¿¿1413¿¿¿¿¿¿ObjectExpression
912¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
913¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
914¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
915¿Identifier¿¿1413¿mapTemplates¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
916¿Identifier¿¿1413¿default¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
917¿Identifier¿¿1413¿v85¿¿¿¿¿Identifier
918¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
919¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
920¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
921¿Identifier¿¿1413¿mapTemplates¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
922¿Identifier¿¿1413¿internal_action¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
923¿Identifier¿¿1413¿v86¿¿¿¿¿Identifier
924¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
925¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
926¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
927¿Identifier¿¿1413¿mapTemplates¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
928¿Identifier¿¿1413¿external_actions¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿Identifier
929¿Identifier¿¿1413¿v87¿¿¿¿¿Identifier
930¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿ExpressionStatement
931¿AssignmentExpression¿=¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿AssignmentExpression
932¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/devrev-snapin/getTemplate.js"}¿¿MemberExpression
