Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1052¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":97,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Program
1151¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1152¿Identifier¿¿1823¿app¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1153¿Identifier¿¿1823¿use¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1154¿Identifier¿¿1823¿v121¿¿¿¿¿Identifier
1155¿ExpressionStatement¿¿1823¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1156¿Identifier¿¿1823¿v122¿¿¿¿¿Identifier
1157¿VariableDeclarator¿¿1823¿v125¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1158¿ArrowFunctionExpression¿¿1823¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ArrowFunctionExpression
1159¿Identifier¿¿0¿_req¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1160¿Identifier¿¿0¿res¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1161¿VariableDeclarator¿¿1827¿v123¿¿¿{"start":{"line":21,"column":43},"end":{"line":21,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1162¿ObjectExpression¿¿1827¿¿¿¿{"start":{"line":21,"column":43},"end":{"line":21,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ObjectExpression
1163¿Property¿¿1827¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Property
1164¿Identifier¿¿1827¿ok¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1165¿Literal¿boolean¿1827¿¿true¿¿{"start":{"line":21,"column":49},"end":{"line":21,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1166¿VariableDeclarator¿¿1827¿v124¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1167¿CallExpression¿¿1827¿¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1168¿MemberExpression¿¿1827¿¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1169¿Identifier¿¿1827¿res¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1170¿Identifier¿¿1827¿json¿¿¿{"start":{"line":21,"column":38},"end":{"line":21,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1171¿Identifier¿¿1827¿v123¿¿¿¿¿Identifier
1172¿ReturnStatement¿¿1827¿¿¿¿¿¿ReturnStatement
1173¿Identifier¿¿1827¿v124¿¿¿¿¿Identifier
1174¿BlockStatement¿¿1827¿¿¿¿¿¿BlockStatement
