Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
582¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":70,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Program
593¿Identifier¿¿1018¿require¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
594¿Literal¿string¿1018¿¿'./response.js'¿¿{"start":{"line":3,"column":52},"end":{"line":3,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
595¿VariableDeclarator¿¿1018¿ConfigureFilePath¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
596¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
597¿Identifier¿¿1018¿v66¿¿¿¿¿Identifier
598¿Identifier¿¿1018¿ConfigureFilePath¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
599¿VariableDeclarator¿¿1018¿ConfigureHead¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
600¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
601¿Identifier¿¿1018¿v66¿¿¿¿¿Identifier
602¿Identifier¿¿1018¿ConfigureHead¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
603¿VariableDeclarator¿exported¿1018¿Server¿¿¿{"start":{"line":6,"column":0},"end":{"line":68,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
604¿FunctionExpression¿¿1018¿Server¿¿¿{"start":{"line":8,"column":13},"end":{"line":55,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿FunctionExpression
605¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentPattern
606¿VariableDeclarator¿¿1020¿v67¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
607¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
608¿Identifier¿¿1020¿Options¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
609¿Identifier¿¿1020¿folder¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
610¿VariableDeclarator¿¿1020¿v68¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
611¿CallExpression¿¿1020¿¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
612¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
613¿Identifier¿¿1020¿process¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
614¿Identifier¿¿1020¿cwd¿¿¿{"start":{"line":12,"column":40},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
615¿VariableDeclarator¿¿1020¿v69¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
616¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
617¿Identifier¿¿1020¿Options¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
618¿Identifier¿¿1020¿folder¿¿¿{"start":{"line":12,"column":57},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
619¿VariableDeclarator¿¿1020¿v70¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
620¿BinaryExpression¿+¿1020¿¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿BinaryExpression
621¿Identifier¿¿1020¿v68¿¿¿¿¿Identifier
622¿Identifier¿¿1020¿v69¿¿¿¿¿Identifier
623¿VariableDeclarator¿¿1020¿v71¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
624¿CallExpression¿¿1020¿¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
625¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
626¿Identifier¿¿1020¿process¿¿¿{"start":{"line":12,"column":66},"end":{"line":12,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
627¿Identifier¿¿1020¿cwd¿¿¿{"start":{"line":12,"column":74},"end":{"line":12,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
628¿VariableDeclarator¿¿1020¿v72¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
629¿IfStatement¿¿1020¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿IfStatement
630¿Identifier¿¿1020¿v67¿¿¿¿¿Identifier
631¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
632¿AssignmentExpression¿=¿1020¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
633¿Identifier¿¿1020¿v72¿¿¿¿¿Identifier
634¿Identifier¿¿1020¿v70¿¿¿¿¿Identifier
635¿BlockStatement¿¿1020¿¿¿¿¿¿BlockStatement
636¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
637¿AssignmentExpression¿=¿1020¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
638¿Identifier¿¿1020¿v72¿¿¿¿¿Identifier
639¿Identifier¿¿1020¿v71¿¿¿¿¿Identifier
640¿BlockStatement¿¿1020¿¿¿¿¿¿BlockStatement
641¿VariableDeclarator¿¿1020¿v73¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
642¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
643¿Identifier¿¿1020¿Options¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
644¿Identifier¿¿1020¿index¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
645¿VariableDeclarator¿¿1020¿v74¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
646¿LogicalExpression¿||¿1020¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿LogicalExpression
647¿Identifier¿¿1020¿v73¿¿¿¿¿Identifier
648¿Literal¿string¿1020¿¿'index.html'¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
649¿VariableDeclarator¿¿1020¿v75¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
650¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
651¿Identifier¿¿1020¿Options¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
652¿Identifier¿¿1020¿port¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
653¿VariableDeclarator¿¿1020¿v76¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
654¿LogicalExpression¿||¿1020¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿LogicalExpression
655¿Identifier¿¿1020¿v75¿¿¿¿¿Identifier
656¿Literal¿number¿1020¿¿8000¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
657¿VariableDeclarator¿¿1020¿v77¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
658¿ObjectExpression¿¿1020¿¿¿¿¿¿ObjectExpression
659¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
660¿AssignmentExpression¿=¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
661¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
662¿Identifier¿¿1020¿v77¿¿¿¿¿Identifier
663¿Identifier¿¿1020¿RootFolder¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
664¿Identifier¿¿1020¿v72¿¿¿¿¿Identifier
665¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
666¿AssignmentExpression¿=¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
667¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
668¿Identifier¿¿1020¿v77¿¿¿¿¿Identifier
669¿Identifier¿¿1020¿IndexFile¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
670¿Identifier¿¿1020¿v74¿¿¿¿¿Identifier
671¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
672¿AssignmentExpression¿=¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
673¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
674¿Identifier¿¿1020¿v77¿¿¿¿¿Identifier
675¿Identifier¿¿1020¿Port¿¿¿{"start":{"line":14,"column":3},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
676¿Identifier¿¿1020¿v76¿¿¿¿¿Identifier
677¿ExpressionStatement¿¿1020¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":15,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ExpressionStatement
678¿AssignmentExpression¿=¿1020¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":15,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿AssignmentExpression
679¿MemberExpression¿¿1020¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
680¿ThisExpression¿¿1020¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ThisExpression
681¿Identifier¿¿1020¿Options¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
682¿Identifier¿¿1020¿v77¿¿¿¿¿Identifier
683¿VariableDeclarator¿¿1020¿v117¿¿¿{"start":{"line":17,"column":35},"end":{"line":54,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
684¿ArrowFunctionExpression¿¿1020¿¿¿¿{"start":{"line":17,"column":35},"end":{"line":54,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ArrowFunctionExpression
685¿Identifier¿¿0¿Request¿¿¿{"start":{"line":17,"column":36},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
686¿Identifier¿¿0¿Response¿¿¿{"start":{"line":17,"column":45},"end":{"line":17,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
687¿VariableDeclarator¿¿1023¿ReceivedRequest¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
688¿CallExpression¿¿1023¿¿¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
689¿MemberExpression¿¿1023¿¿¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
690¿Identifier¿¿1023¿Date¿¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
691¿Identifier¿¿1023¿now¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
692¿VariableDeclarator¿¿1023¿v78¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
693¿MemberExpression¿¿1023¿¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
694¿ThisExpression¿¿1023¿¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿ThisExpression
695¿Identifier¿¿1023¿Options¿¿¿{"start":{"line":22,"column":44},"end":{"line":22,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
696¿VariableDeclarator¿¿1023¿v79¿¿¿{"start":{"line":22,"column":53},"end":{"line":22,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
697¿MemberExpression¿¿1023¿¿¿¿{"start":{"line":22,"column":53},"end":{"line":22,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿MemberExpression
698¿Identifier¿¿1023¿Request¿¿¿{"start":{"line":22,"column":53},"end":{"line":22,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
699¿Identifier¿¿1023¿url¿¿¿{"start":{"line":22,"column":61},"end":{"line":22,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
700¿VariableDeclarator¿¿1023¿FilePath¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
701¿CallExpression¿¿1023¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
702¿Identifier¿¿1023¿ConfigureFilePath¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
703¿Identifier¿¿1023¿v78¿¿¿¿¿Identifier
704¿Identifier¿¿1023¿v79¿¿¿¿¿Identifier
