Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4968¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":997,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Program
4994¿Literal¿string¿8760¿¿'etag'¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4995¿VariableDeclarator¿¿8760¿fresh¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4996¿CallExpression¿¿8760¿¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4997¿Identifier¿¿8760¿require¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
4998¿Literal¿string¿8760¿¿'fresh'¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4999¿VariableDeclarator¿¿8760¿fs¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5000¿CallExpression¿¿8760¿¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5001¿Identifier¿¿8760¿require¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5002¿Literal¿string¿8760¿¿'fs'¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5003¿VariableDeclarator¿¿8760¿mime¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5004¿CallExpression¿¿8760¿¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5005¿Identifier¿¿8760¿require¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5006¿Literal¿string¿8760¿¿'mime-types'¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5007¿VariableDeclarator¿¿8760¿ms¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5008¿CallExpression¿¿8760¿¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5009¿Identifier¿¿8760¿require¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5010¿Literal¿string¿8760¿¿'ms'¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5011¿VariableDeclarator¿¿8760¿onFinished¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5012¿CallExpression¿¿8760¿¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5013¿Identifier¿¿8760¿require¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5014¿Literal¿string¿8760¿¿'on-finished'¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5015¿VariableDeclarator¿¿8760¿parseRange¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5016¿CallExpression¿¿8760¿¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5017¿Identifier¿¿8760¿require¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5018¿Literal¿string¿8760¿¿'range-parser'¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5019¿VariableDeclarator¿¿8760¿path¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5020¿CallExpression¿¿8760¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5021¿Identifier¿¿8760¿require¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5022¿Literal¿string¿8760¿¿'path'¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5023¿VariableDeclarator¿¿8760¿statuses¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5024¿CallExpression¿¿8760¿¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5025¿Identifier¿¿8760¿require¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5026¿Literal¿string¿8760¿¿'statuses'¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5027¿VariableDeclarator¿¿8760¿Stream¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5028¿CallExpression¿¿8760¿¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5029¿Identifier¿¿8760¿require¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5030¿Literal¿string¿8760¿¿'stream'¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5031¿VariableDeclarator¿¿8760¿util¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5032¿CallExpression¿¿8760¿¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
5033¿Identifier¿¿8760¿require¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5034¿Literal¿string¿8760¿¿'util'¿¿{"start":{"line":29,"column":19},"end":{"line":29,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5035¿VariableDeclarator¿¿8760¿extname¿¿¿{"start":{"line":36,"column":4},"end":{"line":36,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5036¿MemberExpression¿¿8760¿¿¿¿{"start":{"line":36,"column":14},"end":{"line":36,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿MemberExpression
5037¿Identifier¿¿8760¿path¿¿¿{"start":{"line":36,"column":14},"end":{"line":36,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5038¿Identifier¿¿8760¿extname¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5039¿VariableDeclarator¿¿8760¿join¿¿¿{"start":{"line":37,"column":4},"end":{"line":37,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5040¿MemberExpression¿¿8760¿¿¿¿{"start":{"line":37,"column":11},"end":{"line":37,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿MemberExpression
5041¿Identifier¿¿8760¿path¿¿¿{"start":{"line":37,"column":11},"end":{"line":37,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5042¿Identifier¿¿8760¿join¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5043¿VariableDeclarator¿¿8760¿normalize¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5044¿MemberExpression¿¿8760¿¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿MemberExpression
5045¿Identifier¿¿8760¿path¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5046¿Identifier¿¿8760¿normalize¿¿¿{"start":{"line":38,"column":21},"end":{"line":38,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5047¿VariableDeclarator¿¿8760¿resolve¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5048¿MemberExpression¿¿8760¿¿¿¿{"start":{"line":39,"column":14},"end":{"line":39,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿MemberExpression
5049¿Identifier¿¿8760¿path¿¿¿{"start":{"line":39,"column":14},"end":{"line":39,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5050¿Identifier¿¿8760¿resolve¿¿¿{"start":{"line":39,"column":19},"end":{"line":39,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5051¿VariableDeclarator¿¿8760¿sep¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5052¿MemberExpression¿¿8760¿¿¿¿{"start":{"line":40,"column":10},"end":{"line":40,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿MemberExpression
5053¿Identifier¿¿8760¿path¿¿¿{"start":{"line":40,"column":10},"end":{"line":40,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5054¿Identifier¿¿8760¿sep¿¿¿{"start":{"line":40,"column":15},"end":{"line":40,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5055¿VariableDeclarator¿¿8760¿BYTES_RANGE_REGEXP¿¿¿{"start":{"line":47,"column":4},"end":{"line":47,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5056¿Literal¿object¿8760¿¿/^ *bytes=/¿¿{"start":{"line":47,"column":25},"end":{"line":47,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5057¿VariableDeclarator¿¿8760¿v501¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5058¿BinaryExpression¿*¿8760¿¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿BinaryExpression
5059¿Literal¿number¿8760¿¿60¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5060¿Literal¿number¿8760¿¿60¿¿{"start":{"line":54,"column":22},"end":{"line":54,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5061¿VariableDeclarator¿¿8760¿v502¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5062¿BinaryExpression¿*¿8760¿¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿BinaryExpression
5063¿Identifier¿¿8760¿v501¿¿¿¿¿Identifier
5064¿Literal¿number¿8760¿¿24¿¿{"start":{"line":54,"column":27},"end":{"line":54,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5065¿VariableDeclarator¿¿8760¿v503¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5066¿BinaryExpression¿*¿8760¿¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿BinaryExpression
5067¿Identifier¿¿8760¿v502¿¿¿¿¿Identifier
5068¿Literal¿number¿8760¿¿365¿¿{"start":{"line":54,"column":32},"end":{"line":54,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5069¿VariableDeclarator¿¿8760¿MAX_MAXAGE¿¿¿{"start":{"line":54,"column":4},"end":{"line":54,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5070¿BinaryExpression¿*¿8760¿¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿BinaryExpression
5071¿Identifier¿¿8760¿v503¿¿¿¿¿Identifier
5072¿Literal¿number¿8760¿¿1000¿¿{"start":{"line":54,"column":38},"end":{"line":54,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5073¿VariableDeclarator¿¿8760¿UP_PATH_REGEXP¿¿¿{"start":{"line":61,"column":4},"end":{"line":61,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5074¿Literal¿object¿8760¿¿/(?:^|[\\/])\.\.(?:[\\/]|$)/¿¿{"start":{"line":61,"column":21},"end":{"line":61,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
5075¿ExpressionStatement¿¿8760¿¿¿¿{"start":{"line":68,"column":0},"end":{"line":68,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿ExpressionStatement
5076¿AssignmentExpression¿=¿8760¿¿¿¿{"start":{"line":68,"column":0},"end":{"line":68,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿AssignmentExpression
5077¿MemberExpression¿¿8760¿¿¿¿{"start":{"line":68,"column":0},"end":{"line":68,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿MemberExpression
5078¿Identifier¿¿8760¿module¿¿¿{"start":{"line":68,"column":0},"end":{"line":68,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5079¿Identifier¿¿8760¿exports¿¿¿{"start":{"line":68,"column":7},"end":{"line":68,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5080¿Identifier¿¿8760¿send¿¿¿{"start":{"line":68,"column":17},"end":{"line":68,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5081¿VariableDeclarator¿¿8760¿send¿¿¿{"start":{"line":80,"column":0},"end":{"line":82,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5082¿FunctionExpression¿¿8760¿anon¿¿¿{"start":{"line":80,"column":0},"end":{"line":82,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿FunctionExpression
5083¿Identifier¿¿0¿req¿¿¿{"start":{"line":80,"column":15},"end":{"line":80,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5084¿Identifier¿¿0¿path¿¿¿{"start":{"line":80,"column":20},"end":{"line":80,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5085¿Identifier¿¿0¿options¿¿¿{"start":{"line":80,"column":26},"end":{"line":80,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5086¿VariableDeclarator¿¿8762¿v504¿¿¿{"start":{"line":81,"column":9},"end":{"line":81,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
5087¿NewExpression¿¿8762¿¿¿¿{"start":{"line":81,"column":9},"end":{"line":81,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿NewExpression
5088¿Identifier¿¿8762¿SendStream¿¿¿{"start":{"line":81,"column":13},"end":{"line":81,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5089¿Identifier¿¿8762¿req¿¿¿{"start":{"line":81,"column":24},"end":{"line":81,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
5090¿Identifier¿¿8762¿path¿¿¿{"start":{"line":81,"column":29},"end":{"line":81,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
