Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
668¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":85,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Program
682¿CallExpression¿¿1169¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
683¿Identifier¿¿1169¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
684¿Literal¿string¿1169¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
685¿VariableDeclarator¿¿1169¿crypto¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
686¿CallExpression¿¿1169¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
687¿Identifier¿¿1169¿require¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
688¿Literal¿string¿1169¿¿'crypto'¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
689¿VariableDeclarator¿¿1169¿router¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
690¿CallExpression¿¿1169¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
691¿MemberExpression¿¿1169¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
692¿Identifier¿¿1169¿express¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
693¿Identifier¿¿1169¿Router¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
694¿VariableDeclarator¿¿1169¿v59¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
695¿CallExpression¿¿1169¿¿¿¿{"start":{"line":9,"column":49},"end":{"line":9,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
696¿Identifier¿¿1169¿require¿¿¿{"start":{"line":9,"column":49},"end":{"line":9,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
697¿Literal¿string¿1169¿¿'../models'¿¿{"start":{"line":9,"column":57},"end":{"line":9,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
698¿VariableDeclarator¿¿1169¿FlagsTbl¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
699¿MemberExpression¿¿1169¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
700¿Identifier¿¿1169¿v59¿¿¿¿¿Identifier
701¿Identifier¿¿1169¿FlagsTbl¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
702¿VariableDeclarator¿¿1169¿ChallengesTbl¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
703¿MemberExpression¿¿1169¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
704¿Identifier¿¿1169¿v59¿¿¿¿¿Identifier
705¿Identifier¿¿1169¿ChallengesTbl¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
706¿VariableDeclarator¿¿1169¿ProjectsTbl¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
707¿MemberExpression¿¿1169¿¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
708¿Identifier¿¿1169¿v59¿¿¿¿¿Identifier
709¿Identifier¿¿1169¿ProjectsTbl¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
710¿VariableDeclarator¿¿1169¿validateFlag¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
711¿CallExpression¿¿1169¿¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
712¿Identifier¿¿1169¿require¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
713¿Literal¿string¿1169¿¿'../middleware/flagValidation'¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
714¿VariableDeclarator¿¿1169¿sha256sum¿¿¿{"start":{"line":13,"column":0},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
715¿FunctionExpression¿¿1169¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿FunctionExpression
716¿Identifier¿¿0¿string¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
717¿VariableDeclarator¿¿1171¿v60¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
718¿CallExpression¿¿1171¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
719¿MemberExpression¿¿1171¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
720¿Identifier¿¿1171¿crypto¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
721¿Identifier¿¿1171¿createHash¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
722¿Literal¿string¿1171¿¿'sha256'¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
723¿VariableDeclarator¿¿1171¿v61¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
724¿CallExpression¿¿1171¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
725¿MemberExpression¿¿1171¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
726¿Identifier¿¿1171¿v60¿¿¿¿¿Identifier
727¿Identifier¿¿1171¿update¿¿¿{"start":{"line":14,"column":39},"end":{"line":14,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
728¿Identifier¿¿1171¿string¿¿¿{"start":{"line":14,"column":46},"end":{"line":14,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
729¿VariableDeclarator¿¿1171¿v62¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
730¿CallExpression¿¿1171¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
731¿MemberExpression¿¿1171¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
732¿Identifier¿¿1171¿v61¿¿¿¿¿Identifier
733¿Identifier¿¿1171¿digest¿¿¿{"start":{"line":14,"column":54},"end":{"line":14,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
734¿Literal¿string¿1171¿¿'hex'¿¿{"start":{"line":14,"column":61},"end":{"line":14,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
735¿ReturnStatement¿¿1171¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿ReturnStatement
736¿Identifier¿¿1171¿v62¿¿¿¿¿Identifier
737¿BlockStatement¿¿1171¿¿¿¿{"start":{"line":13,"column":27},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿BlockStatement
738¿VariableDeclarator¿¿1169¿filePathExists¿¿¿{"start":{"line":17,"column":0},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
739¿FunctionExpression¿¿1169¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿FunctionExpression
740¿Identifier¿¿0¿filepath¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
741¿VariableDeclarator¿¿1173¿absPath¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
742¿CallExpression¿¿1173¿¿¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
743¿MemberExpression¿¿1173¿¿¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
744¿Identifier¿¿1173¿path¿¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
745¿Identifier¿¿1173¿resolve¿¿¿{"start":{"line":18,"column":25},"end":{"line":18,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
746¿Identifier¿¿1173¿filepath¿¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
747¿VariableDeclarator¿¿1173¿v63¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
748¿CallExpression¿¿1173¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
749¿MemberExpression¿¿1173¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
750¿Identifier¿¿1173¿fs¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
751¿Identifier¿¿1173¿existsSync¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
752¿Identifier¿¿1173¿absPath¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
753¿ReturnStatement¿¿1173¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿ReturnStatement
754¿Identifier¿¿1173¿v63¿¿¿¿¿Identifier
755¿BlockStatement¿¿1173¿¿¿¿{"start":{"line":17,"column":34},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿BlockStatement
756¿VariableDeclarator¿¿1169¿v83¿¿¿{"start":{"line":23,"column":34},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
757¿ArrowFunctionExpression¿¿1169¿¿¿¿{"start":{"line":23,"column":34},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿ArrowFunctionExpression
758¿Identifier¿¿0¿req¿¿¿{"start":{"line":23,"column":35},"end":{"line":23,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
759¿Identifier¿¿0¿res¿¿¿{"start":{"line":23,"column":40},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
760¿VariableDeclarator¿¿1175¿v64¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
761¿MemberExpression¿¿1175¿¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
762¿Identifier¿¿1175¿req¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
763¿Identifier¿¿1175¿params¿¿¿{"start":{"line":24,"column":39},"end":{"line":24,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
764¿VariableDeclarator¿¿1175¿v65¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
765¿MemberExpression¿¿1175¿¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
766¿Identifier¿¿1175¿v64¿¿¿¿¿Identifier
767¿Identifier¿¿1175¿fileName¿¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
768¿VariableDeclarator¿¿1175¿fileName¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
769¿CallExpression¿¿1175¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
770¿MemberExpression¿¿1175¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
771¿Identifier¿¿1175¿path¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
772¿Identifier¿¿1175¿basename¿¿¿{"start":{"line":24,"column":26},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
773¿Identifier¿¿1175¿v65¿¿¿¿¿Identifier
774¿VariableDeclarator¿¿1175¿reqFile¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
775¿CallExpression¿¿1175¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
776¿MemberExpression¿¿1175¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿MemberExpression
777¿Identifier¿¿1175¿path¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
778¿Identifier¿¿1175¿join¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
779¿Identifier¿¿1175¿__dirname¿¿¿{"start":{"line":25,"column":30},"end":{"line":25,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
780¿Literal¿string¿1175¿¿'../files/'¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
781¿Identifier¿¿1175¿fileName¿¿¿{"start":{"line":25,"column":54},"end":{"line":25,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
782¿VariableDeclarator¿¿1175¿v66¿¿¿{"start":{"line":28,"column":35},"end":{"line":28,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
783¿CallExpression¿¿1175¿¿¿¿{"start":{"line":28,"column":35},"end":{"line":28,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
