Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
726¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":87,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Program
817¿SequenceExpression¿¿1255¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿SequenceExpression
818¿AssignmentExpression¿=¿1255¿¿¿¿{"start":{"line":25,"column":5},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
819¿MemberExpression¿¿1255¿¿¿¿{"start":{"line":25,"column":5},"end":{"line":25,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
820¿ThisExpression¿¿1255¿¿¿¿{"start":{"line":25,"column":5},"end":{"line":25,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
821¿Identifier¿¿1255¿owner¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
822¿Identifier¿¿1255¿v82¿¿¿¿¿Identifier
823¿AssignmentExpression¿=¿1255¿¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
824¿MemberExpression¿¿1255¿¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
825¿ThisExpression¿¿1255¿¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
826¿Identifier¿¿1255¿repo¿¿¿{"start":{"line":25,"column":39},"end":{"line":25,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
827¿Identifier¿¿1255¿v83¿¿¿¿¿Identifier
828¿BlockStatement¿¿1255¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿BlockStatement
829¿ExpressionStatement¿¿1249¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
830¿AssignmentExpression¿=¿1249¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
831¿MemberExpression¿¿1249¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
832¿Identifier¿¿1249¿Pullit¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
833¿Identifier¿¿1249¿parsedGithubUrl¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
834¿Identifier¿¿1249¿parsedGithubUrl¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
835¿VariableDeclarator¿¿1249¿fetch¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
836¿FunctionExpression¿¿1249¿fetch¿¿¿{"start":{"line":28,"column":7},"end":{"line":44,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
837¿Identifier¿¿0¿id¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
838¿VariableDeclarator¿¿1257¿v84¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
839¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
840¿ThisExpression¿¿1257¿¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
841¿Identifier¿¿1257¿github¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
842¿VariableDeclarator¿¿1257¿v85¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
843¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
844¿Identifier¿¿1257¿v84¿¿¿¿¿Identifier
845¿Identifier¿¿1257¿pullRequests¿¿¿{"start":{"line":29,"column":23},"end":{"line":29,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
846¿VariableDeclarator¿¿1257¿v86¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
