Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
874¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":114,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Program
896¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿AssignmentExpression
897¿MemberExpression¿computed¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
898¿Identifier¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
899¿Literal¿string¿1515¿¿'64'¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
900¿Literal¿string¿1515¿¿'Command line usage error'¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
901¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
902¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿AssignmentExpression
903¿MemberExpression¿computed¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
904¿Identifier¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
905¿Literal¿string¿1515¿¿'66'¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
906¿Literal¿string¿1515¿¿'Input file did not exist or was not readable'¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
907¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
908¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿AssignmentExpression
909¿MemberExpression¿computed¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
910¿Identifier¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
911¿Literal¿string¿1515¿¿'69'¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
912¿Literal¿string¿1515¿¿'You need to have the scss_lint_reporter_checkstyle gem installed'¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
913¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
914¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿AssignmentExpression
915¿MemberExpression¿computed¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
916¿Identifier¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
917¿Literal¿string¿1515¿¿'70'¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
918¿Literal¿string¿1515¿¿'Internal software error'¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
919¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
920¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿AssignmentExpression
921¿MemberExpression¿computed¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
922¿Identifier¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
923¿Literal¿string¿1515¿¿'78'¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
924¿Literal¿string¿1515¿¿'Configuration error'¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
925¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
926¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿AssignmentExpression
927¿MemberExpression¿computed¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
928¿Identifier¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
929¿Literal¿string¿1515¿¿'127'¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
930¿Literal¿string¿1515¿¿'You need to have Ruby and scss-lint gem installed'¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
931¿VariableDeclarator¿¿1515¿generateCommand¿¿¿{"start":{"line":17,"column":0},"end":{"line":40,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
932¿FunctionExpression¿¿1515¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":40,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿FunctionExpression
933¿Identifier¿¿0¿filePaths¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
934¿Identifier¿¿0¿options¿¿¿{"start":{"line":17,"column":36},"end":{"line":17,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
935¿VariableDeclarator¿¿1517¿commandParts¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
936¿ArrayExpression¿¿1517¿¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ArrayExpression
937¿Literal¿string¿1517¿¿'scss-lint'¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
938¿VariableDeclarator¿¿1517¿excludes¿¿¿{"start":{"line":19,"column":6},"end":{"line":30,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
939¿ArrayExpression¿¿1517¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":30,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ArrayExpression
940¿Literal¿string¿1517¿¿'bundleExec'¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
941¿Literal¿string¿1517¿¿'filePipeOutput'¿¿{"start":{"line":20,"column":18},"end":{"line":20,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
942¿Literal¿string¿1517¿¿'reporterOutput'¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
943¿Literal¿string¿1517¿¿'endlessReporter'¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
944¿Literal¿string¿1517¿¿'src'¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
945¿Literal¿string¿1517¿¿'shell'¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
946¿Literal¿string¿1517¿¿'reporterOutputFormat'¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
947¿Literal¿string¿1517¿¿'customReport'¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
948¿Literal¿string¿1517¿¿'maxBuffer'¿¿{"start":{"line":27,"column":18},"end":{"line":27,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
949¿Literal¿string¿1517¿¿'endless'¿¿{"start":{"line":28,"column":18},"end":{"line":28,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
950¿Literal¿string¿1517¿¿'verbose'¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
951¿Literal¿string¿1517¿¿'sync'¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
952¿VariableDeclarator¿¿1517¿v86¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
953¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
954¿Identifier¿¿1517¿options¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
955¿Identifier¿¿1517¿bundleExec¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
956¿IfStatement¿¿1517¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":35,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿IfStatement
957¿Identifier¿¿1517¿v86¿¿¿¿¿Identifier
958¿VariableDeclarator¿¿1517¿v87¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
959¿CallExpression¿¿1517¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
960¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
961¿Identifier¿¿1517¿commandParts¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
962¿Identifier¿¿1517¿unshift¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
963¿Literal¿string¿1517¿¿'bundle'¿¿{"start":{"line":33,"column":25},"end":{"line":33,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
964¿Literal¿string¿1517¿¿'exec'¿¿{"start":{"line":33,"column":35},"end":{"line":33,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
965¿ExpressionStatement¿¿1517¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
966¿Identifier¿¿1517¿v87¿¿¿¿¿Identifier
967¿VariableDeclarator¿¿1517¿v88¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
968¿CallExpression¿¿1517¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
969¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿MemberExpression
970¿Identifier¿¿1517¿excludes¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
971¿Identifier¿¿1517¿push¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
972¿Literal¿string¿1517¿¿'bundleExec'¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
973¿ExpressionStatement¿¿1517¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
974¿Identifier¿¿1517¿v88¿¿¿¿¿Identifier
975¿BlockStatement¿¿1517¿¿¿¿{"start":{"line":32,"column":26},"end":{"line":35,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿BlockStatement
976¿VariableDeclarator¿¿1517¿v89¿¿¿{"start":{"line":37,"column":35},"end":{"line":37,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
977¿ObjectExpression¿¿1517¿¿¿¿{"start":{"line":37,"column":35},"end":{"line":37,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ObjectExpression
978¿Property¿¿1517¿¿¿¿{"start":{"line":37,"column":36},"end":{"line":37,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Property
979¿Identifier¿¿1517¿excludes¿¿¿{"start":{"line":37,"column":36},"end":{"line":37,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
980¿Identifier¿¿1517¿excludes¿¿¿{"start":{"line":37,"column":46},"end":{"line":37,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
981¿VariableDeclarator¿¿1517¿optionsArgs¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
982¿CallExpression¿¿1517¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
983¿Identifier¿¿1517¿dargs¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
984¿Identifier¿¿1517¿options¿¿¿{"start":{"line":37,"column":26},"end":{"line":37,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
985¿Identifier¿¿1517¿v89¿¿¿¿¿Identifier
986¿VariableDeclarator¿¿1517¿v90¿¿¿{"start":{"line":39,"column":9},"end":{"line":39,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
