Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4329¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":1142,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Program
4396¿VariableDeclarator¿¿7601¿v369¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4397¿CallExpression¿¿7601¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4398¿Identifier¿¿7601¿require¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4399¿Literal¿string¿7601¿¿'./utils'¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4400¿VariableDeclarator¿¿7601¿normalizeType¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4401¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4402¿Identifier¿¿7601¿v369¿¿¿¿¿Identifier
4403¿Identifier¿¿7601¿normalizeType¿¿¿{"start":{"line":27,"column":39},"end":{"line":27,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4404¿VariableDeclarator¿¿7601¿v370¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4405¿CallExpression¿¿7601¿¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4406¿Identifier¿¿7601¿require¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4407¿Literal¿string¿7601¿¿'./utils'¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4408¿VariableDeclarator¿¿7601¿normalizeTypes¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4409¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4410¿Identifier¿¿7601¿v370¿¿¿¿¿Identifier
4411¿Identifier¿¿7601¿normalizeTypes¿¿¿{"start":{"line":28,"column":40},"end":{"line":28,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4412¿VariableDeclarator¿¿7601¿v371¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4413¿CallExpression¿¿7601¿¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4414¿Identifier¿¿7601¿require¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4415¿Literal¿string¿7601¿¿'./utils'¿¿{"start":{"line":29,"column":25},"end":{"line":29,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4416¿VariableDeclarator¿¿7601¿setCharset¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4417¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4418¿Identifier¿¿7601¿v371¿¿¿¿¿Identifier
4419¿Identifier¿¿7601¿setCharset¿¿¿{"start":{"line":29,"column":36},"end":{"line":29,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4420¿VariableDeclarator¿¿7601¿cookie¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4421¿CallExpression¿¿7601¿¿¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4422¿Identifier¿¿7601¿require¿¿¿{"start":{"line":30,"column":13},"end":{"line":30,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4423¿Literal¿string¿7601¿¿'cookie'¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4424¿VariableDeclarator¿¿7601¿send¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4425¿CallExpression¿¿7601¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4426¿Identifier¿¿7601¿require¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4427¿Literal¿string¿7601¿¿'send'¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4428¿VariableDeclarator¿¿7601¿extname¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4429¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4430¿Identifier¿¿7601¿path¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4431¿Identifier¿¿7601¿extname¿¿¿{"start":{"line":32,"column":19},"end":{"line":32,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4432¿VariableDeclarator¿¿7601¿mime¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4433¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4434¿Identifier¿¿7601¿send¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4435¿Identifier¿¿7601¿mime¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4436¿VariableDeclarator¿¿7601¿resolve¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4437¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":34,"column":14},"end":{"line":34,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4438¿Identifier¿¿7601¿path¿¿¿{"start":{"line":34,"column":14},"end":{"line":34,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4439¿Identifier¿¿7601¿resolve¿¿¿{"start":{"line":34,"column":19},"end":{"line":34,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4440¿VariableDeclarator¿¿7601¿vary¿¿¿{"start":{"line":35,"column":4},"end":{"line":35,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4441¿CallExpression¿¿7601¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4442¿Identifier¿¿7601¿require¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4443¿Literal¿string¿7601¿¿'vary'¿¿{"start":{"line":35,"column":19},"end":{"line":35,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4444¿VariableDeclarator¿¿7601¿v372¿¿¿{"start":{"line":42,"column":24},"end":{"line":42,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4445¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":42,"column":24},"end":{"line":42,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4446¿Identifier¿¿7601¿http¿¿¿{"start":{"line":42,"column":24},"end":{"line":42,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4447¿Identifier¿¿7601¿ServerResponse¿¿¿{"start":{"line":42,"column":29},"end":{"line":42,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4448¿VariableDeclarator¿¿7601¿v373¿¿¿{"start":{"line":42,"column":24},"end":{"line":42,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4449¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":42,"column":24},"end":{"line":42,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4450¿Identifier¿¿7601¿v372¿¿¿¿¿Identifier
4451¿Identifier¿¿7601¿prototype¿¿¿{"start":{"line":42,"column":44},"end":{"line":42,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4452¿VariableDeclarator¿¿7601¿res¿¿¿{"start":{"line":42,"column":4},"end":{"line":42,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4453¿CallExpression¿¿7601¿¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4454¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
