Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1007¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":95,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Program
1074¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":146},"end":{"line":16,"column":166},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1075¿Identifier¿¿1723¿config¿¿¿{"start":{"line":16,"column":146},"end":{"line":16,"column":152},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1076¿Identifier¿¿1723¿contentFolder¿¿¿{"start":{"line":16,"column":153},"end":{"line":16,"column":166},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1077¿VariableDeclarator¿¿1723¿v106¿¿¿{"start":{"line":16,"column":136},"end":{"line":16,"column":179},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1078¿CallExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":136},"end":{"line":16,"column":179},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1079¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":136},"end":{"line":16,"column":145},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1080¿Identifier¿¿1723¿path¿¿¿{"start":{"line":16,"column":136},"end":{"line":16,"column":140},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1081¿Identifier¿¿1723¿join¿¿¿{"start":{"line":16,"column":141},"end":{"line":16,"column":145},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1082¿Identifier¿¿1723¿v105¿¿¿¿¿Identifier
1083¿Identifier¿¿1723¿sourceFile¿¿¿{"start":{"line":16,"column":168},"end":{"line":16,"column":178},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1084¿VariableDeclarator¿¿1723¿v107¿¿¿{"start":{"line":16,"column":197},"end":{"line":16,"column":213},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1085¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":197},"end":{"line":16,"column":213},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1086¿Identifier¿¿1723¿config¿¿¿{"start":{"line":16,"column":197},"end":{"line":16,"column":203},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1087¿Identifier¿¿1723¿tmpFolder¿¿¿{"start":{"line":16,"column":204},"end":{"line":16,"column":213},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1088¿VariableDeclarator¿¿1723¿v108¿¿¿{"start":{"line":16,"column":215},"end":{"line":16,"column":240},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1089¿CallExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":215},"end":{"line":16,"column":240},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1090¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":215},"end":{"line":16,"column":228},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1091¿Identifier¿¿1723¿utils¿¿¿{"start":{"line":16,"column":215},"end":{"line":16,"column":220},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1092¿Identifier¿¿1723¿mdToTex¿¿¿{"start":{"line":16,"column":221},"end":{"line":16,"column":228},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1093¿Identifier¿¿1723¿sourceFile¿¿¿{"start":{"line":16,"column":229},"end":{"line":16,"column":239},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1094¿VariableDeclarator¿¿1723¿v109¿¿¿{"start":{"line":16,"column":187},"end":{"line":16,"column":241},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1095¿CallExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":187},"end":{"line":16,"column":241},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1096¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":187},"end":{"line":16,"column":196},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1097¿Identifier¿¿1723¿path¿¿¿{"start":{"line":16,"column":187},"end":{"line":16,"column":191},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1098¿Identifier¿¿1723¿join¿¿¿{"start":{"line":16,"column":192},"end":{"line":16,"column":196},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1099¿Identifier¿¿1723¿v107¿¿¿¿¿Identifier
1100¿Identifier¿¿1723¿v108¿¿¿¿¿Identifier
1101¿VariableDeclarator¿¿1723¿v110¿¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":242},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1102¿ArrayExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":242},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿ArrayExpression
1103¿Literal¿string¿1723¿¿'--section'¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1104¿Literal¿string¿1723¿¿'--no-tex-ligatures'¿¿{"start":{"line":16,"column":50},"end":{"line":16,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1105¿Literal¿string¿1723¿¿'--normalize'¿¿{"start":{"line":16,"column":72},"end":{"line":16,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1106¿Literal¿string¿1723¿¿'--biblatex'¿¿{"start":{"line":16,"column":87},"end":{"line":16,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1107¿Identifier¿¿1723¿v106¿¿¿¿¿Identifier
1108¿Literal¿string¿1723¿¿'-o'¿¿{"start":{"line":16,"column":181},"end":{"line":16,"column":185},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1109¿Identifier¿¿1723¿v109¿¿¿¿¿Identifier
1110¿VariableDeclarator¿¿1723¿compile¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":243},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1111¿CallExpression¿¿1723¿¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":243},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1112¿Identifier¿¿1723¿spawn¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1113¿Literal¿string¿1723¿¿'pandoc'¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1114¿Identifier¿¿1723¿v110¿¿¿¿¿Identifier
1115¿VariableDeclarator¿¿1723¿v116¿¿¿{"start":{"line":17,"column":26},"end":{"line":23,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1116¿FunctionExpression¿¿1723¿anon¿¿¿{"start":{"line":17,"column":26},"end":{"line":23,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿FunctionExpression
1117¿Identifier¿¿0¿code¿¿¿{"start":{"line":17,"column":35},"end":{"line":17,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1118¿VariableDeclarator¿¿1725¿v111¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1119¿BinaryExpression¿!==¿1725¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿BinaryExpression
1120¿Identifier¿¿1725¿code¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1121¿Literal¿number¿1725¿¿0¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1122¿IfStatement¿¿1725¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":22,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿IfStatement
1123¿Identifier¿¿1725¿v111¿¿¿¿¿Identifier
1124¿VariableDeclarator¿¿1725¿v112¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1125¿BinaryExpression¿+¿1725¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿BinaryExpression
1126¿Literal¿string¿1725¿¿'pandoc failed with error code '¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1127¿Identifier¿¿1725¿code¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1128¿VariableDeclarator¿¿1725¿v113¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1129¿NewExpression¿¿1725¿¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿NewExpression
1130¿Identifier¿¿1725¿Error¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1131¿Identifier¿¿1725¿v112¿¿¿¿¿Identifier
1132¿VariableDeclarator¿¿1725¿v114¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1133¿CallExpression¿¿1725¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
