Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
753¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":90,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Program
781¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
782¿Identifier¿¿1296¿v78¿¿¿¿¿Identifier
783¿VariableDeclarator¿¿1296¿v79¿¿¿{"start":{"line":9,"column":32},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
784¿ObjectExpression¿¿1296¿¿¿¿{"start":{"line":9,"column":32},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ObjectExpression
785¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
786¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
787¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
788¿ThisExpression¿¿1296¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
789¿Identifier¿¿1296¿github¿¿¿{"start":{"line":9,"column":9},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
790¿NewExpression¿¿1296¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿NewExpression
791¿Identifier¿¿1296¿GitHubApi¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
792¿Identifier¿¿1296¿v79¿¿¿¿¿Identifier
793¿BlockStatement¿¿1296¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿BlockStatement
794¿VariableDeclarator¿¿1294¿init¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
795¿FunctionExpression¿¿1294¿init¿¿¿{"start":{"line":12,"column":6},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
796¿VariableDeclarator¿¿1298¿v80¿¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
797¿ArrayExpression¿¿1298¿¿¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ArrayExpression
798¿Literal¿string¿1298¿¿'config'¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
799¿Literal¿string¿1298¿¿'--get'¿¿{"start":{"line":13,"column":47},"end":{"line":13,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
800¿Literal¿string¿1298¿¿'remote.origin.url'¿¿{"start":{"line":13,"column":56},"end":{"line":13,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
801¿VariableDeclarator¿¿1298¿v81¿¿¿{"start":{"line":13,"column":78},"end":{"line":15,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
802¿ObjectExpression¿¿1298¿¿¿¿{"start":{"line":13,"column":78},"end":{"line":15,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ObjectExpression
803¿Property¿¿1298¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Property
804¿Identifier¿¿1298¿encoding¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
805¿Literal¿string¿1298¿¿'utf8'¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
806¿VariableDeclarator¿¿1298¿v82¿¿¿{"start":{"line":13,"column":16},"end":{"line":15,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
807¿CallExpression¿¿1298¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":15,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
808¿Identifier¿¿1298¿execFileSync¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
809¿Literal¿string¿1298¿¿'git'¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
810¿Identifier¿¿1298¿v80¿¿¿¿¿Identifier
811¿Identifier¿¿1298¿v81¿¿¿¿¿Identifier
812¿VariableDeclarator¿¿1298¿url¿¿¿{"start":{"line":13,"column":10},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
813¿CallExpression¿¿1298¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
814¿MemberExpression¿¿1298¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":15,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
815¿Identifier¿¿1298¿v82¿¿¿¿¿Identifier
816¿Identifier¿¿1298¿trim¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
817¿VariableDeclarator¿¿1298¿v83¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
818¿CallExpression¿¿1298¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
819¿MemberExpression¿¿1298¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
820¿ThisExpression¿¿1298¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
821¿Identifier¿¿1298¿parsedGithubUrl¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
822¿Identifier¿¿1298¿url¿¿¿{"start":{"line":17,"column":32},"end":{"line":17,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
823¿ReturnStatement¿¿1298¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ReturnStatement
824¿Identifier¿¿1298¿v83¿¿¿¿¿Identifier
825¿BlockStatement¿¿1298¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿BlockStatement
826¿ExpressionStatement¿¿1294¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
827¿AssignmentExpression¿=¿1294¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
828¿MemberExpression¿¿1294¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
829¿Identifier¿¿1294¿Pullit¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
830¿Identifier¿¿1294¿init¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
831¿Identifier¿¿1294¿init¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
832¿VariableDeclarator¿¿1294¿parsedGithubUrl¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
833¿FunctionExpression¿¿1294¿parsedGithubUrl¿¿¿{"start":{"line":20,"column":17},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
834¿Identifier¿¿0¿url¿¿¿{"start":{"line":20,"column":18},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
835¿VariableDeclarator¿¿1300¿parsedUrl¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
836¿CallExpression¿¿1300¿¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
837¿Identifier¿¿1300¿parse¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
838¿Identifier¿¿1300¿url¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
839¿VariableDeclarator¿¿1300¿v84¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
840¿MemberExpression¿computed¿1300¿¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
841¿Identifier¿¿1300¿parsedUrl¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
842¿Literal¿number¿1300¿¿0¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
843¿VariableDeclarator¿¿1300¿v85¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
844¿MemberExpression¿computed¿1300¿¿¿¿{"start":{"line":23,"column":46},"end":{"line":23,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
845¿Identifier¿¿1300¿parsedUrl¿¿¿{"start":{"line":23,"column":46},"end":{"line":23,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
846¿Literal¿number¿1300¿¿1¿¿{"start":{"line":23,"column":56},"end":{"line":23,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
847¿ExpressionStatement¿¿1300¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
848¿SequenceExpression¿¿1300¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿SequenceExpression
849¿AssignmentExpression¿=¿1300¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
850¿MemberExpression¿¿1300¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
851¿ThisExpression¿¿1300¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
852¿Identifier¿¿1300¿owner¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
853¿Identifier¿¿1300¿v84¿¿¿¿¿Identifier
854¿AssignmentExpression¿=¿1300¿¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
855¿MemberExpression¿¿1300¿¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
856¿ThisExpression¿¿1300¿¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
857¿Identifier¿¿1300¿repo¿¿¿{"start":{"line":23,"column":39},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
858¿Identifier¿¿1300¿v85¿¿¿¿¿Identifier
859¿BlockStatement¿¿1300¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿BlockStatement
860¿ExpressionStatement¿¿1294¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
861¿AssignmentExpression¿=¿1294¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
862¿MemberExpression¿¿1294¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
863¿Identifier¿¿1294¿Pullit¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
864¿Identifier¿¿1294¿parsedGithubUrl¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
865¿Identifier¿¿1294¿parsedGithubUrl¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
866¿VariableDeclarator¿¿1294¿fetch¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
867¿FunctionExpression¿¿1294¿fetch¿¿¿{"start":{"line":26,"column":7},"end":{"line":41,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
868¿Identifier¿¿0¿id¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
869¿VariableDeclarator¿¿1302¿v86¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
870¿MemberExpression¿¿1302¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
871¿ThisExpression¿¿1302¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
872¿Identifier¿¿1302¿github¿¿¿{"start":{"line":27,"column":16},"end":{"line":27,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
873¿VariableDeclarator¿¿1302¿v87¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
874¿MemberExpression¿¿1302¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
875¿Identifier¿¿1302¿v86¿¿¿¿¿Identifier
876¿Identifier¿¿1302¿pullRequests¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
