Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
643¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":40,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Program
654¿Identifier¿¿0¿port¿¿¿{"start":{"line":2,"column":71},"end":{"line":2,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
655¿TryStatement¿¿1124¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":19,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿TryStatement
656¿VariableDeclarator¿¿1124¿v79¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
657¿TemplateLiteral¿¿1124¿¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿TemplateLiteral
658¿Identifier¿¿1124¿port¿¿¿{"start":{"line":4,"column":41},"end":{"line":4,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
659¿VariableDeclarator¿¿1124¿v80¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
660¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
661¿AwaitExpression¿¿1124¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿AwaitExpression
662¿CallExpression¿¿1124¿¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
663¿Identifier¿¿1124¿exec¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
664¿Identifier¿¿1124¿v79¿¿¿¿¿Identifier
665¿Identifier¿¿1124¿output¿¿¿{"start":{"line":4,"column":50},"end":{"line":4,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
666¿VariableDeclarator¿¿1124¿result¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
667¿CallExpression¿¿1124¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
668¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
669¿Identifier¿¿1124¿v80¿¿¿¿¿Identifier
670¿Identifier¿¿1124¿split¿¿¿{"start":{"line":4,"column":57},"end":{"line":4,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
671¿Literal¿string¿1124¿¿'\n'¿¿{"start":{"line":4,"column":63},"end":{"line":4,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
672¿VariableDeclarator¿¿1124¿v81¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
673¿CallExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
674¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
675¿Identifier¿¿1124¿result¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
676¿Identifier¿¿1124¿shift¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
677¿VariableDeclarator¿¿1124¿v82¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
678¿CallExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
679¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
680¿Identifier¿¿1124¿v81¿¿¿¿¿Identifier
681¿Identifier¿¿1124¿split¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
682¿Literal¿string¿1124¿¿' '¿¿{"start":{"line":5,"column":39},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
683¿VariableDeclarator¿¿1124¿v89¿¿¿{"start":{"line":5,"column":51},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
684¿ArrowFunctionExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":51},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
685¿Identifier¿¿0¿item¿¿¿{"start":{"line":5,"column":51},"end":{"line":5,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
686¿VariableDeclarator¿¿1126¿v83¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
687¿CallExpression¿¿1126¿¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
688¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
689¿Identifier¿¿1126¿item¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
690¿Identifier¿¿1126¿trim¿¿¿{"start":{"line":5,"column":66},"end":{"line":5,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
691¿VariableDeclarator¿¿1126¿v84¿¿¿{"start":{"line":5,"column":60},"end":{"line":5,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
692¿UnaryExpression¿!¿1126¿¿¿¿{"start":{"line":5,"column":60},"end":{"line":5,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿UnaryExpression
693¿Identifier¿¿1126¿v83¿¿¿¿¿Identifier
694¿VariableDeclarator¿¿1126¿v85¿¿¿{"start":{"line":5,"column":59},"end":{"line":5,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
695¿UnaryExpression¿!¿1126¿¿¿¿{"start":{"line":5,"column":59},"end":{"line":5,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿UnaryExpression
696¿Identifier¿¿1126¿v84¿¿¿¿¿Identifier
697¿VariableDeclarator¿¿1126¿v86¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
698¿CallExpression¿¿1126¿¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":87},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
699¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
700¿Identifier¿¿1126¿item¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
701¿Identifier¿¿1126¿trim¿¿¿{"start":{"line":5,"column":81},"end":{"line":5,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
702¿VariableDeclarator¿¿1126¿v87¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
703¿BinaryExpression¿!==¿1126¿¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿BinaryExpression
704¿Identifier¿¿1126¿v86¿¿¿¿¿Identifier
705¿Literal¿string¿1126¿¿''¿¿{"start":{"line":5,"column":92},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
706¿VariableDeclarator¿¿1126¿v88¿¿¿{"start":{"line":5,"column":59},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
707¿LogicalExpression¿&&¿1126¿¿¿¿{"start":{"line":5,"column":59},"end":{"line":5,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿LogicalExpression
708¿Identifier¿¿1126¿v85¿¿¿¿¿Identifier
709¿Identifier¿¿1126¿v87¿¿¿¿¿Identifier
710¿ReturnStatement¿¿1126¿¿¿¿¿¿ReturnStatement
711¿Identifier¿¿1126¿v88¿¿¿¿¿Identifier
712¿BlockStatement¿¿1126¿¿¿¿¿¿BlockStatement
713¿VariableDeclarator¿¿1124¿v90¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":95},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
714¿CallExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":95},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
715¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
716¿Identifier¿¿1124¿v82¿¿¿¿¿Identifier
717¿Identifier¿¿1124¿filter¿¿¿{"start":{"line":5,"column":44},"end":{"line":5,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
718¿Identifier¿¿1124¿v89¿¿¿¿¿Identifier
719¿VariableDeclarator¿¿1124¿v92¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
720¿ArrowFunctionExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
721¿Identifier¿¿0¿item¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
722¿VariableDeclarator¿¿1128¿v91¿¿¿{"start":{"line":5,"column":108},"end":{"line":5,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
723¿CallExpression¿¿1128¿¿¿¿{"start":{"line":5,"column":108},"end":{"line":5,"column":126},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
724¿MemberExpression¿¿1128¿¿¿¿{"start":{"line":5,"column":108},"end":{"line":5,"column":124},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
725¿Identifier¿¿1128¿item¿¿¿{"start":{"line":5,"column":108},"end":{"line":5,"column":112},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
726¿Identifier¿¿1128¿toLowerCase¿¿¿{"start":{"line":5,"column":113},"end":{"line":5,"column":124},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
727¿ReturnStatement¿¿1128¿¿¿¿¿¿ReturnStatement
728¿Identifier¿¿1128¿v91¿¿¿¿¿Identifier
729¿BlockStatement¿¿1128¿¿¿¿¿¿BlockStatement
730¿VariableDeclarator¿¿1124¿headers¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":127},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
731¿CallExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":127},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
732¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
733¿Identifier¿¿1124¿v90¿¿¿¿¿Identifier
734¿Identifier¿¿1124¿map¿¿¿{"start":{"line":5,"column":96},"end":{"line":5,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
735¿Identifier¿¿1124¿v92¿¿¿¿¿Identifier
736¿VariableDeclarator¿¿1124¿v99¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
737¿ArrowFunctionExpression¿¿1124¿¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
738¿Identifier¿¿0¿item¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
739¿VariableDeclarator¿¿1130¿v93¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
740¿CallExpression¿¿1130¿¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
741¿MemberExpression¿¿1130¿¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
742¿Identifier¿¿1130¿item¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
743¿Identifier¿¿1130¿trim¿¿¿{"start":{"line":6,"column":38},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
744¿VariableDeclarator¿¿1130¿v94¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
745¿UnaryExpression¿!¿1130¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿UnaryExpression
746¿Identifier¿¿1130¿v93¿¿¿¿¿Identifier
747¿VariableDeclarator¿¿1130¿v95¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
748¿UnaryExpression¿!¿1130¿¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿UnaryExpression
749¿Identifier¿¿1130¿v94¿¿¿¿¿Identifier
750¿VariableDeclarator¿¿1130¿v96¿¿¿{"start":{"line":6,"column":48},"end":{"line":6,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
751¿CallExpression¿¿1130¿¿¿¿{"start":{"line":6,"column":48},"end":{"line":6,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
752¿MemberExpression¿¿1130¿¿¿¿{"start":{"line":6,"column":48},"end":{"line":6,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
753¿Identifier¿¿1130¿item¿¿¿{"start":{"line":6,"column":48},"end":{"line":6,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
754¿Identifier¿¿1130¿trim¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
755¿VariableDeclarator¿¿1130¿v97¿¿¿{"start":{"line":6,"column":48},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
756¿BinaryExpression¿!==¿1130¿¿¿¿{"start":{"line":6,"column":48},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿BinaryExpression
757¿Identifier¿¿1130¿v96¿¿¿¿¿Identifier
758¿Literal¿string¿1130¿¿''¿¿{"start":{"line":6,"column":64},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
759¿VariableDeclarator¿¿1130¿v98¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
760¿LogicalExpression¿&&¿1130¿¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿LogicalExpression
761¿Identifier¿¿1130¿v95¿¿¿¿¿Identifier
762¿Identifier¿¿1130¿v97¿¿¿¿¿Identifier
763¿ReturnStatement¿¿1130¿¿¿¿¿¿ReturnStatement
764¿Identifier¿¿1130¿v98¿¿¿¿¿Identifier
765¿BlockStatement¿¿1130¿¿¿¿¿¿BlockStatement
766¿VariableDeclarator¿¿1124¿v100¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
767¿CallExpression¿¿1124¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
768¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
769¿Identifier¿¿1124¿result¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
