Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
635¿Program¿¿-1¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":131,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Program
657¿FunctionExpression¿¿1098¿anon¿¿¿{"start":{"line":23,"column":0},"end":{"line":129,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿FunctionExpression
658¿Identifier¿¿0¿system¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
659¿VariableDeclarator¿¿1100¿self¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
660¿ThisExpression¿¿1100¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ThisExpression
661¿VariableDeclarator¿¿1100¿getDocumentationFile¿¿¿{"start":{"line":31,"column":1},"end":{"line":51,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
662¿FunctionExpression¿¿1100¿anon¿¿¿{"start":{"line":31,"column":1},"end":{"line":51,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿FunctionExpression
663¿Identifier¿¿0¿markdownFilename¿¿¿{"start":{"line":31,"column":31},"end":{"line":31,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
664¿ExpressionStatement¿¿1102¿¿¿¿{"start":{"line":33,"column":2},"end":{"line":33,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ExpressionStatement
665¿AssignmentExpression¿=¿1102¿¿¿¿{"start":{"line":33,"column":2},"end":{"line":33,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿AssignmentExpression
666¿Identifier¿¿1102¿markdownFilename¿¿¿{"start":{"line":33,"column":2},"end":{"line":33,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
667¿CallExpression¿¿1102¿¿¿¿{"start":{"line":33,"column":21},"end":{"line":33,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
668¿MemberExpression¿¿1102¿¿¿¿{"start":{"line":33,"column":21},"end":{"line":33,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿MemberExpression
669¿Identifier¿¿1102¿markdownFilename¿¿¿{"start":{"line":33,"column":21},"end":{"line":33,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
670¿Identifier¿¿1102¿replace¿¿¿{"start":{"line":33,"column":38},"end":{"line":33,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
671¿Literal¿object¿1102¿¿/(\.\.|\/)/g¿¿{"start":{"line":33,"column":46},"end":{"line":33,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
672¿Literal¿string¿1102¿¿''¿¿{"start":{"line":33,"column":60},"end":{"line":33,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
673¿VariableDeclarator¿¿1102¿v52¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
674¿CallExpression¿¿1102¿¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
675¿Identifier¿¿1102¿require¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
676¿Literal¿string¿1102¿¿'app-root-path'¿¿{"start":{"line":34,"column":21},"end":{"line":34,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
677¿VariableDeclarator¿¿1102¿v53¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
678¿BinaryExpression¿+¿1102¿¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BinaryExpression
679¿Identifier¿¿1102¿v52¿¿¿¿¿Identifier
680¿Literal¿string¿1102¿¿'/documentation/'¿¿{"start":{"line":34,"column":40},"end":{"line":34,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
681¿VariableDeclarator¿¿1102¿path¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
682¿BinaryExpression¿+¿1102¿¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BinaryExpression
683¿Identifier¿¿1102¿v53¿¿¿¿¿Identifier
684¿Identifier¿¿1102¿markdownFilename¿¿¿{"start":{"line":34,"column":60},"end":{"line":34,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
685¿VariableDeclarator¿¿1102¿v54¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
686¿CallExpression¿¿1102¿¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
687¿MemberExpression¿¿1102¿¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿MemberExpression
688¿Identifier¿¿1102¿fs¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
689¿Identifier¿¿1102¿existsSync¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
690¿Identifier¿¿1102¿path¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
691¿IfStatement¿¿1102¿¿¿¿{"start":{"line":36,"column":2},"end":{"line":48,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿IfStatement
692¿Identifier¿¿1102¿v54¿¿¿¿¿Identifier
693¿TryStatement¿¿1102¿¿¿¿{"start":{"line":37,"column":3},"end":{"line":47,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿TryStatement
694¿VariableDeclarator¿¿1102¿help¿¿¿{"start":{"line":38,"column":8},"end":{"line":38,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
695¿CallExpression¿¿1102¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
696¿MemberExpression¿¿1102¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿MemberExpression
697¿Identifier¿¿1102¿fs¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
698¿Identifier¿¿1102¿readFileSync¿¿¿{"start":{"line":38,"column":18},"end":{"line":38,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
699¿Identifier¿¿1102¿path¿¿¿{"start":{"line":38,"column":31},"end":{"line":38,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
700¿VariableDeclarator¿¿1102¿v55¿¿¿{"start":{"line":39,"column":18},"end":{"line":39,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
701¿CallExpression¿¿1102¿¿¿¿{"start":{"line":39,"column":18},"end":{"line":39,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
702¿MemberExpression¿¿1102¿¿¿¿{"start":{"line":39,"column":18},"end":{"line":39,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿MemberExpression
703¿Identifier¿¿1102¿help¿¿¿{"start":{"line":39,"column":18},"end":{"line":39,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
704¿Identifier¿¿1102¿toString¿¿¿{"start":{"line":39,"column":23},"end":{"line":39,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
705¿VariableDeclarator¿¿1102¿v56¿¿¿{"start":{"line":39,"column":35},"end":{"line":42,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
706¿ObjectExpression¿¿1102¿¿¿¿{"start":{"line":39,"column":35},"end":{"line":42,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ObjectExpression
707¿Property¿¿1102¿¿¿¿{"start":{"line":40,"column":5},"end":{"line":40,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Property
708¿Identifier¿¿1102¿baseUrl¿¿¿{"start":{"line":40,"column":5},"end":{"line":40,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
709¿Literal¿string¿1102¿¿'/int/documentation/'¿¿{"start":{"line":40,"column":14},"end":{"line":40,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
710¿Property¿¿1102¿¿¿¿{"start":{"line":41,"column":5},"end":{"line":41,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Property
711¿Identifier¿¿1102¿headerPrefix¿¿¿{"start":{"line":41,"column":5},"end":{"line":41,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
712¿Literal¿string¿1102¿¿'header-'¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
713¿ExpressionStatement¿¿1102¿¿¿¿{"start":{"line":39,"column":4},"end":{"line":42,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ExpressionStatement
714¿AssignmentExpression¿=¿1102¿¿¿¿{"start":{"line":39,"column":4},"end":{"line":42,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿AssignmentExpression
715¿Identifier¿¿1102¿help¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
716¿CallExpression¿¿1102¿¿¿¿{"start":{"line":39,"column":11},"end":{"line":42,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
717¿Identifier¿¿1102¿marked¿¿¿{"start":{"line":39,"column":11},"end":{"line":39,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
718¿Identifier¿¿1102¿v55¿¿¿¿¿Identifier
719¿Identifier¿¿1102¿v56¿¿¿¿¿Identifier
720¿ReturnStatement¿¿1102¿¿¿¿{"start":{"line":43,"column":4},"end":{"line":43,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ReturnStatement
721¿Identifier¿¿1102¿help¿¿¿{"start":{"line":43,"column":11},"end":{"line":43,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
722¿BlockStatement¿¿1102¿¿¿¿{"start":{"line":37,"column":7},"end":{"line":44,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BlockStatement
723¿CatchClause¿¿1102¿¿¿¿{"start":{"line":44,"column":5},"end":{"line":47,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CatchClause
724¿VariableDeclarator¿¿1102¿v57¿¿¿{"start":{"line":45,"column":10},"end":{"line":45,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
725¿BinaryExpression¿+¿1102¿¿¿¿{"start":{"line":45,"column":10},"end":{"line":45,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BinaryExpression
726¿Literal¿string¿1102¿¿'Error loading help '¿¿{"start":{"line":45,"column":10},"end":{"line":45,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
727¿Identifier¿¿1102¿path¿¿¿{"start":{"line":45,"column":34},"end":{"line":45,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
728¿VariableDeclarator¿¿1102¿v58¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
729¿CallExpression¿¿1102¿¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
730¿Identifier¿¿1102¿debug¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
731¿Identifier¿¿1102¿v57¿¿¿¿¿Identifier
732¿ExpressionStatement¿¿1102¿¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ExpressionStatement
733¿Identifier¿¿1102¿v58¿¿¿¿¿Identifier
734¿VariableDeclarator¿¿1102¿v59¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
735¿CallExpression¿¿1102¿¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
736¿Identifier¿¿1102¿debug¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
737¿Identifier¿¿1102¿e¿¿¿{"start":{"line":46,"column":10},"end":{"line":46,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
738¿ExpressionStatement¿¿1102¿¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ExpressionStatement
739¿Identifier¿¿1102¿v59¿¿¿¿¿Identifier
740¿BlockStatement¿¿1102¿¿¿¿{"start":{"line":44,"column":15},"end":{"line":47,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BlockStatement
741¿Identifier¿¿1102¿e¿¿¿{"start":{"line":44,"column":12},"end":{"line":44,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
742¿BlockStatement¿¿1102¿¿¿¿{"start":{"line":36,"column":27},"end":{"line":48,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BlockStatement
743¿ReturnStatement¿¿1102¿¿¿¿{"start":{"line":50,"column":2},"end":{"line":50,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿ReturnStatement
744¿Literal¿object¿1102¿¿null¿¿{"start":{"line":50,"column":9},"end":{"line":50,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
745¿BlockStatement¿¿1102¿¿¿¿{"start":{"line":31,"column":49},"end":{"line":51,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿BlockStatement
746¿VariableDeclarator¿¿1100¿v72¿¿¿{"start":{"line":53,"column":23},"end":{"line":67,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
747¿FunctionExpression¿¿1100¿anon¿¿¿{"start":{"line":53,"column":23},"end":{"line":67,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿FunctionExpression
748¿Identifier¿¿0¿req¿¿¿{"start":{"line":53,"column":33},"end":{"line":53,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
749¿Identifier¿¿0¿res¿¿¿{"start":{"line":53,"column":38},"end":{"line":53,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
750¿Identifier¿¿0¿done¿¿¿{"start":{"line":53,"column":43},"end":{"line":53,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
751¿VariableDeclarator¿¿1106¿match¿¿¿{"start":{"line":55,"column":6},"end":{"line":55,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
752¿VariableDeclarator¿¿1106¿v60¿¿¿{"start":{"line":58,"column":15},"end":{"line":58,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
753¿MemberExpression¿¿1106¿¿¿¿{"start":{"line":58,"column":15},"end":{"line":58,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿MemberExpression
754¿Identifier¿¿1106¿req¿¿¿{"start":{"line":58,"column":15},"end":{"line":58,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
755¿Identifier¿¿1106¿url¿¿¿{"start":{"line":58,"column":19},"end":{"line":58,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
756¿IfStatement¿¿1106¿¿¿¿{"start":{"line":58,"column":2},"end":{"line":66,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿IfStatement
757¿AssignmentExpression¿=¿1106¿¿¿¿{"start":{"line":58,"column":7},"end":{"line":58,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿AssignmentExpression
758¿Identifier¿¿1106¿match¿¿¿{"start":{"line":58,"column":7},"end":{"line":58,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
759¿CallExpression¿¿1106¿¿¿¿{"start":{"line":58,"column":15},"end":{"line":58,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
760¿MemberExpression¿¿1106¿¿¿¿{"start":{"line":58,"column":15},"end":{"line":58,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿MemberExpression
761¿Identifier¿¿1106¿v60¿¿¿¿¿Identifier
762¿Identifier¿¿1106¿match¿¿¿{"start":{"line":58,"column":23},"end":{"line":58,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
